Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EN_H2O_RVAMBQ,Ibaiak,Ríos,Rivers,1,1
EU_H2O_AINTZ,Aintzira eta hezeguneak,Lagos y humedales,Lakes and wetlands,1,1
EU_H2O_ITSASE,Itsasertzeko urak,Aguas costeras,Coastal waters,1,1
EU_H2O_TRANTS,Trantsizio urak,Aguas de transición,Transition waters,1,1
EU_H2O_URTE,Urtegiak,Embalses,Reservoirs,1,1
