Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
SH_XPD_EARN10,% 10etik gorakoak,Superiores al 10%,Over 10%,1,1
SH_XPD_EARN25,% 25etik gorakoak,Superiores al 25%,Over 25%,1,1
