Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-5-2
#1-5-4
#1-a-2
#10-1-1
#10-4-2
#10-7-4
#11-3-2
#11-5-2
#11-7-2
#11-b-2
#12-4-2
#13-1-3
#14-3-1
#16-1-1
#16-2-2
#16-7-1
#16-9-1
#17-1-1
#17-1-2
#17-2-1
#17-3-1
#2-1-2
#2-2-E1
#2-4-1
#2-4-E2
#2-a-1
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-4-1
#3-4-E1
#3-5-1
#3-6-1
#3-8-1
#3-b-1
#4-1-1
#4-1-2
#4-3-1
#4-5-1
#4-6-1
#5-1-1
#5-5-2
#5-a-1
#5-a-2
#6-2-1
#6-3-1
#6-3-2
#6-4-2
#6-b-1
#8-5-1
#8-5-2
#8-b-1
#9-b-1
