Indicator
#1-3-1
#1-a-2
#11-1-1
#11-7-2
#15-1-1
#2-1-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-8-1
#3-c-1
#4-1-E1
#7-1-1
#9-5-1
