Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
EU_GDP_ZS_GR,Tasa de crecimiento del PIB generado por el turismo,EU_GDP_ZS_GR,EU_GDP_ZS_GR,4,1
EU_GENDERPAY_GAP,Brecha de género en el salario medio por hora,EU_GENDERPAY_GAP,EU_GENDERPAY_GAP,1,1
EU_GHG_TV1990,Emisiones de gases de efecto invernadero respecto al año 1990,EU_GHG_TV1990,EU_GHG_TV1990,1,1
EU_GHG_TV2005,Emisiones de gases de efecto invernadero respecto al año 2005,EU_GHG_TV2005,EU_GHG_TV2005,1,1
EU_GOB_TAX,Proporción de los ingresos de las administraciones públicas autonómicas y locales provenientes de impuestos ,EU_GOB_TAX,EU_GOB_TAX,1,1
EU_GOB_TAX_NOFIN,Proporción de los ingresos no financieros de las administraciones públicas autonómicas y locales provenientes de impuesto,EU_GOB_TAX_NOFIN,EU_GOB_TAX_NOFIN,1,1
EU_GPI_TRN,Índice de paridad de género,EU_GPI_TRN,EU_GPI_TRN,4,1
EU_HLY_Y0,Esperanza de vida en buena salud,EU_HLY_Y0,EU_HLY_Y0,8,1
EU_LE_Y0,Esperanza de vida al nacer,EU_LE_Y0,EU_LE_Y0,12,1
EU_LND_REM,Superficie de suelo recuperado para nuevos usos (acumulado),EU_LND_REM,EU_LND_REM,1,1
EU_LND_REM_PT,Porcentaje de suelo recuperado para nuevos usos (acumulado),EU_LND_REM_PT,EU_LND_REM_PT,1,1
EU_ODA_EUR,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,EU_ODA_EUR,EU_ODA_EUR,1,1
EU_ODA_GDP,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB,EU_ODA_GDP,EU_ODA_GDP,1,1
EU_PI_HEALTH,Índice de paridad en salud,EU_PI_HEALTH,EU_PI_HEALTH,3,1
EU_RUPI_TRN,Índice de paridad en localización (municipios de más y menos de 10.000 habitantes),EU_RUPI_TRN,EU_RUPI_TRN,4,1
EU_SAN_PARTIC,Proporción de dependencias administrativas locales que han establecido políticas y procedimientos operacionales para la participación de las comunidades locales en la gestión de aguas de consumo,EU_SAN_PARTIC,EU_SAN_PARTIC,1,1
EU_SDG_02_60_KG_PER_HA,Emisiones de amoníaco de la agricultura y ganadería por hectárea,EU_SDG_02_60_KG_PER_HA,EU_SDG_02_60_KG_PER_HA,3,1
EU_SDG_02_60_KT,Emisiones de amoníaco de la agricultura y ganadería,EU_SDG_02_60_KT,EU_SDG_02_60_KT,3,1
EU_SDG_15_20_KM2,Superficie de las áreas terrestres protegidas (Km2),EU_SDG_15_20_KM2,EU_SDG_15_20_KM2,7,1
EU_SDG_15_20_PT,Proporción de la superficie terrestre protegida respecto a la superficie terrestre,EU_SDG_15_20_PT,EU_SDG_15_20_PT,7,1
EU_SESPI,Índice de paridad en ingresos (quintiles superior e inferior),EU_SESPI,EU_SESPI,3,1
EU_SH_DTH_NCOM,Tasa de mortalidad,EU_SH_DTH_NCOM,EU_SH_DTH_NCOM,60,1
EU_W_GENPCAP,Residuos urbanos recogidos per cápita,EU_W_GENPCAP,EU_W_GENPCAP,4,1
EU_WWT_COLECT,Proporción de flujos de aguas residuales domésticas conectadas a un sistema de colectores,EU_WWT_COLECT,EU_WWT_COLECT,1,1
EU_XPD_LOCALGBPC,EU_XPD_LOCALGBPC,EU_XPD_LOCALGBPC,EU_XPD_LOCALGBPC,1,1
FP_CPI_TOTL_ZG,Tasa de variación interanual del índice de precios de consumo,FP_CPI_TOTL_ZG,FP_CPI_TOTL_ZG,4,1
GB_POP_SCIERD,Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes,GB_POP_SCIERD,GB_POP_SCIERD,4,1
GB_XPD_RSDV,Gastos en investigación y desarrollo en proporción al PIB,GB_XPD_RSDV,GB_XPD_RSDV,4,1
GC_BAL_CASH_GD_ZS,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,GC_BAL_CASH_GD_ZS,GC_BAL_CASH_GD_ZS,1,1
GF_XPD_GBPC,GF_XPD_GBPC,GF_XPD_GBPC,GF_XPD_GBPC,1,1
IT_MOB_3GNTWK,"Proporción de hogares cubiertos con redes móviles 3,5G",IT_MOB_3GNTWK,IT_MOB_3GNTWK,4,1
IT_MOB_4GNTWK,Proporción de hogares cubiertos con redes móviles 4G,IT_MOB_4GNTWK,IT_MOB_4GNTWK,4,1
IT_MOB_5GNTWK,Proporción de hogares cubiertos con redes móviles 5G,IT_MOB_5GNTWK,IT_MOB_5GNTWK,4,1
NV_IND_MANF,Valor añadido del sector manufacturo en proporción al PIB,NV_IND_MANF,NV_IND_MANF,4,1
NV_IND_MANFPC,Valor añadido del sector manufacturo per cápita,NV_IND_MANFPC,NV_IND_MANFPC,4,1
