Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
LC_ART,Asentamenduak,Asentamientos,Settlements,2,1
LC_CRP,Laborantza-lurrak,Tierras de cultivo,Croplands,2,1
LC_GRS,Larreak,Pastizales,Grasslands,2,1
LC_OL,Beste lur batzuk,Otras tierras,Other lands,2,1
LC_TRE,Basoak,Bosques,Forests,2,1
LC_WL,Hezeguneak,Humedales,Wetlands,2,1
