Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ISCED11_0,Eskolaurrea,Preescolar,Pre-primary,1,1
ISCED11_1,Lehen hezkuntza,Primaria,Primary,1,1
ISCED11_2,Bigarren hezkuntzako lehenengo etapa,Secundaria inferior,Lower secondary,2,2
ISCED11_3,Bigarren hezkuntzako bigarren etapa,Secundaria superior,Upper secondary,2,2
