Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EXTR,Atzerriko nazionalitatea,Nacionalidad extranjera,Foreign nationality,4,1
NACIO,Espainiako nazionalitatea,Nacionalidad española,Spanish nationality,4,1
