Indicator
#1-5-1
#11-5-1
#13-1-1
#15-1-2
#15-4-1
#16-1-1
#16-2-2
#17-2-1
#2-3-1
#2-3-2
#2-4-E2
#3-4-1
#3-b-1
#3-c-1
#8-b-1
#9-1-1
#9-5-1
#9-c-1
