Indicator
#1-4-1
#1-5-1
#1-5-4
#11-5-1
#11-a-1
#11-b-2
#12-a-1
#13-1-1
#13-1-3
#15-1-1
#16-6-1
#2-4-E1
#2-a-1
#3-4-1
#4-2-2
#5-2-1
#5-2-2
#6-2-1
#7-b-1
#8-5-2
#8-5-E1
