Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EU_ATM_EGOI,Egoitza,Residencial,Residential ,1,1
EU_ATM_ENER,Sektore energetikoa,Sector energético,Energy sector,1,1
EU_ATM_GARRA,Garraioa,Transporte,Transport,1,1
EU_ATM_HONDA,Hondakinak,Residuos,Waste,1,1
EU_ATM_INDUS,Industria,Industria,Industry,1,1
EU_ATM_NEKAZ,Nekazaritza,Agricultura,Agriculture,1,1
EU_ATM_ZERB,Zerbitzuak,Servicios,Services,1,1
