Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
TRT_FV,Fotovoltaikoa,Fotovoltaica,Photovoltaic,552,2
TRT_HYDROPOWER,Hidraulikoa,Hidraúlica,Hydraulic,552,2
TRT_SOLARTHERMAL,Eguzki-energia termikoa,Solar térmica,Solar thermal,552,2
TRT_WIND,Eolikoa,Eólica,Wind,552,2
