Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ISCO08_221,Medikua,Médico/a,Physician,36,1
ISCO08_2221_3221,Erizaintzako eta obstetriziako profesionalak,Profesionales de enfermería y obstetricia,Nursing and midwifery professionals,36,1
ISCO08_2261,Dentista,Dentista,Dentist,36,1
ISCO08_2262,Farmazeutikoa,Farmaceútico/a,Pharmacist,36,1
