Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
AINTZIRA,Aintzira eta hezeguneak,Lagos y humedales,Lakes and wetlands,1,1
EN_H2O_RVAMBQ,Ibaiak,Ríos,Rivers,1,1
ITSASERTZ,Itsasertzeko urak,Aguas costeras,Coastal waters,1,1
TRANTSIZIO,Trantsizio urak,Aguas de transición,Transition waters,1,1
URTEGI,Urtegiak,Embalses,Reservoirs,1,1
