Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ECOICOP_RUB_01,Zerealak eta deribatuak,Cereales y derivados,Cereals and derivatives,1,1
ECOICOP_RUB_01_02,Ogia eta zerealak,Pan y cereales,Bread and cereals,1,1
ECOICOP_RUB_02,Ogia,Pan,Bread,1,1
ECOICOP_RUB_10,Arrautzak,Huevos,Eggs,1,1
ECOICOP_RUB_11,Esnea,Leche,Milk,1,1
ECOICOP_RUB_13,Olioak eta koipeak,Aceites y grasas,Oils and fats,1,1
ECOICOP_RUB_14,Fruta freskoak,Frutas frescas,Fresh fruits,1,1
ECOICOP_RUB_16,Lekale eta barazki freskoak,Legumbres y hortalizas frescas,Fresh vegetables,1,1
