Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES211,Araba / Álava,Araba/Álava,Araba/Álava,342,81
ES212,Gipuzkoa,Gipuzkoa,Gipuzkoa,342,81
ES213,Bizkaia,Bizkaia,Bizkaia,342,81
