Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
EU_SIT_JUB,Erretiratuak,Jubilados/as,Retired,60,1
EU_SIT_NOJUB,Ez erretiratuak,No jubilados/as,Not retired,60,1
