Year,Territorio,Units,Value
2019,,PER_100000,6.48
2022,,PER_100000,7.33
2021,,PER_100000,0.0
2018,,PER_100000,6.21
2023,,PER_100000,7.43
2017,,PER_100000,0.0
2015,,PER_100000,0.0
2012,,PER_100000,0.0
2016,,PER_100000,10.96
2011,,PER_100000,0.0
2014,,PER_100000,0.0
2013,,PER_100000,0.0
2010,,PER_100000,4.73
2020,,PER_100000,6.78
2012,ES211,PER_100000,0.0
2013,ES211,PER_100000,0.0
2014,ES211,PER_100000,0.0
2010,ES211,PER_100000,0.0
2018,ES211,PER_100000,0.0
2017,ES211,PER_100000,0.0
2011,ES211,PER_100000,0.0
2020,ES211,PER_100000,0.0
2021,ES211,PER_100000,0.0
2015,ES211,PER_100000,0.0
2019,ES211,PER_100000,0.0
2022,ES211,PER_100000,0.0
2016,ES211,PER_100000,0.0
2023,ES211,PER_100000,0.0
2013,ES213,PER_100000,0.0
2015,ES213,PER_100000,0.0
2016,ES213,PER_100000,21.85
2017,ES213,PER_100000,0.0
2019,ES213,PER_100000,0.0
2020,ES213,PER_100000,13.65
2021,ES213,PER_100000,0.0
2023,ES213,PER_100000,14.99
2010,ES213,PER_100000,9.44
2011,ES213,PER_100000,0.0
2012,ES213,PER_100000,0.0
2022,ES213,PER_100000,0.0
2018,ES213,PER_100000,12.58
2014,ES213,PER_100000,0.0
2022,ES212,PER_100000,22.18
2023,ES212,PER_100000,0.0
2010,ES212,PER_100000,0.0
2011,ES212,PER_100000,0.0
2012,ES212,PER_100000,0.0
2013,ES212,PER_100000,0.0
2014,ES212,PER_100000,0.0
2015,ES212,PER_100000,0.0
2016,ES212,PER_100000,0.0
2017,ES212,PER_100000,0.0
2018,ES212,PER_100000,0.0
2019,ES212,PER_100000,19.48
2020,ES212,PER_100000,0.0
2021,ES212,PER_100000,0.0
