Year,Units,Value
2008,PT,9.1
2009,PT,10.0
2010,PT,11.7
2011,PT,13.8
2012,PT,13.3
2013,PT,10.5
2014,PT,10.2
2015,PT,10.9
2016,PT,9.0
2017,PT,9.7
2018,PT,8.6
2019,PT,10.0
2020,PT,10.0
2021,PT,12.2
2022,PT,12.2
2023,PT,10.2
2024,PT,9.4
