Year,Tipo de tecnología renovable,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,,,,Aia,Watts per cápita,Aia,25.7
2018,,,,Aia,Watts per cápita,Aia,37.8
2022,,,,Aia,Watts per cápita,Aia,77.6
2017,,,,Aia,Watts per cápita,Aia,37.4
2023,,,,Aia,Watts per cápita,Aia,85.9
2021,,,,Aia,Watts per cápita,Aia,75.9
2011,,,,Aia,Watts per cápita,Aia,26.9
2016,,,,Aia,Watts per cápita,Aia,35.8
2013,,,,Aia,Watts per cápita,Aia,28.9
2020,,,,Aia,Watts per cápita,Aia,58.3
2014,,,,Aia,Watts per cápita,Aia,29.2
2021,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,351.7
2014,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,345.7
2019,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,339.5
2015,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,346.3
2012,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,348.1
2011,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,356.4
2016,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,339.5
2018,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,342.2
2020,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,338.7
2023,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,350.5
2013,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,346.3
2017,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,340.9
2010,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,370.4
2022,,,,Aizarnazabal,Watts per cápita,Aizarnazabal,353.1
2015,,,,Ajangiz,Watts per cápita,Ajangiz,93.0
2021,,,,Ajangiz,Watts per cápita,Ajangiz,93.1
2016,,,,Ajangiz,Watts per cápita,Ajangiz,93.5
2018,,,,Ajangiz,Watts per cápita,Ajangiz,95.4
2023,,,,Ajangiz,Watts per cápita,Ajangiz,156.7
2014,,,,Ajangiz,Watts per cápita,Ajangiz,95.5
2022,,,,Ajangiz,Watts per cápita,Ajangiz,102.6
2011,,,,Ajangiz,Watts per cápita,Ajangiz,58.4
2020,,,,Ajangiz,Watts per cápita,Ajangiz,92.7
2019,,,,Ajangiz,Watts per cápita,Ajangiz,98.2
2010,,,,Ajangiz,Watts per cápita,Ajangiz,58.5
2013,,,,Ajangiz,Watts per cápita,Ajangiz,94.7
2012,,,,Ajangiz,Watts per cápita,Ajangiz,59.5
2017,,,,Ajangiz,Watts per cápita,Ajangiz,94.3
2023,,,,Albiztur,Watts per cápita,Albiztur,724.9
2013,,,,Albiztur,Watts per cápita,Albiztur,17.6
2017,,,,Albiztur,Watts per cápita,Albiztur,54.3
2022,,,,Albiztur,Watts per cápita,Albiztur,699.4
2014,,,,Albiztur,Watts per cápita,Albiztur,16.7
2015,,,,Albiztur,Watts per cápita,Albiztur,17.5
2012,,,,Albiztur,Watts per cápita,Albiztur,17.9
2018,,,,Albiztur,Watts per cápita,Albiztur,55.4
2020,,,,Albiztur,Watts per cápita,Albiztur,384.1
2021,,,,Albiztur,Watts per cápita,Albiztur,720.3
2010,,,,Albiztur,Watts per cápita,Albiztur,17.3
2019,,,,Albiztur,Watts per cápita,Albiztur,395.9
2016,,,,Albiztur,Watts per cápita,Albiztur,53.9
2011,,,,Albiztur,Watts per cápita,Albiztur,17.0
2017,,,,Alegia,Watts per cápita,Alegia,1.7
2016,,,,Alegia,Watts per cápita,Alegia,1.7
2023,,,,Alegia,Watts per cápita,Alegia,12.3
2019,,,,Alegia,Watts per cápita,Alegia,1.7
2013,,,,Alegia,Watts per cápita,Alegia,1.7
2015,,,,Alegia,Watts per cápita,Alegia,1.7
2020,,,,Alegia,Watts per cápita,Alegia,1.7
2021,,,,Alegia,Watts per cápita,Alegia,9.2
2014,,,,Alegia,Watts per cápita,Alegia,1.7
2018,,,,Alegia,Watts per cápita,Alegia,1.7
2011,,,,Alegia,Watts per cápita,Alegia,1.7
2012,,,,Alegia,Watts per cápita,Alegia,1.7
2022,,,,Alegia,Watts per cápita,Alegia,9.1
2010,,,,Alegia,Watts per cápita,Alegia,1.7
2010,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,80.2
2023,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,176.9
2017,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,76.2
2013,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,76.7
2021,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,80.5
2019,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,77.6
2011,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,77.9
2018,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,77.8
2012,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,78.5
2016,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,77.1
2014,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,77.8
2020,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,80.3
2022,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,82.3
2015,,,,Alegría-Dulantzi,Watts per cápita,Alegría-Dulantzi,78.5
2020,,,,Alkiza,Watts per cápita,Alkiza,333.9
2016,,,,Alkiza,Watts per cápita,Alkiza,333.0
2017,,,,Alkiza,Watts per cápita,Alkiza,328.2
2012,,,,Alkiza,Watts per cápita,Alkiza,295.4
2013,,,,Alkiza,Watts per cápita,Alkiza,311.1
2023,,,,Alkiza,Watts per cápita,Alkiza,394.5
2018,,,,Alkiza,Watts per cápita,Alkiza,335.8
2014,,,,Alkiza,Watts per cápita,Alkiza,319.3
2010,,,,Alkiza,Watts per cápita,Alkiza,236.2
2019,,,,Alkiza,Watts per cápita,Alkiza,332.0
2011,,,,Alkiza,Watts per cápita,Alkiza,226.9
2015,,,,Alkiza,Watts per cápita,Alkiza,336.4
2021,,,,Alkiza,Watts per cápita,Alkiza,400.3
2022,,,,Alkiza,Watts per cápita,Alkiza,385.7
2013,,,,Alonsotegi,Watts per cápita,Alonsotegi,322.9
2023,,,,Alonsotegi,Watts per cápita,Alonsotegi,303.7
2012,,,,Alonsotegi,Watts per cápita,Alonsotegi,323.4
2016,,,,Alonsotegi,Watts per cápita,Alonsotegi,325.0
2021,,,,Alonsotegi,Watts per cápita,Alonsotegi,311.5
2017,,,,Alonsotegi,Watts per cápita,Alonsotegi,324.1
2010,,,,Alonsotegi,Watts per cápita,Alonsotegi,333.3
2015,,,,Alonsotegi,Watts per cápita,Alonsotegi,323.0
2019,,,,Alonsotegi,Watts per cápita,Alonsotegi,326.7
2018,,,,Alonsotegi,Watts per cápita,Alonsotegi,323.3
2014,,,,Alonsotegi,Watts per cápita,Alonsotegi,321.6
2011,,,,Alonsotegi,Watts per cápita,Alonsotegi,329.4
2020,,,,Alonsotegi,Watts per cápita,Alonsotegi,313.0
2022,,,,Alonsotegi,Watts per cápita,Alonsotegi,311.6
2020,,,,Altzaga,Watts per cápita,Altzaga,27.6
2010,,,,Altzaga,Watts per cápita,Altzaga,0.0
2011,,,,Altzaga,Watts per cápita,Altzaga,0.0
2017,,,,Altzaga,Watts per cápita,Altzaga,0.0
2023,,,,Altzaga,Watts per cápita,Altzaga,100.6
2021,,,,Altzaga,Watts per cápita,Altzaga,27.5
2019,,,,Altzaga,Watts per cápita,Altzaga,0.0
2014,,,,Altzaga,Watts per cápita,Altzaga,0.0
2012,,,,Altzaga,Watts per cápita,Altzaga,0.0
2015,,,,Altzaga,Watts per cápita,Altzaga,0.0
2022,,,,Altzaga,Watts per cápita,Altzaga,28.3
2013,,,,Altzaga,Watts per cápita,Altzaga,0.0
2016,,,,Altzaga,Watts per cápita,Altzaga,0.0
2018,,,,Altzaga,Watts per cápita,Altzaga,0.0
2015,,,,Altzo,Watts per cápita,Altzo,21.3
2012,,,,Altzo,Watts per cápita,Altzo,8.5
2013,,,,Altzo,Watts per cápita,Altzo,8.7
2019,,,,Altzo,Watts per cápita,Altzo,20.0
2014,,,,Altzo,Watts per cápita,Altzo,8.7
2021,,,,Altzo,Watts per cápita,Altzo,393.4
2016,,,,Altzo,Watts per cápita,Altzo,22.0
2010,,,,Altzo,Watts per cápita,Altzo,8.5
2023,,,,Altzo,Watts per cápita,Altzo,414.4
2018,,,,Altzo,Watts per cápita,Altzo,21.3
2020,,,,Altzo,Watts per cápita,Altzo,24.5
2011,,,,Altzo,Watts per cápita,Altzo,8.4
2022,,,,Altzo,Watts per cápita,Altzo,372.6
2017,,,,Altzo,Watts per cápita,Altzo,21.8
2010,,,,Amezketa,Watts per cápita,Amezketa,630.9
2015,,,,Amezketa,Watts per cápita,Amezketa,668.4
2021,,,,Amezketa,Watts per cápita,Amezketa,682.4
2019,,,,Amezketa,Watts per cápita,Amezketa,674.5
2023,,,,Amezketa,Watts per cápita,Amezketa,713.5
2014,,,,Amezketa,Watts per cápita,Amezketa,657.9
2013,,,,Amezketa,Watts per cápita,Amezketa,635.9
2018,,,,Amezketa,Watts per cápita,Amezketa,684.1
2012,,,,Amezketa,Watts per cápita,Amezketa,631.9
2016,,,,Amezketa,Watts per cápita,Amezketa,673.7
2020,,,,Amezketa,Watts per cápita,Amezketa,675.1
2022,,,,Amezketa,Watts per cápita,Amezketa,702.4
2017,,,,Amezketa,Watts per cápita,Amezketa,672.3
2011,,,,Amezketa,Watts per cápita,Amezketa,631.4
2017,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,16.3
2022,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,36.6
2015,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,12.8
2020,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,25.4
2010,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,10.0
2021,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,36.3
2013,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,12.3
2023,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,90.0
2012,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,12.2
2018,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,17.3
2019,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,21.1
2014,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,13.0
2016,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,14.1
2011,,,,Amorebieta-Etxano,Watts per cápita,Amorebieta-Etxano,11.1
2021,,,,Amoroto,Watts per cápita,Amoroto,387.7
2017,,,,Amoroto,Watts per cápita,Amoroto,42.2
2018,,,,Amoroto,Watts per cápita,Amoroto,43.3
2020,,,,Amoroto,Watts per cápita,Amoroto,43.6
2015,,,,Amoroto,Watts per cápita,Amoroto,42.4
2010,,,,Amoroto,Watts per cápita,Amoroto,22.7
2022,,,,Amoroto,Watts per cápita,Amoroto,394.8
2016,,,,Amoroto,Watts per cápita,Amoroto,42.2
2013,,,,Amoroto,Watts per cápita,Amoroto,23.3
2014,,,,Amoroto,Watts per cápita,Amoroto,44.4
2012,,,,Amoroto,Watts per cápita,Amoroto,24.0
2019,,,,Amoroto,Watts per cápita,Amoroto,42.7
2011,,,,Amoroto,Watts per cápita,Amoroto,23.1
2023,,,,Amoroto,Watts per cápita,Amoroto,441.3
2018,,,,Amurrio,Watts per cápita,Amurrio,21.2
2020,,,,Amurrio,Watts per cápita,Amurrio,23.4
2017,,,,Amurrio,Watts per cápita,Amurrio,19.4
2021,,,,Amurrio,Watts per cápita,Amurrio,28.5
2011,,,,Amurrio,Watts per cápita,Amurrio,16.8
2014,,,,Amurrio,Watts per cápita,Amurrio,16.8
2022,,,,Amurrio,Watts per cápita,Amurrio,29.8
2015,,,,Amurrio,Watts per cápita,Amurrio,16.8
2023,,,,Amurrio,Watts per cápita,Amurrio,54.7
2013,,,,Amurrio,Watts per cápita,Amurrio,16.5
2010,,,,Amurrio,Watts per cápita,Amurrio,15.9
2012,,,,Amurrio,Watts per cápita,Amurrio,16.7
2019,,,,Amurrio,Watts per cápita,Amurrio,23.1
2016,,,,Amurrio,Watts per cápita,Amurrio,18.1
2022,,,,Andoain,Watts per cápita,Andoain,375.3
2023,,,,Andoain,Watts per cápita,Andoain,402.5
2014,,,,Andoain,Watts per cápita,Andoain,357.9
2017,,,,Andoain,Watts per cápita,Andoain,356.7
2015,,,,Andoain,Watts per cápita,Andoain,359.2
2010,,,,Andoain,Watts per cápita,Andoain,355.8
2012,,,,Andoain,Watts per cápita,Andoain,358.0
2011,,,,Andoain,Watts per cápita,Andoain,355.3
2021,,,,Andoain,Watts per cápita,Andoain,375.2
2020,,,,Andoain,Watts per cápita,Andoain,359.7
2018,,,,Andoain,Watts per cápita,Andoain,356.4
2019,,,,Andoain,Watts per cápita,Andoain,356.8
2016,,,,Andoain,Watts per cápita,Andoain,356.8
2013,,,,Andoain,Watts per cápita,Andoain,357.6
2013,,,,Anoeta,Watts per cápita,Anoeta,183.5
2010,,,,Anoeta,Watts per cápita,Anoeta,155.8
2022,,,,Anoeta,Watts per cápita,Anoeta,225.4
2011,,,,Anoeta,Watts per cápita,Anoeta,156.4
2015,,,,Anoeta,Watts per cápita,Anoeta,175.5
2014,,,,Anoeta,Watts per cápita,Anoeta,178.7
2020,,,,Anoeta,Watts per cápita,Anoeta,174.0
2017,,,,Anoeta,Watts per cápita,Anoeta,176.7
2012,,,,Anoeta,Watts per cápita,Anoeta,183.6
2019,,,,Anoeta,Watts per cápita,Anoeta,172.6
2021,,,,Anoeta,Watts per cápita,Anoeta,227.3
2016,,,,Anoeta,Watts per cápita,Anoeta,177.4
2018,,,,Anoeta,Watts per cápita,Anoeta,172.1
2023,,,,Anoeta,Watts per cápita,Anoeta,309.2
2019,,,,Antzuola,Watts per cápita,Antzuola,14.0
2017,,,,Antzuola,Watts per cápita,Antzuola,11.1
2014,,,,Antzuola,Watts per cápita,Antzuola,10.5
2020,,,,Antzuola,Watts per cápita,Antzuola,18.5
2012,,,,Antzuola,Watts per cápita,Antzuola,7.7
2013,,,,Antzuola,Watts per cápita,Antzuola,7.7
2022,,,,Antzuola,Watts per cápita,Antzuola,52.4
2018,,,,Antzuola,Watts per cápita,Antzuola,12.3
2016,,,,Antzuola,Watts per cápita,Antzuola,11.2
2010,,,,Antzuola,Watts per cápita,Antzuola,7.8
2023,,,,Antzuola,Watts per cápita,Antzuola,52.5
2011,,,,Antzuola,Watts per cápita,Antzuola,7.8
