Year,Tipo de tecnología renovable,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2010,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2018,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2022,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2019,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2012,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2016,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2011,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2014,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2017,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2020,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2023,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2015,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2013,Hidraúlica,,,Larrabetzu,Watts per cápita,Larrabetzu,0.0
2021,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2017,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2019,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2023,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2011,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2020,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2010,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2014,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2012,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2015,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2022,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2013,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2016,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2018,Hidraúlica,,,Larraul,Watts per cápita,Larraul,0.0
2022,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2012,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2014,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2020,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2011,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2010,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2023,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2013,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2021,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2015,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2016,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2017,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2019,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2018,Hidraúlica,,,Lasarte-Oria,Watts per cápita,Lasarte-Oria,0.0
2023,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2022,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2016,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2010,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2020,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2018,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2015,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2019,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2014,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2012,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2017,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2013,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2021,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2011,Hidraúlica,,,Laudio/Llodio,Watts per cápita,Laudio/Llodio,0.0
2020,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2014,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2015,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2012,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2021,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2019,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2016,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2013,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2011,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2018,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2022,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2010,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2017,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2023,Hidraúlica,,,Laukiz,Watts per cápita,Laukiz,0.0
2023,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2012,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2018,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2021,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2014,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2020,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2015,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2010,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2019,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2016,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2013,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2017,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2011,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2022,Hidraúlica,,,Lazkao,Watts per cápita,Lazkao,0.0
2023,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2013,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2016,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2021,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2015,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2022,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2017,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2012,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2010,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2014,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2020,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2018,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2011,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2019,Hidraúlica,,,Leaburu,Watts per cápita,Leaburu,0.0
2011,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2010,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2018,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2020,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2023,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2015,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2021,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2017,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2022,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2013,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2012,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2014,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2016,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2019,Hidraúlica,,,Legazpi,Watts per cápita,Legazpi,0.0
2015,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2018,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2021,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2012,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2016,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2023,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2013,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2010,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2011,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2019,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2020,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2014,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2017,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2022,Hidraúlica,,,Legorreta,Watts per cápita,Legorreta,0.0
2015,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2011,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2021,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2019,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2012,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2020,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2022,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2017,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2023,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2016,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2010,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2014,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2018,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2013,Hidraúlica,,,Legutio,Watts per cápita,Legutio,0.0
2015,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2014,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2018,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2011,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2020,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2022,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2013,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2016,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2017,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2019,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2010,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2023,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2021,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2012,Hidraúlica,,,Leintz-Gatzaga,Watts per cápita,Leintz-Gatzaga,0.0
2015,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2012,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2018,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2011,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2022,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2019,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2017,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2014,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2010,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2016,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2020,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2021,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2023,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2013,Hidraúlica,,,Leioa,Watts per cápita,Leioa,0.0
2012,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2017,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2013,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2016,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2020,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2011,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2018,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2021,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2019,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2015,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2014,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2022,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2023,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2010,Hidraúlica,,,Lekeitio,Watts per cápita,Lekeitio,0.0
2010,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2023,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2019,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2016,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2021,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2020,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2015,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2013,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2011,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2018,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2014,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2022,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2017,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2012,Hidraúlica,,,Lemoa,Watts per cápita,Lemoa,0.0
2012,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2011,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2010,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2021,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2018,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2022,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2013,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2017,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2023,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2019,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2015,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2020,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2016,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2014,Hidraúlica,,,Lemoiz,Watts per cápita,Lemoiz,0.0
2021,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2023,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2020,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2019,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2017,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2016,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2018,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2022,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2011,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2010,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2012,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2013,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2015,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2014,Hidraúlica,,,Leza,Watts per cápita,Leza,0.0
2016,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2020,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2021,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2019,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2023,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2022,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2017,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2015,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2012,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2011,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2013,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2010,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2014,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2018,Hidraúlica,,,Lezama,Watts per cápita,Lezama,0.0
2023,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2019,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2011,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2010,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2017,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2022,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2020,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2015,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2014,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2016,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2013,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2012,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2018,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2021,Hidraúlica,,,Lezo,Watts per cápita,Lezo,0.0
2021,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,553.0
2010,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,730.1
2013,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,536.5
2018,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,556.4
2022,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,547.9
2014,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,547.9
2019,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,554.7
2011,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,722.2
2023,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,524.8
2017,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,559.0
2016,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,561.6
2020,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,555.6
2012,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,536.5
2015,Hidraúlica,,,Lizartza,Watts per cápita,Lizartza,564.3
2015,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2020,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2022,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2019,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2021,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2018,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2017,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2014,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2012,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2011,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2010,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2023,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2016,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2013,Hidraúlica,,,Loiu,Watts per cápita,Loiu,0.0
2010,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2013,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2018,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2021,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2011,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2019,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2020,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2015,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2012,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2016,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2014,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2017,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2023,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2022,Hidraúlica,,,Mallabia,Watts per cápita,Mallabia,0.0
2022,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,537.7
2020,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,552.3
2012,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,556.6
2021,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,541.8
2019,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,546.0
2016,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,546.0
2013,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,570.0
2011,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,564.4
2014,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,546.0
2010,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,558.8
2018,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,552.3
2017,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,549.1
2023,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,533.7
2015,Hidraúlica,,,Mañaria,Watts per cápita,Mañaria,550.2
2011,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,57.1
2016,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.8
2014,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,57.1
2022,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,55.8
2018,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.4
2017,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,57.2
2010,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,57.0
2013,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.9
2019,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,55.7
2021,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,55.7
2020,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,55.6
2023,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,55.4
2015,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,57.2
2012,Hidraúlica,,,Markina-Xemein,Watts per cápita,Markina-Xemein,56.9
2014,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2012,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2013,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2010,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2015,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2020,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2011,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2021,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2023,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2018,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2022,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2019,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2017,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2016,Hidraúlica,,,Maruri-Jatabe,Watts per cápita,Maruri-Jatabe,0.0
2023,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2012,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2011,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2013,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2017,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2018,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2022,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2014,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2021,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2010,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2020,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2015,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2019,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2016,Hidraúlica,,,Mendaro,Watts per cápita,Mendaro,0.0
2022,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2021,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2016,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2020,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2015,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2019,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2012,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2023,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2014,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2017,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2013,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2018,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2010,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
2011,Hidraúlica,,,Mendata,Watts per cápita,Mendata,0.0
