Year,Series,Territorio histórico,Units,Value
2015,Proporción de residuos urbanos reciclados,,Porcentaje,36.4
2016,Proporción de residuos urbanos reciclados,,Porcentaje,38.0
2019,Proporción de residuos urbanos reciclados,,Porcentaje,44.7
2013,Proporción de residuos urbanos reciclados,,Porcentaje,28.2
2018,Proporción de residuos urbanos reciclados,,Porcentaje,41.5
2010,Proporción de residuos urbanos reciclados,,Porcentaje,24.7
2020,Proporción de residuos urbanos reciclados,,Porcentaje,47.2
2011,Proporción de residuos urbanos reciclados,,Porcentaje,25.6
2014,Proporción de residuos urbanos reciclados,,Porcentaje,33.3
2017,Proporción de residuos urbanos reciclados,,Porcentaje,39.3
2012,Proporción de residuos urbanos reciclados,,Porcentaje,28.5
2014,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,27.0
2013,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,24.2
2020,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,39.2
2017,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,31.3
2016,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,33.7
2018,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,31.5
2019,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,38.4
2015,Proporción de residuos urbanos reciclados,Araba/Álava,Porcentaje,30.6
2013,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,26.6
2015,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,28.7
2018,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,35.8
2014,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,28.2
2017,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,34.8
2019,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,37.9
2016,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,31.2
2020,Proporción de residuos urbanos reciclados,Bizkaia,Porcentaje,38.1
2020,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,69.3
2015,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,48.3
2017,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,48.7
2018,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,52.9
2019,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,59.3
2014,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,41.9
2013,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,31.9
2016,Proporción de residuos urbanos reciclados,Gipuzkoa,Porcentaje,48.4
