Year,Province,County,Municipality,Units,GeoCode,Value
2020,,,Arrasate/Mondragón,"Per 10,000",Arrasate/Mondragón,19.6
2023,,,Arrasate/Mondragón,"Per 10,000",Arrasate/Mondragón,50.8
2019,,,Arratzu,"Per 10,000",Arratzu,0.0
2022,,,Arratzu,"Per 10,000",Arratzu,0.0
2020,,,Arratzu,"Per 10,000",Arratzu,0.0
2021,,,Arratzu,"Per 10,000",Arratzu,0.0
2023,,,Arratzu,"Per 10,000",Arratzu,0.0
2022,,,Arratzua-Ubarrundia,"Per 10,000",Arratzua-Ubarrundia,62.9
2020,,,Arratzua-Ubarrundia,"Per 10,000",Arratzua-Ubarrundia,42.6
2019,,,Arratzua-Ubarrundia,"Per 10,000",Arratzua-Ubarrundia,21.4
2021,,,Arratzua-Ubarrundia,"Per 10,000",Arratzua-Ubarrundia,0.0
2023,,,Arratzua-Ubarrundia,"Per 10,000",Arratzua-Ubarrundia,19.9
2022,,,Arrieta,"Per 10,000",Arrieta,0.0
2019,,,Arrieta,"Per 10,000",Arrieta,0.0
2021,,,Arrieta,"Per 10,000",Arrieta,0.0
2023,,,Arrieta,"Per 10,000",Arrieta,0.0
2020,,,Arrieta,"Per 10,000",Arrieta,36.6
2019,,,Arrigorriaga,"Per 10,000",Arrigorriaga,21.1
2023,,,Arrigorriaga,"Per 10,000",Arrigorriaga,49.7
2022,,,Arrigorriaga,"Per 10,000",Arrigorriaga,35.8
2020,,,Arrigorriaga,"Per 10,000",Arrigorriaga,40.7
2021,,,Arrigorriaga,"Per 10,000",Arrigorriaga,35.8
2020,,,Artea,"Per 10,000",Artea,28.3
2021,,,Artea,"Per 10,000",Artea,0.0
2022,,,Artea,"Per 10,000",Artea,111.6
2023,,,Artea,"Per 10,000",Artea,79.7
2019,,,Artea,"Per 10,000",Artea,0.0
2019,,,Artzentales,"Per 10,000",Artzentales,29.8
2021,,,Artzentales,"Per 10,000",Artzentales,30.5
2020,,,Artzentales,"Per 10,000",Artzentales,0.0
2022,,,Artzentales,"Per 10,000",Artzentales,30.1
2023,,,Artzentales,"Per 10,000",Artzentales,59.4
2020,,,Artziniega,"Per 10,000",Artziniega,20.7
2023,,,Artziniega,"Per 10,000",Artziniega,178.3
2022,,,Artziniega,"Per 10,000",Artziniega,41.8
2021,,,Artziniega,"Per 10,000",Artziniega,10.4
2019,,,Artziniega,"Per 10,000",Artziniega,41.6
2023,,,Asparrena,"Per 10,000",Asparrena,60.5
2021,,,Asparrena,"Per 10,000",Asparrena,50.0
2020,,,Asparrena,"Per 10,000",Asparrena,74.1
2019,,,Asparrena,"Per 10,000",Asparrena,24.5
2022,,,Asparrena,"Per 10,000",Asparrena,36.9
2021,,,Asteasu,"Per 10,000",Asteasu,13.1
2019,,,Asteasu,"Per 10,000",Asteasu,54.5
2022,,,Asteasu,"Per 10,000",Asteasu,26.5
2020,,,Asteasu,"Per 10,000",Asteasu,13.4
2023,,,Asteasu,"Per 10,000",Asteasu,0.0
2021,,,Astigarraga,"Per 10,000",Astigarraga,28.1
2020,,,Astigarraga,"Per 10,000",Astigarraga,43.2
2023,,,Astigarraga,"Per 10,000",Astigarraga,46.8
2022,,,Astigarraga,"Per 10,000",Astigarraga,32.4
2019,,,Astigarraga,"Per 10,000",Astigarraga,41.1
2021,,,Ataun,"Per 10,000",Ataun,11.9
2020,,,Ataun,"Per 10,000",Ataun,47.9
2023,,,Ataun,"Per 10,000",Ataun,0.0
2019,,,Ataun,"Per 10,000",Ataun,24.2
2022,,,Ataun,"Per 10,000",Ataun,12.0
2022,,,Atxondo,"Per 10,000",Atxondo,29.0
2020,,,Atxondo,"Per 10,000",Atxondo,0.0
2019,,,Atxondo,"Per 10,000",Atxondo,14.0
2023,,,Atxondo,"Per 10,000",Atxondo,29.0
2021,,,Atxondo,"Per 10,000",Atxondo,14.2
2020,,,Aulesti,"Per 10,000",Aulesti,0.0
2022,,,Aulesti,"Per 10,000",Aulesti,0.0
2023,,,Aulesti,"Per 10,000",Aulesti,0.0
2019,,,Aulesti,"Per 10,000",Aulesti,0.0
2021,,,Aulesti,"Per 10,000",Aulesti,0.0
2022,,,Ayala/Aiara,"Per 10,000",Ayala/Aiara,20.7
2021,,,Ayala/Aiara,"Per 10,000",Ayala/Aiara,20.6
2020,,,Ayala/Aiara,"Per 10,000",Ayala/Aiara,0.0
2023,,,Ayala/Aiara,"Per 10,000",Ayala/Aiara,20.9
2019,,,Ayala/Aiara,"Per 10,000",Ayala/Aiara,20.8
2023,,,Azkoitia,"Per 10,000",Azkoitia,15.3
2022,,,Azkoitia,"Per 10,000",Azkoitia,27.1
2021,,,Azkoitia,"Per 10,000",Azkoitia,11.8
2020,,,Azkoitia,"Per 10,000",Azkoitia,27.1
2019,,,Azkoitia,"Per 10,000",Azkoitia,6.8
2021,,,Azpeitia,"Per 10,000",Azpeitia,17.3
2019,,,Azpeitia,"Per 10,000",Azpeitia,10.9
2022,,,Azpeitia,"Per 10,000",Azpeitia,9.3
2023,,,Azpeitia,"Per 10,000",Azpeitia,17.2
2020,,,Azpeitia,"Per 10,000",Azpeitia,18.9
2020,,,Bakio,"Per 10,000",Bakio,61.2
2022,,,Bakio,"Per 10,000",Bakio,59.4
2021,,,Bakio,"Per 10,000",Bakio,61.0
2023,,,Bakio,"Per 10,000",Bakio,49.3
2019,,,Bakio,"Per 10,000",Bakio,38.7
2019,,,Baliarrain,"Per 10,000",Baliarrain,0.0
2023,,,Baliarrain,"Per 10,000",Baliarrain,0.0
2020,,,Baliarrain,"Per 10,000",Baliarrain,0.0
2022,,,Baliarrain,"Per 10,000",Baliarrain,0.0
2021,,,Baliarrain,"Per 10,000",Baliarrain,0.0
2020,,,Balmaseda,"Per 10,000",Balmaseda,41.0
2021,,,Balmaseda,"Per 10,000",Balmaseda,35.6
2023,,,Balmaseda,"Per 10,000",Balmaseda,47.7
2019,,,Balmaseda,"Per 10,000",Balmaseda,33.5
2022,,,Balmaseda,"Per 10,000",Balmaseda,40.3
2023,,,Baños de Ebro/Mañueta,"Per 10,000",Baños de Ebro/Mañueta,0.0
2022,,,Baños de Ebro/Mañueta,"Per 10,000",Baños de Ebro/Mañueta,0.0
2021,,,Baños de Ebro/Mañueta,"Per 10,000",Baños de Ebro/Mañueta,72.7
2019,,,Baños de Ebro/Mañueta,"Per 10,000",Baños de Ebro/Mañueta,0.0
2020,,,Baños de Ebro/Mañueta,"Per 10,000",Baños de Ebro/Mañueta,145.5
2019,,,Barakaldo,"Per 10,000",Barakaldo,42.1
2023,,,Barakaldo,"Per 10,000",Barakaldo,60.5
2021,,,Barakaldo,"Per 10,000",Barakaldo,46.0
2020,,,Barakaldo,"Per 10,000",Barakaldo,40.3
2022,,,Barakaldo,"Per 10,000",Barakaldo,47.4
2022,,,Barrika,"Per 10,000",Barrika,40.1
2021,,,Barrika,"Per 10,000",Barrika,68.3
2019,,,Barrika,"Per 10,000",Barrika,0.0
2020,,,Barrika,"Per 10,000",Barrika,13.5
2023,,,Barrika,"Per 10,000",Barrika,26.0
2021,,,Barrundia,"Per 10,000",Barrundia,23.9
2023,,,Barrundia,"Per 10,000",Barrundia,0.0
2022,,,Barrundia,"Per 10,000",Barrundia,48.3
2019,,,Barrundia,"Per 10,000",Barrundia,24.1
2020,,,Barrundia,"Per 10,000",Barrundia,48.3
2019,,,Basauri,"Per 10,000",Basauri,41.7
2021,,,Basauri,"Per 10,000",Basauri,28.4
2023,,,Basauri,"Per 10,000",Basauri,40.7
2022,,,Basauri,"Per 10,000",Basauri,31.2
2020,,,Basauri,"Per 10,000",Basauri,34.1
2022,,,Beasain,"Per 10,000",Beasain,46.5
2020,,,Beasain,"Per 10,000",Beasain,21.8
2021,,,Beasain,"Per 10,000",Beasain,34.9
2019,,,Beasain,"Per 10,000",Beasain,20.3
2023,,,Beasain,"Per 10,000",Beasain,40.9
2019,,,Bedia,"Per 10,000",Bedia,18.3
2021,,,Bedia,"Per 10,000",Bedia,35.4
2020,,,Bedia,"Per 10,000",Bedia,0.0
2023,,,Bedia,"Per 10,000",Bedia,86.5
2022,,,Bedia,"Per 10,000",Bedia,0.0
2023,,,Beizama,"Per 10,000",Beizama,0.0
2021,,,Beizama,"Per 10,000",Beizama,0.0
2019,,,Beizama,"Per 10,000",Beizama,0.0
2020,,,Beizama,"Per 10,000",Beizama,0.0
2022,,,Beizama,"Per 10,000",Beizama,0.0
2023,,,Belauntza,"Per 10,000",Belauntza,71.9
2022,,,Belauntza,"Per 10,000",Belauntza,0.0
2019,,,Belauntza,"Per 10,000",Belauntza,0.0
2021,,,Belauntza,"Per 10,000",Belauntza,0.0
2020,,,Belauntza,"Per 10,000",Belauntza,0.0
2021,,,Berango,"Per 10,000",Berango,18.8
2020,,,Berango,"Per 10,000",Berango,21.6
2022,,,Berango,"Per 10,000",Berango,29.1
2023,,,Berango,"Per 10,000",Berango,15.4
2019,,,Berango,"Per 10,000",Berango,21.8
2023,,,Berantevilla,"Per 10,000",Berantevilla,0.0
2020,,,Berantevilla,"Per 10,000",Berantevilla,133.6
2021,,,Berantevilla,"Per 10,000",Berantevilla,43.2
2019,,,Berantevilla,"Per 10,000",Berantevilla,45.1
2022,,,Berantevilla,"Per 10,000",Berantevilla,0.0
2019,,,Berastegi,"Per 10,000",Berastegi,0.0
2021,,,Berastegi,"Per 10,000",Berastegi,0.0
2022,,,Berastegi,"Per 10,000",Berastegi,19.2
2020,,,Berastegi,"Per 10,000",Berastegi,0.0
2023,,,Berastegi,"Per 10,000",Berastegi,0.0
2023,,,Bergara,"Per 10,000",Bergara,32.5
2020,,,Bergara,"Per 10,000",Bergara,16.0
2019,,,Bergara,"Per 10,000",Bergara,23.9
2021,,,Bergara,"Per 10,000",Bergara,43.8
2022,,,Bergara,"Per 10,000",Bergara,44.1
2020,,,Bermeo,"Per 10,000",Bermeo,60.8
2019,,,Bermeo,"Per 10,000",Bermeo,43.5
2022,,,Bermeo,"Per 10,000",Bermeo,33.8
2023,,,Bermeo,"Per 10,000",Bermeo,55.1
2021,,,Bermeo,"Per 10,000",Bermeo,43.1
2023,,,Bernedo,"Per 10,000",Bernedo,43.2
2019,,,Bernedo,"Per 10,000",Bernedo,0.0
2021,,,Bernedo,"Per 10,000",Bernedo,0.0
2022,,,Bernedo,"Per 10,000",Bernedo,0.0
2020,,,Bernedo,"Per 10,000",Bernedo,0.0
2020,,,Berriatua,"Per 10,000",Berriatua,17.6
2022,,,Berriatua,"Per 10,000",Berriatua,17.4
2021,,,Berriatua,"Per 10,000",Berriatua,35.1
2019,,,Berriatua,"Per 10,000",Berriatua,0.0
2023,,,Berriatua,"Per 10,000",Berriatua,0.0
2019,,,Berriz,"Per 10,000",Berriz,21.1
2023,,,Berriz,"Per 10,000",Berriz,30.8
2020,,,Berriz,"Per 10,000",Berriz,33.9
2022,,,Berriz,"Per 10,000",Berriz,30.5
2021,,,Berriz,"Per 10,000",Berriz,8.6
2022,,,Berrobi,"Per 10,000",Berrobi,0.0
2019,,,Berrobi,"Per 10,000",Berrobi,33.4
2020,,,Berrobi,"Per 10,000",Berrobi,33.3
2023,,,Berrobi,"Per 10,000",Berrobi,34.8
2021,,,Berrobi,"Per 10,000",Berrobi,33.6
2020,,,Bidania-Goiatz,"Per 10,000",Bidania-Goiatz,38.0
2021,,,Bidania-Goiatz,"Per 10,000",Bidania-Goiatz,0.0
2022,,,Bidania-Goiatz,"Per 10,000",Bidania-Goiatz,0.0
2023,,,Bidania-Goiatz,"Per 10,000",Bidania-Goiatz,0.0
2019,,,Bidania-Goiatz,"Per 10,000",Bidania-Goiatz,0.0
2021,,,Bilbao,"Per 10,000",Bilbao,30.8
2023,,,Bilbao,"Per 10,000",Bilbao,41.9
2022,,,Bilbao,"Per 10,000",Bilbao,36.4
2019,,,Bilbao,"Per 10,000",Bilbao,39.2
2020,,,Bilbao,"Per 10,000",Bilbao,35.7
2019,,,Busturia,"Per 10,000",Busturia,48.5
2020,,,Busturia,"Per 10,000",Busturia,61.1
2022,,,Busturia,"Per 10,000",Busturia,12.1
2023,,,Busturia,"Per 10,000",Busturia,23.5
2021,,,Busturia,"Per 10,000",Busturia,36.7
2023,,,Campezo/Kanpezu,"Per 10,000",Campezo/Kanpezu,37.7
2020,,,Campezo/Kanpezu,"Per 10,000",Campezo/Kanpezu,0.0
2022,,,Campezo/Kanpezu,"Per 10,000",Campezo/Kanpezu,0.0
2021,,,Campezo/Kanpezu,"Per 10,000",Campezo/Kanpezu,0.0
2019,,,Campezo/Kanpezu,"Per 10,000",Campezo/Kanpezu,0.0
2019,,,Deba,"Per 10,000",Deba,7.4
2022,,,Deba,"Per 10,000",Deba,21.9
2023,,,Deba,"Per 10,000",Deba,33.0
2021,,,Deba,"Per 10,000",Deba,25.8
2020,,,Deba,"Per 10,000",Deba,11.1
2022,,,Derio,"Per 10,000",Derio,42.9
2021,,,Derio,"Per 10,000",Derio,29.7
2019,,,Derio,"Per 10,000",Derio,27.5
2023,,,Derio,"Per 10,000",Derio,68.3
2020,,,Derio,"Per 10,000",Derio,24.1
2021,,,Dima,"Per 10,000",Dima,28.2
2023,,,Dima,"Per 10,000",Dima,41.8
2020,,,Dima,"Per 10,000",Dima,70.7
2022,,,Dima,"Per 10,000",Dima,0.0
2019,,,Dima,"Per 10,000",Dima,14.1
2021,,,Donostia / San Sebastián,"Per 10,000",Donostia / San Sebastián,30.9
2019,,,Donostia / San Sebastián,"Per 10,000",Donostia / San Sebastián,38.2
2023,,,Donostia / San Sebastián,"Per 10,000",Donostia / San Sebastián,40.6
2022,,,Donostia / San Sebastián,"Per 10,000",Donostia / San Sebastián,40.6
2020,,,Donostia / San Sebastián,"Per 10,000",Donostia / San Sebastián,33.2
2019,,,Durango,"Per 10,000",Durango,31.8
2022,,,Durango,"Per 10,000",Durango,38.9
2020,,,Durango,"Per 10,000",Durango,27.7
2021,,,Durango,"Per 10,000",Durango,28.1
2023,,,Durango,"Per 10,000",Durango,35.9
2021,,,Ea,"Per 10,000",Ea,25.2
2023,,,Ea,"Per 10,000",Ea,0.0
2020,,,Ea,"Per 10,000",Ea,49.1
2019,,,Ea,"Per 10,000",Ea,24.2
2022,,,Ea,"Per 10,000",Ea,0.0
2020,,,Eibar,"Per 10,000",Eibar,41.4
2019,,,Eibar,"Per 10,000",Eibar,28.5
2022,,,Eibar,"Per 10,000",Eibar,63.9
2023,,,Eibar,"Per 10,000",Eibar,50.3
2021,,,Eibar,"Per 10,000",Eibar,43.3
2021,,,Elantxobe,"Per 10,000",Elantxobe,0.0
2019,,,Elantxobe,"Per 10,000",Elantxobe,54.5
2023,,,Elantxobe,"Per 10,000",Elantxobe,0.0
2022,,,Elantxobe,"Per 10,000",Elantxobe,0.0
2020,,,Elantxobe,"Per 10,000",Elantxobe,0.0
2021,,,Elburgo/Burgelu,"Per 10,000",Elburgo/Burgelu,0.0
2020,,,Elburgo/Burgelu,"Per 10,000",Elburgo/Burgelu,0.0
2022,,,Elburgo/Burgelu,"Per 10,000",Elburgo/Burgelu,65.7
2023,,,Elburgo/Burgelu,"Per 10,000",Elburgo/Burgelu,0.0
2019,,,Elburgo/Burgelu,"Per 10,000",Elburgo/Burgelu,0.0
2023,,,Elciego,"Per 10,000",Elciego,19.9
2019,,,Elciego,"Per 10,000",Elciego,18.5
2022,,,Elciego,"Per 10,000",Elciego,19.2
2020,,,Elciego,"Per 10,000",Elciego,0.0
2021,,,Elciego,"Per 10,000",Elciego,18.9
2021,,,Elduain,"Per 10,000",Elduain,82.0
2023,,,Elduain,"Per 10,000",Elduain,0.0
2022,,,Elduain,"Per 10,000",Elduain,83.7
2019,,,Elduain,"Per 10,000",Elduain,0.0
2020,,,Elduain,"Per 10,000",Elduain,166.0
2022,,,Elgeta,"Per 10,000",Elgeta,0.0
2021,,,Elgeta,"Per 10,000",Elgeta,0.0
2019,,,Elgeta,"Per 10,000",Elgeta,55.0
2023,,,Elgeta,"Per 10,000",Elgeta,18.4
2020,,,Elgeta,"Per 10,000",Elgeta,0.0
2019,,,Elgoibar,"Per 10,000",Elgoibar,27.6
2022,,,Elgoibar,"Per 10,000",Elgoibar,39.6
2020,,,Elgoibar,"Per 10,000",Elgoibar,34.3
2021,,,Elgoibar,"Per 10,000",Elgoibar,39.4
2023,,,Elgoibar,"Per 10,000",Elgoibar,32.8
2021,,,Elorrio,"Per 10,000",Elorrio,10.6
2020,,,Elorrio,"Per 10,000",Elorrio,13.3
2022,,,Elorrio,"Per 10,000",Elorrio,15.8
2023,,,Elorrio,"Per 10,000",Elorrio,37.1
2019,,,Elorrio,"Per 10,000",Elorrio,18.8
2021,,,Elvillar/Bilar,"Per 10,000",Elvillar/Bilar,0.0
2019,,,Elvillar/Bilar,"Per 10,000",Elvillar/Bilar,52.9
2020,,,Elvillar/Bilar,"Per 10,000",Elvillar/Bilar,53.6
2023,,,Elvillar/Bilar,"Per 10,000",Elvillar/Bilar,0.0
2022,,,Elvillar/Bilar,"Per 10,000",Elvillar/Bilar,55.9
