Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2022,Residuos urbanos recogidos per cápita,,,Kg per cápita,448.5
2012,Residuos urbanos recogidos per cápita,,,Kg per cápita,475.6
2024,Residuos urbanos recogidos per cápita,,,Kg per cápita,434.1
2016,Residuos urbanos recogidos per cápita,,,Kg per cápita,478.8
2013,Residuos urbanos recogidos per cápita,,,Kg per cápita,462.4
2020,Residuos urbanos recogidos per cápita,,,Kg per cápita,450.5
2014,Residuos urbanos recogidos per cápita,,,Kg per cápita,473.7
2018,Residuos urbanos recogidos per cápita,,,Kg per cápita,488.9
2015,Residuos urbanos recogidos per cápita,,,Kg per cápita,465.6
2010,Residuos urbanos recogidos per cápita,,,Kg per cápita,491.5
2021,Residuos urbanos recogidos per cápita,,,Kg per cápita,457.7
2023,Residuos urbanos recogidos per cápita,,,Kg per cápita,426.5
2017,Residuos urbanos recogidos per cápita,,,Kg per cápita,476.3
2011,Residuos urbanos recogidos per cápita,,,Kg per cápita,485.9
2019,Residuos urbanos recogidos per cápita,,,Kg per cápita,474.6
2023,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,383.9
2017,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,426.9
2013,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,386.8
2021,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,404.1
2024,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,394.8
2015,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,413.6
2010,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,463.9
2016,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,411.2
2019,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,429.5
2020,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,411.1
2012,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,411.8
2018,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,440.6
2022,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,400.1
2014,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,397.7
2011,Residuos urbanos recogidos per cápita,,Araba/Álava,Kg per cápita,442.7
2011,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,490.8
2021,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,479.3
2018,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,486.4
2017,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,478.4
2014,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,460.8
2019,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,496.4
2024,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,442.3
2012,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,475.8
2020,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,474.2
2015,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,449.4
2022,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,471.8
2010,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,504.0
2013,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,466.2
2016,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,464.3
2023,Residuos urbanos recogidos per cápita,,Bizkaia,Kg per cápita,432.8
