Year,Series,Sexo,Territorio histórico,Units,Value
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Bizkaia,Porcentaje,69.2
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,74.9
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,92.1
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,100.0
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,74.5
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,61.8
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,78.7
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,57.2
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Mujer,Gipuzkoa,Porcentaje,72.5
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,58.4
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,57.5
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,50.3
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,43.4
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,61.4
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,53.1
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,84.7
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,,Porcentaje,42.8
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,47.4
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,54.7
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,41.5
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,46.6
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,55.6
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,51.6
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,47.3
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Araba/Álava,Porcentaje,100.0
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,40.3
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,48.9
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,41.1
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,61.4
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,60.5
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,71.9
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,59.8
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,50.0
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,55.9
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,46.8
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,100.0
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,50.6
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,59.2
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,56.9
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,59.3
2024,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,67.0
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,83.0
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.5
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.7
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,81.8
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.4
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.4
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.1
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.5
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.3
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.6
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.4
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.5
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.7
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.8
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.9
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.0
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,79.9
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.7
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,82.0
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.0
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.3
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.7
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.0
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.3
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.8
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.3
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.4
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.1
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.4
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.0
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.3
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.5
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.0
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.4
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.8
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.0
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.6
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.4
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.9
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,70.5
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.0
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.6
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.9
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.6
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.1
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.5
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.6
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.2
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,72.8
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,70.1
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.9
