Year,Units,Value
2007,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.59
2008,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.59
2009,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.51
2010,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.43
2011,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.24
2012,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.31
2013,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.25
2014,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.16
2015,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.13
2016,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.05
2017,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.05
2018,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.99
2019,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.97
2020,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.96
2021,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.99
2022,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.95
2023,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.7
