Year,Sex,Province,County,Municipality,Units,GeoCode,Value
2010,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2020,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2016,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2014,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2017,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2011,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2018,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2015,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2013,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2012,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 100,000 inhabitants",Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2013,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2014,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2019,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2011,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2020,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2022,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2021,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2010,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2016,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2018,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2012,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2023,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2015,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2017,,,,Aduna,"Per 100,000 inhabitants",Aduna,0.0
2014,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2010,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2020,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2024,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2023,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2018,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2019,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2012,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2021,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2016,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2015,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2022,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2013,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2017,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2011,,,,Agurain/Salvatierra,"Per 100,000 inhabitants",Agurain/Salvatierra,0.0
2017,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2010,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2013,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2021,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2011,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2014,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2018,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2020,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2023,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2015,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2024,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2022,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2012,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2019,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2016,,,,Aia,"Per 100,000 inhabitants",Aia,0.0
2020,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2018,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2019,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2015,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2022,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2021,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2011,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2012,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2010,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2014,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2016,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2013,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2017,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2023,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2024,,,,Aizarnazabal,"Per 100,000 inhabitants",Aizarnazabal,0.0
2024,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2022,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2020,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2012,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2016,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2021,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2014,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2015,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2018,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2019,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2011,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2017,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2010,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2013,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2023,,,,Ajangiz,"Per 100,000 inhabitants",Ajangiz,0.0
2024,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2011,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2017,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2022,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2020,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2016,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2015,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2021,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2014,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2010,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2012,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2019,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2013,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2023,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2018,,,,Albiztur,"Per 100,000 inhabitants",Albiztur,0.0
2019,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2016,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2023,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2022,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2024,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2012,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2014,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2017,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2018,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2010,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2013,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2020,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2011,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2015,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2021,,,,Alegia,"Per 100,000 inhabitants",Alegia,0.0
2011,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2014,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2020,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2017,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2021,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2019,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2018,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2024,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2010,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2016,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2023,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2015,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2022,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2012,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2013,,,,Alegría-Dulantzi,"Per 100,000 inhabitants",Alegría-Dulantzi,0.0
2010,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2012,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2015,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2020,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2018,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2013,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2014,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2017,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2024,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2016,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2022,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2019,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2021,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2023,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2011,,,,Alkiza,"Per 100,000 inhabitants",Alkiza,0.0
2022,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2010,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2021,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2016,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2023,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2015,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2019,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2013,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2012,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2020,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2017,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2018,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2011,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2024,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2014,,,,Alonsotegi,"Per 100,000 inhabitants",Alonsotegi,0.0
2020,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2019,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2013,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2023,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2017,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2024,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2021,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2015,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2014,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2012,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2016,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2018,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2011,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2010,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2022,,,,Altzaga,"Per 100,000 inhabitants",Altzaga,0.0
2022,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2017,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2010,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2013,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2024,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2014,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2019,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2016,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2011,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2012,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2020,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2015,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2023,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2018,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2021,,,,Altzo,"Per 100,000 inhabitants",Altzo,0.0
2014,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2017,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2024,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2020,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2022,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2016,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2015,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2021,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2019,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2018,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2010,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2011,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2012,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2023,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2013,,,,Amezketa,"Per 100,000 inhabitants",Amezketa,0.0
2022,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2015,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2014,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2019,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2013,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2018,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2012,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2023,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2021,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2016,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2017,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2020,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2024,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2011,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2010,,,,Amorebieta-Etxano,"Per 100,000 inhabitants",Amorebieta-Etxano,0.0
2016,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2019,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2017,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2010,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2018,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2022,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2012,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2023,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2024,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2014,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2011,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2013,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2015,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2021,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2020,,,,Amoroto,"Per 100,000 inhabitants",Amoroto,0.0
2011,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2015,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2012,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2021,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2017,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2022,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2014,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2024,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2013,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2018,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2019,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2010,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2020,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2016,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2023,,,,Amurrio,"Per 100,000 inhabitants",Amurrio,0.0
2015,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2022,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2011,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2019,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2014,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2018,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2021,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2010,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2013,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2024,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2023,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2012,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2016,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2017,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2020,,,,Andoain,"Per 100,000 inhabitants",Andoain,0.0
2016,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2019,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2015,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2010,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2012,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2023,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2018,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2020,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2024,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2013,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2022,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2017,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2021,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2014,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2011,,,,Anoeta,"Per 100,000 inhabitants",Anoeta,0.0
2010,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2013,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2016,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2011,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2022,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2012,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2023,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2015,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2021,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2017,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2020,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2024,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2018,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2019,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2014,,,,Antzuola,"Per 100,000 inhabitants",Antzuola,0.0
2024,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2011,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2014,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2019,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2017,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2021,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2010,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2018,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2012,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2020,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2023,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2016,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2015,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2013,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2022,,,,Añana,"Per 100,000 inhabitants",Añana,0.0
2016,,,,Arakaldo,"Per 100,000 inhabitants",Arakaldo,0.0
2011,,,,Arakaldo,"Per 100,000 inhabitants",Arakaldo,0.0
