Year,Sex,Province,County,Municipality,Units,GeoCode,Value
2012,,,,,"Per 100,000 inhabitants",,0.0
2015,,,,,"Per 100,000 inhabitants",,0.09
2020,,,,,"Per 100,000 inhabitants",,0.05
2017,,,,,"Per 100,000 inhabitants",,0.23
2014,,,,,"Per 100,000 inhabitants",,0.05
2011,,,,,"Per 100,000 inhabitants",,0.14
2018,,,,,"Per 100,000 inhabitants",,0.18
2023,,,,,"Per 100,000 inhabitants",,0.09
2022,,,,,"Per 100,000 inhabitants",,0.27
2024,,,,,"Per 100,000 inhabitants",,0.18
2016,,,,,"Per 100,000 inhabitants",,0.14
2021,,,,,"Per 100,000 inhabitants",,0.0
2010,,,,,"Per 100,000 inhabitants",,0.18
2013,,,,,"Per 100,000 inhabitants",,0.14
2019,,,,,"Per 100,000 inhabitants",,0.09
2024,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2012,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2021,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2022,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2010,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2011,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2016,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2017,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2018,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2023,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2013,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2020,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2015,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2014,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2019,,,,Abadiño,"Per 100,000 inhabitants",Abadiño,0.0
2010,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2018,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2016,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2024,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2021,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2020,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2014,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2017,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2023,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2015,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2019,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2013,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2022,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2012,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
2011,,,,Abaltzisketa,"Per 100,000 inhabitants",Abaltzisketa,0.0
