Year,Units,Value
2010,%,7.8
2011,%,9.7
2012,%,10.8
2013,%,7.1
2014,%,7.4
2015,%,8.4
2016,%,6.5
2017,%,7.2
2018,%,6.3
2019,%,7.8
2020,%,7.6
2021,%,7.6
2022,%,8.7
2023,%,7.3
2024,%,6.8
