Year,Series,Sex,Province,Units,Value
2012,Life expectancy at birth,Female,Gipuzkoa,Years,85.81
2016,Life expectancy at birth,Female,Gipuzkoa,Years,86.3
2013,Life expectancy at birth,Female,Gipuzkoa,Years,86.25
2011,Life expectancy at birth,Female,Gipuzkoa,Years,85.82
2018,Life expectancy at birth,Female,Gipuzkoa,Years,86.25
2022,Life expectancy at birth,Female,Gipuzkoa,Years,85.84
2010,Life expectancy at birth,Female,Gipuzkoa,Years,85.49
2024,Life expectancy at birth,Male,,Years,81.65
2013,Life expectancy at birth,Male,,Years,79.78
2019,Life expectancy at birth,Male,,Years,80.82
2023,Life expectancy at birth,Male,,Years,81.17
2018,Life expectancy at birth,Male,,Years,80.54
2011,Life expectancy at birth,Male,,Years,79.08
2012,Life expectancy at birth,Male,,Years,79.27
2022,Life expectancy at birth,Male,,Years,80.52
2015,Life expectancy at birth,Male,,Years,80.08
2021,Life expectancy at birth,Male,,Years,80.64
2014,Life expectancy at birth,Male,,Years,79.91
2017,Life expectancy at birth,Male,,Years,80.37
2016,Life expectancy at birth,Male,,Years,80.34
2020,Life expectancy at birth,Male,,Years,80.68
2010,Life expectancy at birth,Male,,Years,78.88
2010,Life expectancy at birth,Male,Araba/Álava,Years,79.68
2024,Life expectancy at birth,Male,Araba/Álava,Years,82.1
2017,Life expectancy at birth,Male,Araba/Álava,Years,81.28
2016,Life expectancy at birth,Male,Araba/Álava,Years,81.38
2023,Life expectancy at birth,Male,Araba/Álava,Years,82.05
2022,Life expectancy at birth,Male,Araba/Álava,Years,81.37
2011,Life expectancy at birth,Male,Araba/Álava,Years,80.14
2018,Life expectancy at birth,Male,Araba/Álava,Years,81.22
2015,Life expectancy at birth,Male,Araba/Álava,Years,80.84
2014,Life expectancy at birth,Male,Araba/Álava,Years,80.51
2020,Life expectancy at birth,Male,Araba/Álava,Years,81.34
2013,Life expectancy at birth,Male,Araba/Álava,Years,80.58
2012,Life expectancy at birth,Male,Araba/Álava,Years,80.54
2021,Life expectancy at birth,Male,Araba/Álava,Years,81.3
2019,Life expectancy at birth,Male,Araba/Álava,Years,80.97
2011,Life expectancy at birth,Male,Bizkaia,Years,78.53
2024,Life expectancy at birth,Male,Bizkaia,Years,81.7
2022,Life expectancy at birth,Male,Bizkaia,Years,80.49
2020,Life expectancy at birth,Male,Bizkaia,Years,80.27
2021,Life expectancy at birth,Male,Bizkaia,Years,80.47
2023,Life expectancy at birth,Male,Bizkaia,Years,81.17
2018,Life expectancy at birth,Male,Bizkaia,Years,80.44
2016,Life expectancy at birth,Male,Bizkaia,Years,79.94
2017,Life expectancy at birth,Male,Bizkaia,Years,80.22
