Year,Lurralde historikoa,Sexua,Units,Value
2013,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2012,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.2
2011,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.7
2018,,Gizona,Bizirik jaiotako 1.000 umeko,2.1
2013,,Gizona,Bizirik jaiotako 1.000 umeko,1.9
2016,,Gizona,Bizirik jaiotako 1.000 umeko,1.6
2023,,Gizona,Bizirik jaiotako 1.000 umeko,1.9
2024,,Gizona,Bizirik jaiotako 1.000 umeko,1.5
2014,,Gizona,Bizirik jaiotako 1.000 umeko,1.7
2010,,Gizona,Bizirik jaiotako 1.000 umeko,1.8
2017,,Gizona,Bizirik jaiotako 1.000 umeko,1.5
2020,,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2011,,Gizona,Bizirik jaiotako 1.000 umeko,0.8
2012,,Gizona,Bizirik jaiotako 1.000 umeko,1.6
2015,,Gizona,Bizirik jaiotako 1.000 umeko,1.6
2019,,Gizona,Bizirik jaiotako 1.000 umeko,2.2
2021,,Gizona,Bizirik jaiotako 1.000 umeko,1.8
2022,,Gizona,Bizirik jaiotako 1.000 umeko,2.7
2010,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2017,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,0.7
2021,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,3.2
2023,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,4.3
2013,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.5
2012,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2015,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.2
2022,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,5.1
2016,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.9
2011,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.7
2024,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.8
2014,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.8
2020,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.6
2019,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,0.8
2018,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.9
2024,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.2
2022,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2021,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2020,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.0
2019,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.8
2018,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.2
2017,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.8
2023,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.8
2016,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.7
2015,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2014,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2013,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.0
2012,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.5
2011,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,0.9
2010,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.4
2015,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.2
2014,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.2
2013,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,3.1
2012,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2011,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.3
2010,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.5
2023,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.9
2024,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.3
2022,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.1
2021,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.6
2020,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.9
2019,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.9
2018,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2017,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.4
2016,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.3
