Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2015,,16 years and over,,,,,Arakaldo,PT,Arakaldo,16.3
2018,,16 years and over,,,,,Arakaldo,PT,Arakaldo,16.3
2021,,16 years and over,,,,,Arakaldo,PT,Arakaldo,15.8
2010,,16 years and over,,,,,Arakaldo,PT,Arakaldo,7.1
2016,,16 years and over,,,,,Arakaldo,PT,Arakaldo,11.2
2020,,16 years and over,,,,,Arakaldo,PT,Arakaldo,14.1
2018,,16 years and over,,,,,Arama,PT,Arama,6.5
2010,,16 years and over,,,,,Arama,PT,Arama,6.1
2015,,16 years and over,,,,,Arama,PT,Arama,11.4
2020,,16 years and over,,,,,Arama,PT,Arama,7.6
2016,,16 years and over,,,,,Arama,PT,Arama,5.9
2021,,16 years and over,,,,,Arama,PT,Arama,5.3
2019,,16 years and over,,,,,Arama,PT,Arama,6.1
2018,,16 years and over,,,,,Aramaio,PT,Aramaio,4.7
2010,,16 years and over,,,,,Aramaio,PT,Aramaio,5.5
2019,,16 years and over,,,,,Aramaio,PT,Aramaio,4.3
2015,,16 years and over,,,,,Aramaio,PT,Aramaio,10.8
2016,,16 years and over,,,,,Aramaio,PT,Aramaio,8.6
2020,,16 years and over,,,,,Aramaio,PT,Aramaio,4.3
2021,,16 years and over,,,,,Aramaio,PT,Aramaio,5.7
2018,,16 years and over,,,,,Arantzazu,PT,Arantzazu,9.0
2010,,16 years and over,,,,,Arantzazu,PT,Arantzazu,8.1
2015,,16 years and over,,,,,Arantzazu,PT,Arantzazu,13.2
2020,,16 years and over,,,,,Arantzazu,PT,Arantzazu,7.5
2021,,16 years and over,,,,,Arantzazu,PT,Arantzazu,10.0
2016,,16 years and over,,,,,Arantzazu,PT,Arantzazu,9.9
2019,,16 years and over,,,,,Arantzazu,PT,Arantzazu,7.2
2016,,16 years and over,,,,,Areatza,PT,Areatza,16.3
2010,,16 years and over,,,,,Areatza,PT,Areatza,7.5
2015,,16 years and over,,,,,Areatza,PT,Areatza,15.2
2018,,16 years and over,,,,,Areatza,PT,Areatza,12.6
2019,,16 years and over,,,,,Areatza,PT,Areatza,10.4
2020,,16 years and over,,,,,Areatza,PT,Areatza,8.8
2021,,16 years and over,,,,,Areatza,PT,Areatza,11.1
2015,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,11.8
2010,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,7.7
2020,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,6.8
2016,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,9.5
2021,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,6.6
2018,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,7.5
2019,,16 years and over,,,,,Aretxabaleta,PT,Aretxabaleta,7.8
