Year,Territorio histórico,Units,Value
2023,,Por 100.000,0.32
2024,,Por 100.000,0.36
2022,,Por 100.000,0.32
2025,,Por 100.000,0.63
2021,,Por 100.000,0.5
2020,,Por 100.000,0.59
2025,Araba/Álava,Por 100.000,0.3
2020,Araba/Álava,Por 100.000,0.3
2021,Araba/Álava,Por 100.000,0.61
2023,Araba/Álava,Por 100.000,0.3
2024,Araba/Álava,Por 100.000,0.3
2022,Araba/Álava,Por 100.000,0.0
2023,Bizkaia,Por 100.000,0.35
2025,Bizkaia,Por 100.000,0.69
2020,Bizkaia,Por 100.000,0.7
2021,Bizkaia,Por 100.000,0.53
2024,Bizkaia,Por 100.000,0.35
2022,Bizkaia,Por 100.000,0.35
2024,Gipuzkoa,Por 100.000,0.41
2025,Gipuzkoa,Por 100.000,0.69
2020,Gipuzkoa,Por 100.000,0.56
2021,Gipuzkoa,Por 100.000,0.42
2022,Gipuzkoa,Por 100.000,0.42
2023,Gipuzkoa,Por 100.000,0.28
