Year,Series,Territorio histórico,Units,Value
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.97
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.4
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.85
2013,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.5
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.96
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.89
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.99
2012,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,96.6
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",,Porcentaje,99.97
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,99.94
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,100.0
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,99.83
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,99.93
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,99.81
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,98.7
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,Porcentaje,99.93
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,99.94
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,100.0
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,100.0
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,99.98
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,100.0
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,99.8
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,Porcentaje,99.99
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.95
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.78
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.79
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.99
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.95
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.0
