Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2018,,,Aramaio,Porcentaje,Aramaio,14.9
2020,,,Aramaio,Porcentaje,Aramaio,11.3
2014,,,Aramaio,Porcentaje,Aramaio,15.7
2021,,,Aramaio,Porcentaje,Aramaio,15.3
2017,,,Aramaio,Porcentaje,Aramaio,14.8
2016,,,Aramaio,Porcentaje,Aramaio,12.9
2019,,,Aramaio,Porcentaje,Aramaio,12.4
2015,,,Aramaio,Porcentaje,Aramaio,14.4
2019,,,Arantzazu,Porcentaje,Arantzazu,5.3
2014,,,Arantzazu,Porcentaje,Arantzazu,3.3
2016,,,Arantzazu,Porcentaje,Arantzazu,3.8
2015,,,Arantzazu,Porcentaje,Arantzazu,3.1
2020,,,Arantzazu,Porcentaje,Arantzazu,6.0
2021,,,Arantzazu,Porcentaje,Arantzazu,7.6
2018,,,Arantzazu,Porcentaje,Arantzazu,4.4
2017,,,Arantzazu,Porcentaje,Arantzazu,3.8
2016,,,Areatza,Porcentaje,Areatza,2.2
2018,,,Areatza,Porcentaje,Areatza,2.0
2020,,,Areatza,Porcentaje,Areatza,2.7
2019,,,Areatza,Porcentaje,Areatza,2.2
2021,,,Areatza,Porcentaje,Areatza,3.5
2017,,,Areatza,Porcentaje,Areatza,2.1
2014,,,Areatza,Porcentaje,Areatza,1.7
2015,,,Areatza,Porcentaje,Areatza,1.7
2017,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.5
2018,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.3
2016,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2019,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2015,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.3
2014,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.3
2021,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2020,,,Aretxabaleta,Porcentaje,Aretxabaleta,0.4
2018,,,Armiñón,Porcentaje,Armiñón,6.5
2015,,,Armiñón,Porcentaje,Armiñón,6.6
2014,,,Armiñón,Porcentaje,Armiñón,6.0
2021,,,Armiñón,Porcentaje,Armiñón,10.0
2020,,,Armiñón,Porcentaje,Armiñón,8.6
2019,,,Armiñón,Porcentaje,Armiñón,7.3
2017,,,Armiñón,Porcentaje,Armiñón,6.7
2016,,,Armiñón,Porcentaje,Armiñón,8.2
2020,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,10.8
2014,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,11.4
2016,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,11.4
2015,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,9.9
2019,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,10.9
2021,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.8
2017,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.1
2018,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,12.1
2020,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.6
2015,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.8
2021,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.9
2019,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.7
2017,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.5
2018,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.3
2014,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,2.0
2016,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,1.9
2017,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2014,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2020,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2016,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2019,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2018,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2021,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.2
2015,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,0.1
2018,,,Arratzu,Porcentaje,Arratzu,10.1
2021,,,Arratzu,Porcentaje,Arratzu,10.8
2016,,,Arratzu,Porcentaje,Arratzu,11.8
2020,,,Arratzu,Porcentaje,Arratzu,10.7
2014,,,Arratzu,Porcentaje,Arratzu,10.1
2019,,,Arratzu,Porcentaje,Arratzu,11.6
2015,,,Arratzu,Porcentaje,Arratzu,12.2
2017,,,Arratzu,Porcentaje,Arratzu,11.6
2018,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,6.8
2021,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,6.4
2016,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,8.1
2020,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,5.8
2015,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,8.4
2014,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,9.6
2019,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,6.1
2017,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,8.0
2021,,,Arrieta,Porcentaje,Arrieta,13.8
2020,,,Arrieta,Porcentaje,Arrieta,12.4
2014,,,Arrieta,Porcentaje,Arrieta,12.6
2016,,,Arrieta,Porcentaje,Arrieta,14.0
2017,,,Arrieta,Porcentaje,Arrieta,13.6
2019,,,Arrieta,Porcentaje,Arrieta,11.0
2018,,,Arrieta,Porcentaje,Arrieta,12.2
2015,,,Arrieta,Porcentaje,Arrieta,14.2
2015,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2018,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2019,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.3
2014,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2016,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2017,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.2
2020,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.3
2021,,,Arrigorriaga,Porcentaje,Arrigorriaga,0.4
2014,,,Artea,Porcentaje,Artea,1.5
2017,,,Artea,Porcentaje,Artea,1.8
2016,,,Artea,Porcentaje,Artea,1.9
2021,,,Artea,Porcentaje,Artea,2.1
2015,,,Artea,Porcentaje,Artea,1.9
2018,,,Artea,Porcentaje,Artea,1.6
2019,,,Artea,Porcentaje,Artea,1.7
2020,,,Artea,Porcentaje,Artea,1.9
2021,,,Artzentales,Porcentaje,Artzentales,17.7
2017,,,Artzentales,Porcentaje,Artzentales,11.3
2014,,,Artzentales,Porcentaje,Artzentales,11.0
2016,,,Artzentales,Porcentaje,Artzentales,10.9
2020,,,Artzentales,Porcentaje,Artzentales,13.5
2015,,,Artzentales,Porcentaje,Artzentales,9.1
2018,,,Artzentales,Porcentaje,Artzentales,12.2
2019,,,Artzentales,Porcentaje,Artzentales,12.2
2015,,,Artziniega,Porcentaje,Artziniega,2.0
2014,,,Artziniega,Porcentaje,Artziniega,2.6
2021,,,Artziniega,Porcentaje,Artziniega,2.5
2017,,,Artziniega,Porcentaje,Artziniega,2.1
2018,,,Artziniega,Porcentaje,Artziniega,2.4
2020,,,Artziniega,Porcentaje,Artziniega,1.5
2016,,,Artziniega,Porcentaje,Artziniega,1.9
2019,,,Artziniega,Porcentaje,Artziniega,1.8
2017,,,Asparrena,Porcentaje,Asparrena,1.5
2015,,,Asparrena,Porcentaje,Asparrena,2.8
2021,,,Asparrena,Porcentaje,Asparrena,1.4
2018,,,Asparrena,Porcentaje,Asparrena,1.4
2014,,,Asparrena,Porcentaje,Asparrena,3.1
2019,,,Asparrena,Porcentaje,Asparrena,1.2
2016,,,Asparrena,Porcentaje,Asparrena,2.2
2020,,,Asparrena,Porcentaje,Asparrena,1.5
2014,,,Asteasu,Porcentaje,Asteasu,2.0
2019,,,Asteasu,Porcentaje,Asteasu,1.3
2017,,,Asteasu,Porcentaje,Asteasu,1.4
2020,,,Asteasu,Porcentaje,Asteasu,1.3
2018,,,Asteasu,Porcentaje,Asteasu,1.2
2015,,,Asteasu,Porcentaje,Asteasu,1.9
2021,,,Asteasu,Porcentaje,Asteasu,1.1
2016,,,Asteasu,Porcentaje,Asteasu,1.5
2014,,,Astigarraga,Porcentaje,Astigarraga,0.1
2018,,,Astigarraga,Porcentaje,Astigarraga,0.1
2016,,,Astigarraga,Porcentaje,Astigarraga,0.1
2020,,,Astigarraga,Porcentaje,Astigarraga,0.2
2019,,,Astigarraga,Porcentaje,Astigarraga,0.2
2015,,,Astigarraga,Porcentaje,Astigarraga,0.1
2017,,,Astigarraga,Porcentaje,Astigarraga,0.1
2021,,,Astigarraga,Porcentaje,Astigarraga,0.3
2014,,,Ataun,Porcentaje,Ataun,7.6
2017,,,Ataun,Porcentaje,Ataun,7.1
2016,,,Ataun,Porcentaje,Ataun,6.5
2015,,,Ataun,Porcentaje,Ataun,6.8
2021,,,Ataun,Porcentaje,Ataun,7.6
2020,,,Ataun,Porcentaje,Ataun,6.5
2018,,,Ataun,Porcentaje,Ataun,5.5
2019,,,Ataun,Porcentaje,Ataun,6.9
2019,,,Atxondo,Porcentaje,Atxondo,1.0
2014,,,Atxondo,Porcentaje,Atxondo,0.7
2021,,,Atxondo,Porcentaje,Atxondo,1.2
2017,,,Atxondo,Porcentaje,Atxondo,0.8
2018,,,Atxondo,Porcentaje,Atxondo,0.9
2016,,,Atxondo,Porcentaje,Atxondo,0.8
2015,,,Atxondo,Porcentaje,Atxondo,0.6
2020,,,Atxondo,Porcentaje,Atxondo,0.9
2014,,,Aulesti,Porcentaje,Aulesti,5.3
2018,,,Aulesti,Porcentaje,Aulesti,7.1
2019,,,Aulesti,Porcentaje,Aulesti,7.9
2015,,,Aulesti,Porcentaje,Aulesti,5.6
2017,,,Aulesti,Porcentaje,Aulesti,7.4
2021,,,Aulesti,Porcentaje,Aulesti,9.4
2020,,,Aulesti,Porcentaje,Aulesti,6.5
2016,,,Aulesti,Porcentaje,Aulesti,7.5
2018,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,7.0
2020,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,5.4
2021,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,6.9
2016,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,7.1
2015,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,8.3
2014,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,10.7
2017,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,7.6
2019,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,5.5
2019,,,Azkoitia,Porcentaje,Azkoitia,0.8
2015,,,Azkoitia,Porcentaje,Azkoitia,0.5
2021,,,Azkoitia,Porcentaje,Azkoitia,0.8
2016,,,Azkoitia,Porcentaje,Azkoitia,0.6
2018,,,Azkoitia,Porcentaje,Azkoitia,0.6
2014,,,Azkoitia,Porcentaje,Azkoitia,0.5
2020,,,Azkoitia,Porcentaje,Azkoitia,0.7
2017,,,Azkoitia,Porcentaje,Azkoitia,0.8
2014,,,Azpeitia,Porcentaje,Azpeitia,0.5
2021,,,Azpeitia,Porcentaje,Azpeitia,0.9
2015,,,Azpeitia,Porcentaje,Azpeitia,0.6
2016,,,Azpeitia,Porcentaje,Azpeitia,0.7
2018,,,Azpeitia,Porcentaje,Azpeitia,0.6
2017,,,Azpeitia,Porcentaje,Azpeitia,0.8
2020,,,Azpeitia,Porcentaje,Azpeitia,0.8
2019,,,Azpeitia,Porcentaje,Azpeitia,0.8
2021,,,Bakio,Porcentaje,Bakio,3.3
2019,,,Bakio,Porcentaje,Bakio,2.6
2016,,,Bakio,Porcentaje,Bakio,3.6
2014,,,Bakio,Porcentaje,Bakio,4.5
2017,,,Bakio,Porcentaje,Bakio,3.0
2020,,,Bakio,Porcentaje,Bakio,2.8
2018,,,Bakio,Porcentaje,Bakio,2.4
2015,,,Bakio,Porcentaje,Bakio,4.4
2018,,,Baliarrain,Porcentaje,Baliarrain,5.6
2015,,,Baliarrain,Porcentaje,Baliarrain,7.4
2021,,,Baliarrain,Porcentaje,Baliarrain,4.6
2019,,,Baliarrain,Porcentaje,Baliarrain,6.1
2014,,,Baliarrain,Porcentaje,Baliarrain,8.6
2016,,,Baliarrain,Porcentaje,Baliarrain,6.5
2017,,,Baliarrain,Porcentaje,Baliarrain,6.4
2020,,,Baliarrain,Porcentaje,Baliarrain,5.6
2017,,,Balmaseda,Porcentaje,Balmaseda,0.8
2018,,,Balmaseda,Porcentaje,Balmaseda,0.8
2020,,,Balmaseda,Porcentaje,Balmaseda,0.9
2016,,,Balmaseda,Porcentaje,Balmaseda,0.8
2014,,,Balmaseda,Porcentaje,Balmaseda,0.6
2021,,,Balmaseda,Porcentaje,Balmaseda,1.2
2015,,,Balmaseda,Porcentaje,Balmaseda,0.6
2019,,,Balmaseda,Porcentaje,Balmaseda,0.8
2016,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,30.7
2014,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,24.0
2017,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,31.1
2019,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,32.1
2015,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,29.4
2018,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,33.4
2021,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,32.6
2020,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,35.6
2016,,,Barakaldo,Porcentaje,Barakaldo,0.0
2014,,,Barakaldo,Porcentaje,Barakaldo,0.0
2017,,,Barakaldo,Porcentaje,Barakaldo,0.0
2021,,,Barakaldo,Porcentaje,Barakaldo,0.0
2020,,,Barakaldo,Porcentaje,Barakaldo,0.0
2015,,,Barakaldo,Porcentaje,Barakaldo,0.0
2019,,,Barakaldo,Porcentaje,Barakaldo,0.0
2018,,,Barakaldo,Porcentaje,Barakaldo,0.0
2019,,,Barrika,Porcentaje,Barrika,1.6
2016,,,Barrika,Porcentaje,Barrika,1.4
2018,,,Barrika,Porcentaje,Barrika,1.5
2020,,,Barrika,Porcentaje,Barrika,1.8
2021,,,Barrika,Porcentaje,Barrika,1.6
2015,,,Barrika,Porcentaje,Barrika,1.2
2017,,,Barrika,Porcentaje,Barrika,1.7
2014,,,Barrika,Porcentaje,Barrika,1.0
2014,,,Barrundia,Porcentaje,Barrundia,27.9
