Year,Series,Territorio,Units,Value
2018,SI_AGR_SSFP,,EUR,7612.6
2020,SI_AGR_SSFP,,EUR,3757.6
2019,SI_AGR_SSFP,,EUR,7899.9
2016,SI_AGR_SSFP,,EUR,8479.1
2015,SI_AGR_SSFP,,EUR,7680.2
2017,SI_AGR_SSFP,,EUR,6744.6
2021,SI_AGR_SSFP,,EUR,4033.8
2016,SI_AGR_SSFP,ES211,EUR,17907.0
2021,SI_AGR_SSFP,ES211,EUR,7234.3
2017,SI_AGR_SSFP,ES211,EUR,12241.1
2019,SI_AGR_SSFP,ES211,EUR,12267.3
2020,SI_AGR_SSFP,ES211,EUR,7637.6
2018,SI_AGR_SSFP,ES211,EUR,14879.2
2015,SI_AGR_SSFP,ES211,EUR,18898.2
2018,SI_AGR_SSFP,ES213,EUR,7334.5
2015,SI_AGR_SSFP,ES213,EUR,6274.2
2017,SI_AGR_SSFP,ES213,EUR,5406.1
2019,SI_AGR_SSFP,ES213,EUR,11525.0
2016,SI_AGR_SSFP,ES213,EUR,7118.4
2021,SI_AGR_SSFP,ES213,EUR,5118.8
2020,SI_AGR_SSFP,ES213,EUR,7641.5
2015,SI_AGR_SSFP,ES212,EUR,4877.0
2021,SI_AGR_SSFP,ES212,EUR,2926.6
2018,SI_AGR_SSFP,ES212,EUR,6386.2
2020,SI_AGR_SSFP,ES212,EUR,1816.6
2017,SI_AGR_SSFP,ES212,EUR,6196.0
2019,SI_AGR_SSFP,ES212,EUR,5670.4
2016,SI_AGR_SSFP,ES212,EUR,6939.4
2018,SI_AGR_LSFP,,EUR,15931.4
2015,SI_AGR_LSFP,,EUR,13529.1
2019,SI_AGR_LSFP,,EUR,17862.3
2020,SI_AGR_LSFP,,EUR,16492.3
2021,SI_AGR_LSFP,,EUR,18226.4
2017,SI_AGR_LSFP,,EUR,19387.5
2016,SI_AGR_LSFP,,EUR,15834.3
2016,SI_AGR_LSFP,ES211,EUR,17472.5
2015,SI_AGR_LSFP,ES211,EUR,9404.4
2020,SI_AGR_LSFP,ES211,EUR,20197.8
2018,SI_AGR_LSFP,ES211,EUR,18254.9
2017,SI_AGR_LSFP,ES211,EUR,19983.4
2019,SI_AGR_LSFP,ES211,EUR,22051.5
2021,SI_AGR_LSFP,ES211,EUR,33766.7
2021,SI_AGR_LSFP,ES213,EUR,14025.1
2020,SI_AGR_LSFP,ES213,EUR,20190.1
2018,SI_AGR_LSFP,ES213,EUR,12988.9
2015,SI_AGR_LSFP,ES213,EUR,14542.8
2017,SI_AGR_LSFP,ES213,EUR,18102.8
2016,SI_AGR_LSFP,ES213,EUR,15362.7
2019,SI_AGR_LSFP,ES213,EUR,17973.2
2021,SI_AGR_LSFP,ES212,EUR,11246.8
2015,SI_AGR_LSFP,ES212,EUR,15465.7
2019,SI_AGR_LSFP,ES212,EUR,15346.9
2018,SI_AGR_LSFP,ES212,EUR,15629.8
2017,SI_AGR_LSFP,ES212,EUR,19512.8
2016,SI_AGR_LSFP,ES212,EUR,15024.3
2020,SI_AGR_LSFP,ES212,EUR,13018.2
