Year,Territorio,Units,Value
2023,,PT,22.1
2018,,PT,15.6
2013,,PT,23.0
2013,ES211,PT,18.9
2018,ES211,PT,7.3
2023,ES211,PT,14.5
2018,ES213,PT,12.8
2023,ES213,PT,24.9
2013,ES213,PT,20.2
2023,ES212,PT,22.6
2013,ES212,PT,25.7
2018,ES212,PT,19.5
