Year,Tipo de uso,Territorio histórico,Units,Value
2016,Otros usos,,M3,1522943.9
2020,Otros usos,,M3,1638772.1
2024,Otros usos,Araba/Álava,M3,224369.4
2023,Otros usos,Araba/Álava,M3,196804.0
2022,Otros usos,Araba/Álava,M3,176484.9
2021,Otros usos,Araba/Álava,M3,176878.9
2024,Otros usos,Bizkaia,M3,1632680.5
2023,Otros usos,Bizkaia,M3,1088286.9
2022,Otros usos,Bizkaia,M3,1251232.9
2021,Otros usos,Bizkaia,M3,1251139.6
2024,Otros usos,Gipuzkoa,M3,449326.1
2023,Otros usos,Gipuzkoa,M3,292788.4
2022,Otros usos,Gipuzkoa,M3,377996.1
2021,Otros usos,Gipuzkoa,M3,362453.8
