Year,Type of renewable technology,Province,County,Municipality,Units,GeoCode,Value
2021,Photovoltaic,,,Oyón-Oion,Watts per capita,Oyón-Oion,223.7
2017,Photovoltaic,,,Oyón-Oion,Watts per capita,Oyón-Oion,120.4
2022,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,8.4
2010,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2019,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2013,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2014,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2015,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2018,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2011,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2012,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2017,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2016,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2021,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,1.1
2023,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,9.6
2020,Photovoltaic,,,Pasaia,Watts per capita,Pasaia,0.7
2015,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,20.0
2020,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,17.4
2021,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,16.9
2023,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,39.7
2019,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,19.4
2016,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,20.1
2018,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,19.5
2010,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,20.1
2013,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,19.7
2022,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,17.2
2014,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,21.3
2017,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,19.9
2011,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,20.4
2012,Photovoltaic,,,Peñacerrada-Urizaharra,Watts per capita,Peñacerrada-Urizaharra,19.8
2017,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2013,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2020,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2011,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.1
2014,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.1
2016,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2010,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.1
2019,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2015,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2012,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2022,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,10.3
2018,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,1.2
2023,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,26.4
2021,Photovoltaic,,,Plentzia,Watts per capita,Plentzia,9.0
2012,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2015,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2021,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,5.3
2010,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2020,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,3.3
2013,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2018,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2016,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2022,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,5.4
2017,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2011,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2014,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,1.1
2019,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,3.3
2023,Photovoltaic,,,Portugalete,Watts per capita,Portugalete,7.5
2016,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,30.3
2018,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,30.1
2014,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,31.5
2023,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,15367.4
2019,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,32.1
2017,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,29.8
2020,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,15380.1
2010,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,17.1
2011,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,16.6
2012,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,31.5
2021,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,15409.2
2022,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,15419.1
2015,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,31.4
2013,Photovoltaic,,,Ribera Baja/Erriberabeitia,Watts per capita,Ribera Baja/Erriberabeitia,31.8
2021,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,441.1
2017,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,2.1
2015,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,1.8
2011,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,0.0
2010,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,0.0
2018,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,116.4
2022,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,441.1
2023,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,473.4
2019,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,114.9
2012,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,1.6
2014,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,0.0
2020,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,94.9
2016,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,2.0
2013,Photovoltaic,,,Samaniego,Watts per capita,Samaniego,1.8
2010,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,48.8
2020,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,89.3
2012,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,54.3
2011,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,55.8
2015,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,59.9
2019,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,90.1
2014,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,59.5
2017,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,60.3
2018,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,59.7
2023,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,112.5
2016,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,60.0
2013,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,59.1
2022,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,95.1
2021,Photovoltaic,,,San Millán/Donemiliaga,Watts per capita,San Millán/Donemiliaga,95.3
2023,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,8.5
2013,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2019,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,3.6
2011,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2020,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,3.7
2017,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2018,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2010,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2021,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,7.8
2016,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2022,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,7.8
2012,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2014,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2015,Photovoltaic,,,Santurtzi,Watts per capita,Santurtzi,0.6
2010,Photovoltaic,,,Segura,Watts per capita,Segura,6.7
2014,Photovoltaic,,,Segura,Watts per capita,Segura,6.7
2022,Photovoltaic,,,Segura,Watts per capita,Segura,58.7
2020,Photovoltaic,,,Segura,Watts per capita,Segura,6.6
2013,Photovoltaic,,,Segura,Watts per capita,Segura,6.6
2023,Photovoltaic,,,Segura,Watts per capita,Segura,81.1
2016,Photovoltaic,,,Segura,Watts per capita,Segura,6.5
2012,Photovoltaic,,,Segura,Watts per capita,Segura,6.6
2018,Photovoltaic,,,Segura,Watts per capita,Segura,6.4
2019,Photovoltaic,,,Segura,Watts per capita,Segura,6.4
2011,Photovoltaic,,,Segura,Watts per capita,Segura,6.7
2017,Photovoltaic,,,Segura,Watts per capita,Segura,6.6
2015,Photovoltaic,,,Segura,Watts per capita,Segura,6.5
2021,Photovoltaic,,,Segura,Watts per capita,Segura,58.2
2017,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2011,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2010,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2023,Photovoltaic,,,Sestao,Watts per capita,Sestao,3.5
2016,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2021,Photovoltaic,,,Sestao,Watts per capita,Sestao,3.6
2014,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2022,Photovoltaic,,,Sestao,Watts per capita,Sestao,3.6
2015,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2020,Photovoltaic,,,Sestao,Watts per capita,Sestao,3.7
2013,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2012,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.5
2018,Photovoltaic,,,Sestao,Watts per capita,Sestao,0.6
2019,Photovoltaic,,,Sestao,Watts per capita,Sestao,3.6
2018,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2014,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2012,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2019,Photovoltaic,,,Sondika,Watts per capita,Sondika,8.3
2022,Photovoltaic,,,Sondika,Watts per capita,Sondika,16.3
2013,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.5
2023,Photovoltaic,,,Sondika,Watts per capita,Sondika,57.7
2010,Photovoltaic,,,Sondika,Watts per capita,Sondika,6.2
2015,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2011,Photovoltaic,,,Sondika,Watts per capita,Sondika,6.2
2020,Photovoltaic,,,Sondika,Watts per capita,Sondika,14.0
2016,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2017,Photovoltaic,,,Sondika,Watts per capita,Sondika,7.6
2021,Photovoltaic,,,Sondika,Watts per capita,Sondika,15.6
2012,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2014,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2013,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2017,Photovoltaic,,,Sopela,Watts per capita,Sopela,4.5
2016,Photovoltaic,,,Sopela,Watts per capita,Sopela,4.5
2023,Photovoltaic,,,Sopela,Watts per capita,Sopela,37.8
2019,Photovoltaic,,,Sopela,Watts per capita,Sopela,7.0
2015,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2020,Photovoltaic,,,Sopela,Watts per capita,Sopela,7.3
2022,Photovoltaic,,,Sopela,Watts per capita,Sopela,12.7
2018,Photovoltaic,,,Sopela,Watts per capita,Sopela,4.4
2010,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2011,Photovoltaic,,,Sopela,Watts per capita,Sopela,1.7
2021,Photovoltaic,,,Sopela,Watts per capita,Sopela,12.1
2010,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.5
2019,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,11.1
2015,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.8
2012,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.6
2011,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.4
2014,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.8
2016,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,11.0
2020,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,14.3
2013,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,10.7
2018,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,11.3
2017,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,11.1
2021,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,29.1
2022,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,31.6
2023,Photovoltaic,,,Sopuerta,Watts per capita,Sopuerta,41.7
2023,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,85.2
2015,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.9
2021,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,7.6
2017,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.8
2014,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.9
2019,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.7
2011,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.8
2013,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.8
2012,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.7
2016,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.8
2010,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,1.8
2018,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,5.8
2020,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,6.6
2022,Photovoltaic,,,Soraluze-Placencia de las Armas,Watts per capita,Soraluze-Placencia de las Armas,7.8
2011,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2017,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2023,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,27.9
2015,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2018,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2021,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2010,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2012,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2016,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2014,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2020,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2022,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2013,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2019,Photovoltaic,,,Sukarrieta,Watts per capita,Sukarrieta,0.0
2016,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2010,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.9
2012,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2015,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2022,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,8.0
2023,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,9.0
2014,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2013,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2018,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.7
2019,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.7
2021,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,8.1
2017,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2011,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,1.8
2020,Photovoltaic,,,Tolosa,Watts per capita,Tolosa,5.4
2023,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.0
2021,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.0
2017,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.1
2013,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,10.9
2020,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.3
2018,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.3
2016,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.2
2012,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,10.6
2011,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.0
2010,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.0
2022,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,10.9
2015,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.2
2014,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.5
2019,Photovoltaic,,,Trucios-Turtzioz,Watts per capita,Trucios-Turtzioz,11.2
2015,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.1
2014,Photovoltaic,,,Ubide,Watts per capita,Ubide,5.4
2019,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.1
2018,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.2
2017,Photovoltaic,,,Ubide,Watts per capita,Ubide,5.8
2020,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.5
2013,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.1
2010,Photovoltaic,,,Ubide,Watts per capita,Ubide,5.3
2023,Photovoltaic,,,Ubide,Watts per capita,Ubide,47.7
2022,Photovoltaic,,,Ubide,Watts per capita,Ubide,45.1
2012,Photovoltaic,,,Ubide,Watts per capita,Ubide,6.0
2016,Photovoltaic,,,Ubide,Watts per capita,Ubide,5.8
2021,Photovoltaic,,,Ubide,Watts per capita,Ubide,48.0
2011,Photovoltaic,,,Ubide,Watts per capita,Ubide,5.3
2019,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.2
2017,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.3
2014,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.2
2021,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,5.0
2022,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,5.0
2023,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,7.6
2015,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.3
2012,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.3
2020,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.2
2010,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,2.7
2013,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.3
2016,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.3
2018,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.2
2011,Photovoltaic,,,Ugao-Miraballes,Watts per capita,Ugao-Miraballes,3.2
2021,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,9.4
2016,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.2
2018,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.2
2011,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.4
2015,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.2
2012,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.3
2014,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.2
2020,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,8.7
2023,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,16.1
2013,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.3
2010,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.4
2019,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,9.5
2017,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,1.2
2022,Photovoltaic,,,Urduliz,Watts per capita,Urduliz,11.4
2023,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,19.8
2021,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,12.1
2022,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,12.0
2018,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,5.4
2020,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,7.7
2013,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,2.0
2019,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,5.5
2011,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,1.9
2016,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,5.6
2012,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,2.0
2014,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,2.4
2017,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,5.5
2010,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,1.9
2015,Photovoltaic,,,Urduña/Orduña,Watts per capita,Urduña/Orduña,2.3
2017,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.6
2015,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.7
2014,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.8
2020,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,8.5
2012,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.7
2016,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.6
2018,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.6
2022,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,28.5
2021,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,29.1
2010,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.7
2013,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.7
2011,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.7
2023,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,80.2
2019,Photovoltaic,,,Urkabustaiz,Watts per capita,Urkabustaiz,0.6
2020,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,3.4
2022,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,9.8
2012,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2014,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2010,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2023,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,177.4
2018,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2016,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2015,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2021,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,8.1
2019,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,3.3
2017,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2011,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2013,Photovoltaic,,,Urnieta,Watts per capita,Urnieta,1.0
2017,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.4
2022,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,11.8
2023,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,14.4
2019,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.5
2011,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,5.5
2018,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.5
2016,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.3
2012,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,5.5
2010,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,5.5
2013,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,5.5
2020,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,11.7
2015,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.3
2014,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,6.2
2021,Photovoltaic,,,Urretxu,Watts per capita,Urretxu,11.8
2017,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,15.1
2014,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,15.3
2021,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,30.4
2010,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,14.7
2020,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,20.3
2015,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,15.3
2022,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,35.5
2012,Photovoltaic,,,Usurbil,Watts per capita,Usurbil,15.5
