Year,Computer skills,Age,Sex,Province,Units,Value
2021,,25-74 years,,,%,72.2
2023,,25-74 years,,,%,68.3
2024,,25-74 years,,,%,66.5
2019,,25-74 years,,,%,63.8
2020,,25-74 years,,,%,66.6
2021,,25-74 years,,Araba/Álava,%,72.5
2023,,25-74 years,,Araba/Álava,%,67.4
2019,,25-74 years,,Araba/Álava,%,65.5
2020,,25-74 years,,Araba/Álava,%,66.6
2022,,25-74 years,,Araba/Álava,%,65.2
2024,,25-74 years,,Araba/Álava,%,66.1
2021,,25-74 years,,Bizkaia,%,72.1
2024,,25-74 years,,Bizkaia,%,68.0
2019,,25-74 years,,Bizkaia,%,64.7
2020,,25-74 years,,Bizkaia,%,66.6
2023,,25-74 years,,Bizkaia,%,68.4
2022,,25-74 years,,Bizkaia,%,65.0
2020,,25-74 years,,Gipuzkoa,%,66.6
2023,,25-74 years,,Gipuzkoa,%,68.4
2022,,25-74 years,,Gipuzkoa,%,65.7
2021,,25-74 years,,Gipuzkoa,%,72.1
2024,,25-74 years,,Gipuzkoa,%,64.2
2019,,25-74 years,,Gipuzkoa,%,61.7
2019,,25-74 years,Female,,%,60.8
2024,,25-74 years,Female,,%,64.9
2021,,25-74 years,Female,,%,70.9
2020,,25-74 years,Female,,%,65.0
2023,,25-74 years,Female,,%,67.0
2022,,25-74 years,Female,,%,64.5
2022,,25-74 years,Female,Araba/Álava,%,64.5
2021,,25-74 years,Female,Araba/Álava,%,71.8
2019,,25-74 years,Female,Araba/Álava,%,62.2
2023,,25-74 years,Female,Araba/Álava,%,69.8
2020,,25-74 years,Female,Araba/Álava,%,67.8
2024,,25-74 years,Female,Araba/Álava,%,62.9
2020,,25-74 years,Female,Bizkaia,%,64.4
2023,,25-74 years,Female,Bizkaia,%,66.2
2019,,25-74 years,Female,Bizkaia,%,61.3
2021,,25-74 years,Female,Bizkaia,%,70.0
2022,,25-74 years,Female,Bizkaia,%,63.3
2024,,25-74 years,Female,Bizkaia,%,66.3
2019,,25-74 years,Female,Gipuzkoa,%,59.3
2021,,25-74 years,Female,Gipuzkoa,%,72.0
2020,,25-74 years,Female,Gipuzkoa,%,64.6
2024,,25-74 years,Female,Gipuzkoa,%,63.6
2023,,25-74 years,Female,Gipuzkoa,%,67.0
2022,,25-74 years,Female,Gipuzkoa,%,66.5
2019,,25-74 years,Male,,%,66.9
2022,,25-74 years,Male,,%,66.1
2023,,25-74 years,Male,,%,69.6
2020,,25-74 years,Male,,%,68.3
2024,,25-74 years,Male,,%,68.1
2021,,25-74 years,Male,,%,73.4
2021,,25-74 years,Male,Araba/Álava,%,73.2
2023,,25-74 years,Male,Araba/Álava,%,65.0
2022,,25-74 years,Male,Araba/Álava,%,65.9
2020,,25-74 years,Male,Araba/Álava,%,65.3
2024,,25-74 years,Male,Araba/Álava,%,69.4
2019,,25-74 years,Male,Araba/Álava,%,68.8
2024,,25-74 years,Male,Bizkaia,%,69.8
2020,,25-74 years,Male,Bizkaia,%,68.8
2023,,25-74 years,Male,Bizkaia,%,70.8
2021,,25-74 years,Male,Bizkaia,%,74.3
2022,,25-74 years,Male,Bizkaia,%,66.9
2019,,25-74 years,Male,Bizkaia,%,68.2
2022,,25-74 years,Male,Gipuzkoa,%,64.8
2023,,25-74 years,Male,Gipuzkoa,%,69.9
2021,,25-74 years,Male,Gipuzkoa,%,72.1
2024,,25-74 years,Male,Gipuzkoa,%,64.9
2019,,25-74 years,Male,Gipuzkoa,%,64.0
2020,,25-74 years,Male,Gipuzkoa,%,68.8
2021,Installing software or applications (apps),,,,%,64.6
2022,Installing software or applications (apps),,,,%,54.0
2024,Installing software or applications (apps),,,,%,47.8
2019,Installing software or applications (apps),,,,%,53.9
2023,Installing software or applications (apps),,,,%,51.6
2020,Installing software or applications (apps),,,,%,58.8
2021,Installing software or applications (apps),,,Araba/Álava,%,65.8
2020,Installing software or applications (apps),,,Araba/Álava,%,57.3
2022,Installing software or applications (apps),,,Araba/Álava,%,53.0
2024,Installing software or applications (apps),,,Araba/Álava,%,48.8
2023,Installing software or applications (apps),,,Araba/Álava,%,52.5
2019,Installing software or applications (apps),,,Araba/Álava,%,54.5
2023,Installing software or applications (apps),,,Bizkaia,%,51.9
2020,Installing software or applications (apps),,,Bizkaia,%,58.3
2022,Installing software or applications (apps),,,Bizkaia,%,54.5
2019,Installing software or applications (apps),,,Bizkaia,%,55.2
2021,Installing software or applications (apps),,,Bizkaia,%,64.3
2024,Installing software or applications (apps),,,Bizkaia,%,48.4
2021,Installing software or applications (apps),,,Gipuzkoa,%,64.6
2020,Installing software or applications (apps),,,Gipuzkoa,%,60.2
2023,Installing software or applications (apps),,,Gipuzkoa,%,50.7
2024,Installing software or applications (apps),,,Gipuzkoa,%,46.4
2022,Installing software or applications (apps),,,Gipuzkoa,%,53.6
2019,Installing software or applications (apps),,,Gipuzkoa,%,51.6
2020,Installing software or applications (apps),,Female,,%,56.7
2023,Installing software or applications (apps),,Female,,%,49.0
2022,Installing software or applications (apps),,Female,,%,51.9
2024,Installing software or applications (apps),,Female,,%,44.6
2021,Installing software or applications (apps),,Female,,%,61.2
2019,Installing software or applications (apps),,Female,,%,50.6
2019,Installing software or applications (apps),,Female,Araba/Álava,%,49.8
2024,Installing software or applications (apps),,Female,Araba/Álava,%,43.8
2021,Installing software or applications (apps),,Female,Araba/Álava,%,62.0
2023,Installing software or applications (apps),,Female,Araba/Álava,%,52.5
2020,Installing software or applications (apps),,Female,Araba/Álava,%,55.8
2022,Installing software or applications (apps),,Female,Araba/Álava,%,50.2
2023,Installing software or applications (apps),,Female,Bizkaia,%,49.4
2022,Installing software or applications (apps),,Female,Bizkaia,%,52.2
2021,Installing software or applications (apps),,Female,Bizkaia,%,60.6
2024,Installing software or applications (apps),,Female,Bizkaia,%,45.8
2020,Installing software or applications (apps),,Female,Bizkaia,%,56.8
2019,Installing software or applications (apps),,Female,Bizkaia,%,51.5
2019,Installing software or applications (apps),,Female,Gipuzkoa,%,49.4
2020,Installing software or applications (apps),,Female,Gipuzkoa,%,56.9
2024,Installing software or applications (apps),,Female,Gipuzkoa,%,43.1
2022,Installing software or applications (apps),,Female,Gipuzkoa,%,52.2
2021,Installing software or applications (apps),,Female,Gipuzkoa,%,62.0
2023,Installing software or applications (apps),,Female,Gipuzkoa,%,46.9
2020,Installing software or applications (apps),,Male,,%,60.9
2024,Installing software or applications (apps),,Male,,%,51.2
2021,Installing software or applications (apps),,Male,,%,68.1
2019,Installing software or applications (apps),,Male,,%,57.3
2023,Installing software or applications (apps),,Male,,%,54.3
2022,Installing software or applications (apps),,Male,,%,56.2
2023,Installing software or applications (apps),,Male,Araba/Álava,%,52.5
2021,Installing software or applications (apps),,Male,Araba/Álava,%,69.7
2020,Installing software or applications (apps),,Male,Araba/Álava,%,58.7
2024,Installing software or applications (apps),,Male,Araba/Álava,%,53.9
2019,Installing software or applications (apps),,Male,Araba/Álava,%,59.3
2022,Installing software or applications (apps),,Male,Araba/Álava,%,56.0
2022,Installing software or applications (apps),,Male,Bizkaia,%,57.0
2021,Installing software or applications (apps),,Male,Bizkaia,%,68.2
2023,Installing software or applications (apps),,Male,Bizkaia,%,54.6
2024,Installing software or applications (apps),,Male,Bizkaia,%,51.2
2020,Installing software or applications (apps),,Male,Bizkaia,%,59.8
2019,Installing software or applications (apps),,Male,Bizkaia,%,59.0
2023,Installing software or applications (apps),,Male,Gipuzkoa,%,54.5
2024,Installing software or applications (apps),,Male,Gipuzkoa,%,49.9
2019,Installing software or applications (apps),,Male,Gipuzkoa,%,53.9
2020,Installing software or applications (apps),,Male,Gipuzkoa,%,63.7
2022,Installing software or applications (apps),,Male,Gipuzkoa,%,55.1
2021,Installing software or applications (apps),,Male,Gipuzkoa,%,67.1
2021,Installing software or applications (apps),16-24 years,,,%,88.7
2024,Installing software or applications (apps),16-24 years,,,%,69.3
2020,Installing software or applications (apps),16-24 years,,,%,87.5
2022,Installing software or applications (apps),16-24 years,,,%,81.1
2019,Installing software or applications (apps),16-24 years,,,%,83.4
2023,Installing software or applications (apps),16-24 years,,,%,76.6
2022,Installing software or applications (apps),16-24 years,,Araba/Álava,%,79.5
2021,Installing software or applications (apps),16-24 years,,Araba/Álava,%,89.7
2023,Installing software or applications (apps),16-24 years,,Araba/Álava,%,72.3
2019,Installing software or applications (apps),16-24 years,,Araba/Álava,%,82.8
2024,Installing software or applications (apps),16-24 years,,Araba/Álava,%,70.0
2020,Installing software or applications (apps),16-24 years,,Araba/Álava,%,92.4
2020,Installing software or applications (apps),16-24 years,,Bizkaia,%,87.1
2022,Installing software or applications (apps),16-24 years,,Bizkaia,%,82.2
2024,Installing software or applications (apps),16-24 years,,Bizkaia,%,64.8
2021,Installing software or applications (apps),16-24 years,,Bizkaia,%,87.1
2019,Installing software or applications (apps),16-24 years,,Bizkaia,%,84.9
2023,Installing software or applications (apps),16-24 years,,Bizkaia,%,76.0
2022,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,80.0
2021,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,90.5
2023,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,79.3
2024,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,75.3
2020,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,86.0
2019,Installing software or applications (apps),16-24 years,,Gipuzkoa,%,81.5
2023,Installing software or applications (apps),16-24 years,Female,,%,79.7
2020,Installing software or applications (apps),16-24 years,Female,,%,86.8
2024,Installing software or applications (apps),16-24 years,Female,,%,65.5
2021,Installing software or applications (apps),16-24 years,Female,,%,86.3
2022,Installing software or applications (apps),16-24 years,Female,,%,78.5
2019,Installing software or applications (apps),16-24 years,Female,,%,85.7
2021,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,84.2
2019,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,83.5
2023,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,78.4
2020,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,91.9
2022,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,82.4
2024,Installing software or applications (apps),16-24 years,Female,Araba/Álava,%,66.6
2020,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,88.5
2024,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,62.3
2019,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,86.8
2023,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,79.7
2021,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,86.7
2022,Installing software or applications (apps),16-24 years,Female,Bizkaia,%,80.3
2023,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,80.1
2021,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,86.6
2019,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,85.2
2020,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,82.0
2024,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,69.7
2022,Installing software or applications (apps),16-24 years,Female,Gipuzkoa,%,74.2
2024,Installing software or applications (apps),16-24 years,Male,,%,72.7
2020,Installing software or applications (apps),16-24 years,Male,,%,88.2
2019,Installing software or applications (apps),16-24 years,Male,,%,81.0
2021,Installing software or applications (apps),16-24 years,Male,,%,90.8
2023,Installing software or applications (apps),16-24 years,Male,,%,73.7
2022,Installing software or applications (apps),16-24 years,Male,,%,83.5
2021,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,94.3
2024,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,73.2
2019,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,82.0
2023,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,67.6
2022,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,76.7
2020,Installing software or applications (apps),16-24 years,Male,Araba/Álava,%,92.8
2019,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,82.9
2021,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,87.5
2020,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,85.7
2023,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,72.4
2024,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,67.1
2022,Installing software or applications (apps),16-24 years,Male,Bizkaia,%,84.0
2020,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,89.7
2023,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,78.6
2021,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,93.7
2022,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,85.5
2019,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,78.0
2024,Installing software or applications (apps),16-24 years,Male,Gipuzkoa,%,80.3
2022,Installing software or applications (apps),25-74 years,,,%,50.4
2019,Installing software or applications (apps),25-74 years,,,%,50.6
2024,Installing software or applications (apps),25-74 years,,,%,44.8
2023,Installing software or applications (apps),25-74 years,,,%,48.3
2021,Installing software or applications (apps),25-74 years,,,%,61.4
2020,Installing software or applications (apps),25-74 years,,,%,55.2
2023,Installing software or applications (apps),25-74 years,,Araba/Álava,%,49.8
2019,Installing software or applications (apps),25-74 years,,Araba/Álava,%,51.3
2024,Installing software or applications (apps),25-74 years,,Araba/Álava,%,45.9
2020,Installing software or applications (apps),25-74 years,,Araba/Álava,%,52.9
2021,Installing software or applications (apps),25-74 years,,Araba/Álava,%,62.6
2022,Installing software or applications (apps),25-74 years,,Araba/Álava,%,49.9
2024,Installing software or applications (apps),25-74 years,,Bizkaia,%,46.2
2022,Installing software or applications (apps),25-74 years,,Bizkaia,%,50.9
2021,Installing software or applications (apps),25-74 years,,Bizkaia,%,61.4
2020,Installing software or applications (apps),25-74 years,,Bizkaia,%,54.9
2023,Installing software or applications (apps),25-74 years,,Bizkaia,%,48.9
2019,Installing software or applications (apps),25-74 years,,Bizkaia,%,52.1
2020,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,56.9
2021,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,60.9
2024,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,42.0
2019,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,47.9
2022,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,49.9
2023,Installing software or applications (apps),25-74 years,,Gipuzkoa,%,46.7
2021,Installing software or applications (apps),25-74 years,Female,,%,58.1
2019,Installing software or applications (apps),25-74 years,Female,,%,46.7
2023,Installing software or applications (apps),25-74 years,Female,,%,45.2
2020,Installing software or applications (apps),25-74 years,Female,,%,53.2
2022,Installing software or applications (apps),25-74 years,Female,,%,48.5
2024,Installing software or applications (apps),25-74 years,Female,,%,41.9
2019,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,45.8
2024,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,40.9
2021,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,59.3
2023,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,49.4
2022,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,46.4
2020,Installing software or applications (apps),25-74 years,Female,Araba/Álava,%,51.7
2024,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,43.8
2020,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,53.2
2022,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,48.7
2021,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,57.3
2023,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,45.7
2019,Installing software or applications (apps),25-74 years,Female,Bizkaia,%,47.9
2024,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,39.3
2020,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,53.7
2022,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,49.2
2021,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,58.9
2023,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,42.4
2019,Installing software or applications (apps),25-74 years,Female,Gipuzkoa,%,45.1
2020,Installing software or applications (apps),25-74 years,Male,,%,57.4
2022,Installing software or applications (apps),25-74 years,Male,,%,52.5
2024,Installing software or applications (apps),25-74 years,Male,,%,47.9
2021,Installing software or applications (apps),25-74 years,Male,,%,64.8
2019,Installing software or applications (apps),25-74 years,Male,,%,54.7
2023,Installing software or applications (apps),25-74 years,Male,,%,51.5
2023,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,50.1
2020,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,54.1
2024,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,51.2
2019,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,56.9
2022,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,53.4
2021,Installing software or applications (apps),25-74 years,Male,Araba/Álava,%,65.9
2023,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,52.2
2019,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,56.4
2024,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,48.9
2022,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,53.4
2020,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,56.6
2021,Installing software or applications (apps),25-74 years,Male,Bizkaia,%,65.6
2023,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,51.1
2024,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,44.8
2021,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,62.9
2020,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,60.1
2022,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,50.6
2019,Installing software or applications (apps),25-74 years,Male,Gipuzkoa,%,50.8
2022,"Changing the settings of any software, including the operating system and security programs",,,,%,23.0
2024,"Changing the settings of any software, including the operating system and security programs",,,,%,21.3
2020,"Changing the settings of any software, including the operating system and security programs",,,,%,28.4
2023,"Changing the settings of any software, including the operating system and security programs",,,,%,33.4
2021,"Changing the settings of any software, including the operating system and security programs",,,,%,27.9
2019,"Changing the settings of any software, including the operating system and security programs",,,,%,16.0
2022,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,23.6
2023,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,31.7
2020,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,26.8
2019,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,16.2
2021,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,27.0
2024,"Changing the settings of any software, including the operating system and security programs",,,Araba/Álava,%,24.2
2022,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,22.5
2023,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,34.4
2019,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,16.7
2021,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,28.0
2024,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,21.5
2020,"Changing the settings of any software, including the operating system and security programs",,,Bizkaia,%,27.9
2022,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,23.7
2019,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,14.7
2023,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,32.7
2021,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,28.1
2024,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,19.4
2020,"Changing the settings of any software, including the operating system and security programs",,,Gipuzkoa,%,30.1
2024,"Changing the settings of any software, including the operating system and security programs",,Female,,%,19.4
2019,"Changing the settings of any software, including the operating system and security programs",,Female,,%,11.6
2023,"Changing the settings of any software, including the operating system and security programs",,Female,,%,29.3
2020,"Changing the settings of any software, including the operating system and security programs",,Female,,%,25.5
2021,"Changing the settings of any software, including the operating system and security programs",,Female,,%,23.5
2022,"Changing the settings of any software, including the operating system and security programs",,Female,,%,19.5
2020,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,24.4
2021,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,24.1
2023,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,26.0
2024,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,24.9
2019,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,8.7
2022,"Changing the settings of any software, including the operating system and security programs",,Female,Araba/Álava,%,19.3
2023,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,30.3
2020,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,24.8
2019,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,13.5
2022,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,18.4
2024,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,19.6
2021,"Changing the settings of any software, including the operating system and security programs",,Female,Bizkaia,%,22.4
2024,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,16.7
2022,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,21.3
2019,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,9.8
2020,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,27.1
2023,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,29.3
