Year,Series,Sexo,Tipo de tenencia,Territorio histórico,Units,Value
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,%,48.5
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,%,49.2
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,%,45.6
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,%,39.8
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,%,61.4
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,%,52.9
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,%,57.1
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,%,56.9
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,%,52.8
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,%,41.8
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,%,53.4
