Year,Edad,Territorio,Units,Value
2010,Y15T19,,PER_1000_POP,6.42
2020,Y15T19,,PER_1000_POP,3.31
2025,Y15T19,,PER_1000_POP,2.98
2023,Y15T19,,PER_1000_POP,3.12
2012,Y15T19,,PER_1000_POP,5.95
2012,Y15T19,ES211,PER_1000_POP,7.43
2010,Y15T19,ES211,PER_1000_POP,8.6
2020,Y15T19,ES211,PER_1000_POP,3.63
2011,Y15T19,ES211,PER_1000_POP,8.6
2014,Y15T19,ES211,PER_1000_POP,6.67
2019,Y15T19,ES211,PER_1000_POP,5.23
2018,Y15T19,ES211,PER_1000_POP,5.24
2022,Y15T19,ES211,PER_1000_POP,3.83
2024,Y15T19,ES211,PER_1000_POP,3.26
2016,Y15T19,ES211,PER_1000_POP,6.69
2025,Y15T19,ES211,PER_1000_POP,3.25
2023,Y15T19,ES211,PER_1000_POP,3.33
2021,Y15T19,ES211,PER_1000_POP,2.63
2017,Y15T19,ES211,PER_1000_POP,6.69
2015,Y15T19,ES211,PER_1000_POP,7.21
2013,Y15T19,ES211,PER_1000_POP,6.46
2025,Y15T19,ES213,PER_1000_POP,3.46
2024,Y15T19,ES213,PER_1000_POP,2.63
2023,Y15T19,ES213,PER_1000_POP,3.56
2022,Y15T19,ES213,PER_1000_POP,3.38
2021,Y15T19,ES213,PER_1000_POP,3.76
2020,Y15T19,ES213,PER_1000_POP,3.94
2019,Y15T19,ES213,PER_1000_POP,4.46
2018,Y15T19,ES213,PER_1000_POP,3.58
2017,Y15T19,ES213,PER_1000_POP,4.59
2016,Y15T19,ES213,PER_1000_POP,4.84
2015,Y15T19,ES213,PER_1000_POP,5.41
2014,Y15T19,ES213,PER_1000_POP,6.69
2013,Y15T19,ES213,PER_1000_POP,6.5
2012,Y15T19,ES213,PER_1000_POP,6.85
2011,Y15T19,ES213,PER_1000_POP,6.19
2010,Y15T19,ES213,PER_1000_POP,6.85
2021,Y15T19,ES212,PER_1000_POP,2.2
2020,Y15T19,ES212,PER_1000_POP,2.24
2019,Y15T19,ES212,PER_1000_POP,2.71
2017,Y15T19,ES212,PER_1000_POP,3.22
2016,Y15T19,ES212,PER_1000_POP,3.89
2014,Y15T19,ES212,PER_1000_POP,3.91
2015,Y15T19,ES212,PER_1000_POP,3.46
2013,Y15T19,ES212,PER_1000_POP,4.14
2012,Y15T19,ES212,PER_1000_POP,3.92
2011,Y15T19,ES212,PER_1000_POP,4.36
2018,Y15T19,ES212,PER_1000_POP,3.11
2022,Y15T19,ES212,PER_1000_POP,2.47
2010,Y15T19,ES212,PER_1000_POP,4.77
2025,Y15T19,ES212,PER_1000_POP,2.17
2024,Y15T19,ES212,PER_1000_POP,2.17
2023,Y15T19,ES212,PER_1000_POP,2.41
