Year,Units,Value
2010,pH-a,8.082
2011,pH-a,8.08
2012,pH-a,8.082
2013,pH-a,8.077
2014,pH-a,8.072
2015,pH-a,8.069
2016,pH-a,8.066
2017,pH-a,8.069
2018,pH-a,8.06
2019,pH-a,8.061
2020,pH-a,8.052
2021,pH-a,8.055
2022,pH-a,8.054
2023,pH-a,8.051
2024,pH-a,8.048
