Year,Series,Economic activity,Units,Value
2011,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.2
2010,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.2
2016,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2018,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2020,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2023,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2021,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2022,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2019,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,0.9
2017,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2015,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.0
2014,Ammonia emissions from agriculture and livestock,Livestock,Kilotons,1.1
