Year,Velocidad,Territorio,Units,Value
2013,NET_DSL,ES212,PER_100_POP,17.3
2012,NET_DSL,ES212,PER_100_POP,16.3
2011,NET_DSL,ES212,PER_100_POP,15.3
2010,NET_DSL,ES212,PER_100_POP,14.9
2023,NET_DSL,ES212,PER_100_POP,0.9
2020,NET_DSL,ES212,PER_100_POP,3.2
2018,NET_DSL,ES212,PER_100_POP,6.5
2015,NET_FTTH,,PER_100_POP,4.1
2023,NET_FTTH,,PER_100_POP,35.0
2020,NET_FTTH,,PER_100_POP,22.5
2010,NET_FTTH,,PER_100_POP,0.1
2018,NET_FTTH,,PER_100_POP,16.8
2021,NET_FTTH,,PER_100_POP,26.5
2016,NET_FTTH,,PER_100_POP,9.4
2012,NET_FTTH,,PER_100_POP,0.2
2014,NET_FTTH,,PER_100_POP,1.9
2013,NET_FTTH,,PER_100_POP,0.5
2022,NET_FTTH,,PER_100_POP,30.2
2017,NET_FTTH,,PER_100_POP,12.7
2019,NET_FTTH,,PER_100_POP,19.9
2011,NET_FTTH,,PER_100_POP,0.2
2010,NET_FTTH,ES211,PER_100_POP,0.3
2023,NET_FTTH,ES211,PER_100_POP,36.7
2022,NET_FTTH,ES211,PER_100_POP,33.0
2021,NET_FTTH,ES211,PER_100_POP,29.9
2017,NET_FTTH,ES211,PER_100_POP,16.1
2019,NET_FTTH,ES211,PER_100_POP,22.4
2018,NET_FTTH,ES211,PER_100_POP,19.4
2020,NET_FTTH,ES211,PER_100_POP,26.4
2016,NET_FTTH,ES211,PER_100_POP,11.5
2015,NET_FTTH,ES211,PER_100_POP,5.3
2014,NET_FTTH,ES211,PER_100_POP,2.3
2013,NET_FTTH,ES211,PER_100_POP,0.9
2012,NET_FTTH,ES211,PER_100_POP,0.5
2011,NET_FTTH,ES211,PER_100_POP,0.4
2011,NET_FTTH,ES213,PER_100_POP,0.1
2010,NET_FTTH,ES213,PER_100_POP,0.0
2013,NET_FTTH,ES213,PER_100_POP,0.3
2015,NET_FTTH,ES213,PER_100_POP,3.7
2012,NET_FTTH,ES213,PER_100_POP,0.1
2016,NET_FTTH,ES213,PER_100_POP,8.8
