Year,Sexo,Territorio,Units,Value
2011,,,PER_1000_LIVE_BIRTHS,3.4
2010,,,PER_1000_LIVE_BIRTHS,3.5
2020,,,PER_1000_LIVE_BIRTHS,3.1
2014,,,PER_1000_LIVE_BIRTHS,2.9
2013,,,PER_1000_LIVE_BIRTHS,2.8
2024,,,PER_1000_LIVE_BIRTHS,2.3
2021,,,PER_1000_LIVE_BIRTHS,2.9
2019,,,PER_1000_LIVE_BIRTHS,3.6
2023,,,PER_1000_LIVE_BIRTHS,3.1
2016,,,PER_1000_LIVE_BIRTHS,3.2
2015,,,PER_1000_LIVE_BIRTHS,3.4
2018,,,PER_1000_LIVE_BIRTHS,3.6
2012,,,PER_1000_LIVE_BIRTHS,3.2
2017,,,PER_1000_LIVE_BIRTHS,2.8
2022,,,PER_1000_LIVE_BIRTHS,3.6
2015,,ES211,PER_1000_LIVE_BIRTHS,2.5
2023,,ES211,PER_1000_LIVE_BIRTHS,5.0
2016,,ES211,PER_1000_LIVE_BIRTHS,3.6
2021,,ES211,PER_1000_LIVE_BIRTHS,3.8
2024,,ES211,PER_1000_LIVE_BIRTHS,3.8
2017,,ES211,PER_1000_LIVE_BIRTHS,3.0
2018,,ES211,PER_1000_LIVE_BIRTHS,4.5
2019,,ES211,PER_1000_LIVE_BIRTHS,2.3
2011,,ES211,PER_1000_LIVE_BIRTHS,3.8
2012,,ES211,PER_1000_LIVE_BIRTHS,3.3
2014,,ES211,PER_1000_LIVE_BIRTHS,3.0
2020,,ES211,PER_1000_LIVE_BIRTHS,3.3
2013,,ES211,PER_1000_LIVE_BIRTHS,3.2
2010,,ES211,PER_1000_LIVE_BIRTHS,3.0
2022,,ES211,PER_1000_LIVE_BIRTHS,4.4
2015,,ES213,PER_1000_LIVE_BIRTHS,4.4
2014,,ES213,PER_1000_LIVE_BIRTHS,2.6
2017,,ES213,PER_1000_LIVE_BIRTHS,2.8
2010,,ES213,PER_1000_LIVE_BIRTHS,4.2
2023,,ES213,PER_1000_LIVE_BIRTHS,3.4
2012,,ES213,PER_1000_LIVE_BIRTHS,3.2
2022,,ES213,PER_1000_LIVE_BIRTHS,3.3
2024,,ES213,PER_1000_LIVE_BIRTHS,1.6
2016,,ES213,PER_1000_LIVE_BIRTHS,3.4
2021,,ES213,PER_1000_LIVE_BIRTHS,2.7
2013,,ES213,PER_1000_LIVE_BIRTHS,2.6
2019,,ES213,PER_1000_LIVE_BIRTHS,3.9
2018,,ES213,PER_1000_LIVE_BIRTHS,3.6
2020,,ES213,PER_1000_LIVE_BIRTHS,3.0
2011,,ES213,PER_1000_LIVE_BIRTHS,3.7
2018,,ES212,PER_1000_LIVE_BIRTHS,3.1
2021,,ES212,PER_1000_LIVE_BIRTHS,2.8
2019,,ES212,PER_1000_LIVE_BIRTHS,3.7
2015,,ES212,PER_1000_LIVE_BIRTHS,2.5
2010,,ES212,PER_1000_LIVE_BIRTHS,2.8
2011,,ES212,PER_1000_LIVE_BIRTHS,2.5
2020,,ES212,PER_1000_LIVE_BIRTHS,3.0
2012,,ES212,PER_1000_LIVE_BIRTHS,3.0
2014,,ES212,PER_1000_LIVE_BIRTHS,3.3
2022,,ES212,PER_1000_LIVE_BIRTHS,3.5
2016,,ES212,PER_1000_LIVE_BIRTHS,2.7
2023,,ES212,PER_1000_LIVE_BIRTHS,1.8
2013,,ES212,PER_1000_LIVE_BIRTHS,3.0
2024,,ES212,PER_1000_LIVE_BIRTHS,2.7
2017,,ES212,PER_1000_LIVE_BIRTHS,2.5
2015,F,,PER_1000_LIVE_BIRTHS,3.4
2013,F,,PER_1000_LIVE_BIRTHS,2.7
2022,F,,PER_1000_LIVE_BIRTHS,2.4
2016,F,,PER_1000_LIVE_BIRTHS,2.8
2012,F,,PER_1000_LIVE_BIRTHS,3.6
2014,F,,PER_1000_LIVE_BIRTHS,2.8
2018,F,,PER_1000_LIVE_BIRTHS,3.7
2017,F,,PER_1000_LIVE_BIRTHS,2.2
2011,F,,PER_1000_LIVE_BIRTHS,4.2
2024,F,,PER_1000_LIVE_BIRTHS,2.0
2021,F,,PER_1000_LIVE_BIRTHS,2.8
2010,F,,PER_1000_LIVE_BIRTHS,3.8
2023,F,,PER_1000_LIVE_BIRTHS,3.0
2019,F,,PER_1000_LIVE_BIRTHS,3.3
2020,F,,PER_1000_LIVE_BIRTHS,2.8
2024,F,ES211,PER_1000_LIVE_BIRTHS,3.9
2022,F,ES211,PER_1000_LIVE_BIRTHS,1.8
2015,F,ES211,PER_1000_LIVE_BIRTHS,1.3
2020,F,ES211,PER_1000_LIVE_BIRTHS,1.7
2019,F,ES211,PER_1000_LIVE_BIRTHS,2.4
2017,F,ES211,PER_1000_LIVE_BIRTHS,2.7
2013,F,ES211,PER_1000_LIVE_BIRTHS,2.0
2011,F,ES211,PER_1000_LIVE_BIRTHS,5.3
2023,F,ES211,PER_1000_LIVE_BIRTHS,2.9
2012,F,ES211,PER_1000_LIVE_BIRTHS,4.5
2010,F,ES211,PER_1000_LIVE_BIRTHS,2.5
2014,F,ES211,PER_1000_LIVE_BIRTHS,2.5
2016,F,ES211,PER_1000_LIVE_BIRTHS,2.6
2021,F,ES211,PER_1000_LIVE_BIRTHS,3.5
2018,F,ES211,PER_1000_LIVE_BIRTHS,3.1
2023,F,ES213,PER_1000_LIVE_BIRTHS,3.7
2024,F,ES213,PER_1000_LIVE_BIRTHS,1.3
2021,F,ES213,PER_1000_LIVE_BIRTHS,2.7
2020,F,ES213,PER_1000_LIVE_BIRTHS,3.1
2017,F,ES213,PER_1000_LIVE_BIRTHS,2.4
2019,F,ES213,PER_1000_LIVE_BIRTHS,4.0
2018,F,ES213,PER_1000_LIVE_BIRTHS,4.1
2015,F,ES213,PER_1000_LIVE_BIRTHS,5.4
2013,F,ES213,PER_1000_LIVE_BIRTHS,3.0
2012,F,ES213,PER_1000_LIVE_BIRTHS,3.2
2011,F,ES213,PER_1000_LIVE_BIRTHS,4.7
2014,F,ES213,PER_1000_LIVE_BIRTHS,2.9
2010,F,ES213,PER_1000_LIVE_BIRTHS,4.2
