Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,,,,ES48911,PER_100000_POP,ES48911,0.0
2014,,,,ES48911,PER_100000_POP,ES48911,0.0
2017,,,,ES48911,PER_100000_POP,ES48911,0.0
2013,,,,ES48911,PER_100000_POP,ES48911,0.0
2010,,,,ES48911,PER_100000_POP,ES48911,0.0
2011,,,,ES48911,PER_100000_POP,ES48911,0.0
2021,,,,ES48911,PER_100000_POP,ES48911,0.0
2020,,,,ES48911,PER_100000_POP,ES48911,0.0
2022,,,,ES48911,PER_100000_POP,ES48911,0.0
2016,,,,ES48911,PER_100000_POP,ES48911,0.0
2019,,,,ES48911,PER_100000_POP,ES48911,0.0
2018,,,,ES48911,PER_100000_POP,ES48911,0.0
2023,,,,ES48911,PER_100000_POP,ES48911,0.0
2014,,,,ES20004,PER_100000_POP,ES20004,0.0
2022,,,,ES20004,PER_100000_POP,ES20004,0.0
2020,,,,ES20004,PER_100000_POP,ES20004,0.0
2010,,,,ES20004,PER_100000_POP,ES20004,0.0
2021,,,,ES20004,PER_100000_POP,ES20004,0.0
2019,,,,ES20004,PER_100000_POP,ES20004,0.0
2011,,,,ES20004,PER_100000_POP,ES20004,0.0
2012,,,,ES20004,PER_100000_POP,ES20004,0.0
2018,,,,ES20004,PER_100000_POP,ES20004,0.0
2023,,,,ES20004,PER_100000_POP,ES20004,0.0
2013,,,,ES20004,PER_100000_POP,ES20004,0.0
2016,,,,ES20004,PER_100000_POP,ES20004,0.0
2017,,,,ES20004,PER_100000_POP,ES20004,0.0
2015,,,,ES20004,PER_100000_POP,ES20004,0.0
2017,,,,ES20005,PER_100000_POP,ES20005,0.0
2011,,,,ES20005,PER_100000_POP,ES20005,0.0
2020,,,,ES20005,PER_100000_POP,ES20005,0.0
2010,,,,ES20005,PER_100000_POP,ES20005,0.0
2021,,,,ES20005,PER_100000_POP,ES20005,0.0
2016,,,,ES20005,PER_100000_POP,ES20005,0.0
2013,,,,ES20005,PER_100000_POP,ES20005,0.0
2018,,,,ES20005,PER_100000_POP,ES20005,0.0
2019,,,,ES20005,PER_100000_POP,ES20005,0.0
2023,,,,ES20005,PER_100000_POP,ES20005,0.0
2014,,,,ES20005,PER_100000_POP,ES20005,0.0
2015,,,,ES20005,PER_100000_POP,ES20005,0.0
2012,,,,ES20005,PER_100000_POP,ES20005,0.0
2022,,,,ES20005,PER_100000_POP,ES20005,0.0
2013,,,,ES01001,PER_100000_POP,ES01001,0.0
2010,,,,ES01001,PER_100000_POP,ES01001,0.0
2019,,,,ES01001,PER_100000_POP,ES01001,0.0
2018,,,,ES01001,PER_100000_POP,ES01001,0.0
2021,,,,ES01001,PER_100000_POP,ES01001,0.0
2017,,,,ES01001,PER_100000_POP,ES01001,0.0
2014,,,,ES01001,PER_100000_POP,ES01001,0.0
2012,,,,ES01001,PER_100000_POP,ES01001,0.0
2015,,,,ES01001,PER_100000_POP,ES01001,0.0
2022,,,,ES01001,PER_100000_POP,ES01001,0.0
2023,,,,ES01001,PER_100000_POP,ES01001,0.0
2011,,,,ES01001,PER_100000_POP,ES01001,0.0
2020,,,,ES01001,PER_100000_POP,ES01001,0.0
2016,,,,ES01001,PER_100000_POP,ES01001,0.0
2010,,,,ES20006,PER_100000_POP,ES20006,0.0
2018,,,,ES20006,PER_100000_POP,ES20006,0.0
2015,,,,ES20006,PER_100000_POP,ES20006,0.0
2017,,,,ES20006,PER_100000_POP,ES20006,0.0
2016,,,,ES20006,PER_100000_POP,ES20006,0.0
2021,,,,ES20006,PER_100000_POP,ES20006,0.0
2014,,,,ES20006,PER_100000_POP,ES20006,0.0
2020,,,,ES20006,PER_100000_POP,ES20006,0.0
2011,,,,ES20006,PER_100000_POP,ES20006,0.0
2013,,,,ES20006,PER_100000_POP,ES20006,0.0
2023,,,,ES20006,PER_100000_POP,ES20006,0.0
2019,,,,ES20006,PER_100000_POP,ES20006,0.0
