Year,Territorio,Units,Value
2019,,PT,47.3
2022,,PT,47.3
2021,,PT,48.8
2018,,PT,47.1
2023,,PT,47.2
2017,,PT,47.5
2015,,PT,48.2
2012,,PT,49.2
2016,,PT,47.8
2011,,PT,49.9
2014,,PT,48.4
2013,,PT,49.0
2010,,PT,50.2
2020,,PT,50.1
2012,ES211,PT,49.4
2013,ES211,PT,49.6
2014,ES211,PT,48.9
2010,ES211,PT,52.4
2018,ES211,PT,47.9
2017,ES211,PT,48.3
2011,ES211,PT,50.2
2020,ES211,PT,51.3
2021,ES211,PT,50.0
2015,ES211,PT,48.0
2019,ES211,PT,48.3
2022,ES211,PT,49.7
2016,ES211,PT,47.9
2023,ES211,PT,48.6
2013,ES213,PT,48.2
2015,ES213,PT,47.6
2016,ES213,PT,47.2
2017,ES213,PT,46.7
2019,ES213,PT,46.7
2020,ES213,PT,49.6
2021,ES213,PT,48.4
2023,ES213,PT,46.1
2010,ES213,PT,49.1
2011,ES213,PT,49.2
2012,ES213,PT,48.5
2022,ES213,PT,46.1
2018,ES213,PT,46.5
2014,ES213,PT,47.5
2022,ES212,PT,48.1
2023,ES212,PT,48.1
2010,ES212,PT,50.8
2011,ES212,PT,50.9
2012,ES212,PT,50.1
2013,ES212,PT,49.9
2014,ES212,PT,49.5
2015,ES212,PT,49.2
2016,ES212,PT,48.7
2017,ES212,PT,48.3
2018,ES212,PT,47.7
2019,ES212,PT,47.7
2020,ES212,PT,50.2
2021,ES212,PT,48.9
