Year,Territorio,Units,Value
2013,,PT,23.8
2010,,PT,23.9
2017,,PT,26.4
2012,,PT,23.3
2022,,PT,26.0
2018,,PT,25.2
2014,,PT,24.3
2011,,PT,23.3
2019,,PT,24.9
2021,,PT,27.0
2016,,PT,24.4
2020,,PT,25.5
2015,,PT,24.1
2015,ES211,PT,21.7
2016,ES211,PT,22.2
2013,ES211,PT,21.3
2019,ES211,PT,22.8
2010,ES211,PT,23.6
2017,ES211,PT,24.0
2014,ES211,PT,21.4
2018,ES211,PT,23.0
2020,ES211,PT,23.4
2022,ES211,PT,24.1
2011,ES211,PT,21.9
2021,ES211,PT,24.4
2012,ES211,PT,23.3
2011,ES213,PT,23.5
2015,ES213,PT,23.0
2017,ES213,PT,24.5
2018,ES213,PT,24.4
2019,ES213,PT,24.2
2021,ES213,PT,24.9
2022,ES213,PT,24.1
2010,ES213,PT,23.6
2012,ES213,PT,22.2
2013,ES213,PT,22.9
2014,ES213,PT,24.2
2020,ES213,PT,24.1
2016,ES213,PT,23.7
2020,ES212,PT,22.6
2021,ES212,PT,24.2
2022,ES212,PT,23.7
2010,ES212,PT,21.4
2011,ES212,PT,20.3
2012,ES212,PT,20.3
2013,ES212,PT,21.8
2014,ES212,PT,21.9
2015,ES212,PT,22.0
2016,ES212,PT,21.9
2017,ES212,PT,23.1
2018,ES212,PT,22.6
2019,ES212,PT,22.3
