Year,Series,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,EU_EMP_LFS,,,,,ES20004,PT,ES20004,83.4
2023,EU_EMP_LFS,,,,,ES20004,PT,ES20004,84.7
2023,EU_EMP_LFS,,,,,ES20005,PT,ES20005,73.5
2016,EU_EMP_LFS,,,,,ES20005,PT,ES20005,66.7
2019,EU_EMP_LFS,,,,,ES20005,PT,ES20005,72.3
2015,EU_EMP_LFS,,,,,ES20005,PT,ES20005,66.5
2010,EU_EMP_LFS,,,,,ES20005,PT,ES20005,68.7
2020,EU_EMP_LFS,,,,,ES20005,PT,ES20005,72.9
2022,EU_EMP_LFS,,,,,ES20005,PT,ES20005,75.0
2021,EU_EMP_LFS,,,,,ES20005,PT,ES20005,71.6
2018,EU_EMP_LFS,,,,,ES20005,PT,ES20005,71.7
2010,EU_EMP_LFS,,,,,ES01001,PT,ES01001,76.0
2020,EU_EMP_LFS,,,,,ES01001,PT,ES01001,77.1
2021,EU_EMP_LFS,,,,,ES01001,PT,ES01001,74.1
2015,EU_EMP_LFS,,,,,ES01001,PT,ES01001,75.5
2022,EU_EMP_LFS,,,,,ES01001,PT,ES01001,75.6
2023,EU_EMP_LFS,,,,,ES01001,PT,ES01001,77.8
2018,EU_EMP_LFS,,,,,ES01001,PT,ES01001,76.8
2019,EU_EMP_LFS,,,,,ES01001,PT,ES01001,76.3
2016,EU_EMP_LFS,,,,,ES01001,PT,ES01001,74.2
2021,EU_EMP_LFS,,,,,ES20006,PT,ES20006,76.3
2018,EU_EMP_LFS,,,,,ES20006,PT,ES20006,82.1
2010,EU_EMP_LFS,,,,,ES20006,PT,ES20006,77.5
2022,EU_EMP_LFS,,,,,ES20006,PT,ES20006,82.4
2019,EU_EMP_LFS,,,,,ES20006,PT,ES20006,80.1
2015,EU_EMP_LFS,,,,,ES20006,PT,ES20006,79.5
2023,EU_EMP_LFS,,,,,ES20006,PT,ES20006,78.9
2020,EU_EMP_LFS,,,,,ES20006,PT,ES20006,79.9
2016,EU_EMP_LFS,,,,,ES20006,PT,ES20006,78.6
2010,EU_EMP_LFS,,,,,ES48912,PT,ES48912,64.2
2022,EU_EMP_LFS,,,,,ES48912,PT,ES48912,70.1
2023,EU_EMP_LFS,,,,,ES48912,PT,ES48912,71.4
2020,EU_EMP_LFS,,,,,ES48912,PT,ES48912,68.8
2019,EU_EMP_LFS,,,,,ES48912,PT,ES48912,66.3
2016,EU_EMP_LFS,,,,,ES48912,PT,ES48912,62.9
2015,EU_EMP_LFS,,,,,ES48912,PT,ES48912,62.3
2018,EU_EMP_LFS,,,,,ES48912,PT,ES48912,67.5
2021,EU_EMP_LFS,,,,,ES48912,PT,ES48912,68.1
2021,EU_EMP_LFS,,,,,ES20906,PT,ES20906,74.4
2010,EU_EMP_LFS,,,,,ES20906,PT,ES20906,80.0
2019,EU_EMP_LFS,,,,,ES20906,PT,ES20906,76.3
2023,EU_EMP_LFS,,,,,ES20906,PT,ES20906,79.8
2018,EU_EMP_LFS,,,,,ES20906,PT,ES20906,71.9
2022,EU_EMP_LFS,,,,,ES20906,PT,ES20906,81.7
2020,EU_EMP_LFS,,,,,ES20906,PT,ES20906,71.9
2016,EU_EMP_LFS,,,,,ES20906,PT,ES20906,76.7
2015,EU_EMP_LFS,,,,,ES20906,PT,ES20906,70.0
2010,EU_EMP_LFS,,,,,ES20007,PT,ES20007,71.2
2020,EU_EMP_LFS,,,,,ES20007,PT,ES20007,70.7
2023,EU_EMP_LFS,,,,,ES20007,PT,ES20007,77.0
2016,EU_EMP_LFS,,,,,ES20007,PT,ES20007,71.0
2015,EU_EMP_LFS,,,,,ES20007,PT,ES20007,71.2
2022,EU_EMP_LFS,,,,,ES20007,PT,ES20007,79.5
2018,EU_EMP_LFS,,,,,ES20007,PT,ES20007,73.0
2021,EU_EMP_LFS,,,,,ES20007,PT,ES20007,73.0
2019,EU_EMP_LFS,,,,,ES20007,PT,ES20007,76.1
2010,EU_EMP_LFS,,,,,ES20008,PT,ES20008,71.8
2023,EU_EMP_LFS,,,,,ES20008,PT,ES20008,75.9
2018,EU_EMP_LFS,,,,,ES20008,PT,ES20008,73.1
2022,EU_EMP_LFS,,,,,ES20008,PT,ES20008,76.2
2019,EU_EMP_LFS,,,,,ES20008,PT,ES20008,74.0
2015,EU_EMP_LFS,,,,,ES20008,PT,ES20008,71.8
2020,EU_EMP_LFS,,,,,ES20008,PT,ES20008,73.7
2016,EU_EMP_LFS,,,,,ES20008,PT,ES20008,70.3
2021,EU_EMP_LFS,,,,,ES20008,PT,ES20008,73.0
2020,EU_EMP_LFS,,,,,ES48003,PT,ES48003,74.3
2021,EU_EMP_LFS,,,,,ES48003,PT,ES48003,73.5
2023,EU_EMP_LFS,,,,,ES48003,PT,ES48003,78.4
2015,EU_EMP_LFS,,,,,ES48003,PT,ES48003,69.2
2019,EU_EMP_LFS,,,,,ES48003,PT,ES48003,73.8
2016,EU_EMP_LFS,,,,,ES48003,PT,ES48003,70.1
2018,EU_EMP_LFS,,,,,ES48003,PT,ES48003,72.8
2010,EU_EMP_LFS,,,,,ES48003,PT,ES48003,67.6
2022,EU_EMP_LFS,,,,,ES48003,PT,ES48003,76.0
2019,EU_EMP_LFS,,,,,ES48004,PT,ES48004,69.6
2020,EU_EMP_LFS,,,,,ES48004,PT,ES48004,68.7
2023,EU_EMP_LFS,,,,,ES48004,PT,ES48004,74.0
2021,EU_EMP_LFS,,,,,ES48004,PT,ES48004,70.1
2010,EU_EMP_LFS,,,,,ES48004,PT,ES48004,69.7
2016,EU_EMP_LFS,,,,,ES48004,PT,ES48004,74.6
2018,EU_EMP_LFS,,,,,ES48004,PT,ES48004,71.2
2022,EU_EMP_LFS,,,,,ES48004,PT,ES48004,69.8
2015,EU_EMP_LFS,,,,,ES48004,PT,ES48004,76.3
2018,EU_EMP_LFS,,,,,ES01002,PT,ES01002,68.6
2010,EU_EMP_LFS,,,,,ES01002,PT,ES01002,65.4
2022,EU_EMP_LFS,,,,,ES01002,PT,ES01002,73.7
2023,EU_EMP_LFS,,,,,ES01002,PT,ES01002,74.4
2021,EU_EMP_LFS,,,,,ES01002,PT,ES01002,70.5
2020,EU_EMP_LFS,,,,,ES01002,PT,ES01002,70.7
2016,EU_EMP_LFS,,,,,ES01002,PT,ES01002,65.5
2015,EU_EMP_LFS,,,,,ES01002,PT,ES01002,65.6
2019,EU_EMP_LFS,,,,,ES01002,PT,ES01002,70.5
2019,EU_EMP_LFS,,,,,ES20009,PT,ES20009,73.5
2010,EU_EMP_LFS,,,,,ES20009,PT,ES20009,66.8
2021,EU_EMP_LFS,,,,,ES20009,PT,ES20009,73.7
2023,EU_EMP_LFS,,,,,ES20009,PT,ES20009,77.3
2020,EU_EMP_LFS,,,,,ES20009,PT,ES20009,74.6
2022,EU_EMP_LFS,,,,,ES20009,PT,ES20009,75.2
2015,EU_EMP_LFS,,,,,ES20009,PT,ES20009,68.5
2018,EU_EMP_LFS,,,,,ES20009,PT,ES20009,71.7
2016,EU_EMP_LFS,,,,,ES20009,PT,ES20009,68.4
2022,EU_EMP_LFS,,,,,ES20010,PT,ES20010,76.0
2010,EU_EMP_LFS,,,,,ES20010,PT,ES20010,68.7
2020,EU_EMP_LFS,,,,,ES20010,PT,ES20010,75.1
2019,EU_EMP_LFS,,,,,ES20010,PT,ES20010,74.6
2023,EU_EMP_LFS,,,,,ES20010,PT,ES20010,77.7
2015,EU_EMP_LFS,,,,,ES20010,PT,ES20010,69.2
2016,EU_EMP_LFS,,,,,ES20010,PT,ES20010,69.4
2021,EU_EMP_LFS,,,,,ES20010,PT,ES20010,73.7
2018,EU_EMP_LFS,,,,,ES20010,PT,ES20010,73.9
2018,EU_EMP_LFS,,,,,ES20011,PT,ES20011,78.5
2023,EU_EMP_LFS,,,,,ES20011,PT,ES20011,81.1
2015,EU_EMP_LFS,,,,,ES20011,PT,ES20011,74.3
2021,EU_EMP_LFS,,,,,ES20011,PT,ES20011,78.7
2019,EU_EMP_LFS,,,,,ES20011,PT,ES20011,79.3
2010,EU_EMP_LFS,,,,,ES20011,PT,ES20011,71.5
2016,EU_EMP_LFS,,,,,ES20011,PT,ES20011,74.9
2020,EU_EMP_LFS,,,,,ES20011,PT,ES20011,79.6
2022,EU_EMP_LFS,,,,,ES20011,PT,ES20011,81.5
2023,EU_EMP_LFS,,,,,ES01049,PT,ES01049,76.5
2021,EU_EMP_LFS,,,,,ES01049,PT,ES01049,76.1
2019,EU_EMP_LFS,,,,,ES01049,PT,ES01049,78.3
2015,EU_EMP_LFS,,,,,ES01049,PT,ES01049,66.3
2010,EU_EMP_LFS,,,,,ES01049,PT,ES01049,71.2
2016,EU_EMP_LFS,,,,,ES01049,PT,ES01049,74.8
2020,EU_EMP_LFS,,,,,ES01049,PT,ES01049,78.6
2018,EU_EMP_LFS,,,,,ES01049,PT,ES01049,75.2
2022,EU_EMP_LFS,,,,,ES01049,PT,ES01049,75.2
2019,EU_EMP_LFS,,,,,ES48005,PT,ES48005,77.4
2022,EU_EMP_LFS,,,,,ES48005,PT,ES48005,78.8
2020,EU_EMP_LFS,,,,,ES48005,PT,ES48005,73.8
2023,EU_EMP_LFS,,,,,ES48005,PT,ES48005,80.5
2016,EU_EMP_LFS,,,,,ES48005,PT,ES48005,80.6
2010,EU_EMP_LFS,,,,,ES48005,PT,ES48005,82.5
2015,EU_EMP_LFS,,,,,ES48005,PT,ES48005,70.5
2021,EU_EMP_LFS,,,,,ES48005,PT,ES48005,73.4
2018,EU_EMP_LFS,,,,,ES48005,PT,ES48005,75.5
2020,EU_EMP_LFS,,,,,ES20012,PT,ES20012,76.6
2018,EU_EMP_LFS,,,,,ES20012,PT,ES20012,82.6
2010,EU_EMP_LFS,,,,,ES20012,PT,ES20012,72.4
2022,EU_EMP_LFS,,,,,ES20012,PT,ES20012,74.4
2016,EU_EMP_LFS,,,,,ES20012,PT,ES20012,80.7
2015,EU_EMP_LFS,,,,,ES20012,PT,ES20012,75.6
2023,EU_EMP_LFS,,,,,ES20012,PT,ES20012,80.7
2019,EU_EMP_LFS,,,,,ES20012,PT,ES20012,78.8
2021,EU_EMP_LFS,,,,,ES20012,PT,ES20012,76.1
2016,EU_EMP_LFS,,,,,ES01003,PT,ES01003,72.3
2015,EU_EMP_LFS,,,,,ES01003,PT,ES01003,72.0
2022,EU_EMP_LFS,,,,,ES01003,PT,ES01003,77.4
2021,EU_EMP_LFS,,,,,ES01003,PT,ES01003,73.7
2023,EU_EMP_LFS,,,,,ES01003,PT,ES01003,78.6
2020,EU_EMP_LFS,,,,,ES01003,PT,ES01003,76.1
2019,EU_EMP_LFS,,,,,ES01003,PT,ES01003,77.2
2010,EU_EMP_LFS,,,,,ES01003,PT,ES01003,74.0
2018,EU_EMP_LFS,,,,,ES01003,PT,ES01003,77.3
2020,EU_EMP_LFS,,,,,ES48006,PT,ES48006,71.6
2019,EU_EMP_LFS,,,,,ES48006,PT,ES48006,72.0
2016,EU_EMP_LFS,,,,,ES48006,PT,ES48006,71.6
2018,EU_EMP_LFS,,,,,ES48006,PT,ES48006,70.7
2022,EU_EMP_LFS,,,,,ES48006,PT,ES48006,73.3
2010,EU_EMP_LFS,,,,,ES48006,PT,ES48006,67.6
2015,EU_EMP_LFS,,,,,ES48006,PT,ES48006,68.3
2023,EU_EMP_LFS,,,,,ES48006,PT,ES48006,77.7
2021,EU_EMP_LFS,,,,,ES48006,PT,ES48006,70.0
2020,EU_EMP_LFS,,,,,ES48093,PT,ES48093,71.7
2023,EU_EMP_LFS,,,,,ES48093,PT,ES48093,75.2
2019,EU_EMP_LFS,,,,,ES48093,PT,ES48093,73.8
2018,EU_EMP_LFS,,,,,ES48093,PT,ES48093,71.5
2016,EU_EMP_LFS,,,,,ES48093,PT,ES48093,69.5
2021,EU_EMP_LFS,,,,,ES48093,PT,ES48093,69.1
2022,EU_EMP_LFS,,,,,ES48093,PT,ES48093,72.0
2015,EU_EMP_LFS,,,,,ES48093,PT,ES48093,68.1
2010,EU_EMP_LFS,,,,,ES48093,PT,ES48093,68.3
2020,EU_EMP_LFS,,,,,ES20013,PT,ES20013,77.0
2023,EU_EMP_LFS,,,,,ES20013,PT,ES20013,79.2
2016,EU_EMP_LFS,,,,,ES20013,PT,ES20013,72.7
2018,EU_EMP_LFS,,,,,ES20013,PT,ES20013,75.4
2010,EU_EMP_LFS,,,,,ES20013,PT,ES20013,70.3
2021,EU_EMP_LFS,,,,,ES20013,PT,ES20013,75.8
2019,EU_EMP_LFS,,,,,ES20013,PT,ES20013,75.5
2022,EU_EMP_LFS,,,,,ES20013,PT,ES20013,77.7
2015,EU_EMP_LFS,,,,,ES20013,PT,ES20013,70.8
2023,EU_EMP_LFS,,,,,ES01006,PT,ES01006,76.3
2020,EU_EMP_LFS,,,,,ES01006,PT,ES01006,73.3
2019,EU_EMP_LFS,,,,,ES01006,PT,ES01006,77.0
2021,EU_EMP_LFS,,,,,ES01006,PT,ES01006,72.1
2022,EU_EMP_LFS,,,,,ES01006,PT,ES01006,77.7
2018,EU_EMP_LFS,,,,,ES01006,PT,ES01006,78.8
2010,EU_EMP_LFS,,,,,ES01006,PT,ES01006,69.0
2015,EU_EMP_LFS,,,,,ES01006,PT,ES01006,75.8
2016,EU_EMP_LFS,,,,,ES01006,PT,ES01006,73.2
2021,EU_EMP_LFS,,,,,ES01037,PT,ES01037,79.5
2022,EU_EMP_LFS,,,,,ES01037,PT,ES01037,82.9
2010,EU_EMP_LFS,,,,,ES01037,PT,ES01037,75.0
2015,EU_EMP_LFS,,,,,ES01037,PT,ES01037,76.4
2016,EU_EMP_LFS,,,,,ES01037,PT,ES01037,76.7
2020,EU_EMP_LFS,,,,,ES01037,PT,ES01037,81.7
2018,EU_EMP_LFS,,,,,ES01037,PT,ES01037,79.4
2019,EU_EMP_LFS,,,,,ES01037,PT,ES01037,79.8
2023,EU_EMP_LFS,,,,,ES01037,PT,ES01037,83.4
2019,EU_EMP_LFS,,,,,ES48009,PT,ES48009,74.0
2023,EU_EMP_LFS,,,,,ES48009,PT,ES48009,79.0
2021,EU_EMP_LFS,,,,,ES48009,PT,ES48009,74.7
