Year,Series,Tratamiento,Territorio,Units,Value
2016,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,4.4
2017,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,4.2
2021,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,1.6
2014,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,3.5
2022,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,1.3
2018,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,4.4
2020,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,2.1
2020,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,42.2
2015,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,49.4
2014,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,44.2
2013,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,43.0
2022,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,43.8
2018,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,39.6
2019,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,41.2
2016,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,42.5
2017,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,41.9
2021,EN_MWT_TREATV,WT_INCINRT_EGY,ES213,PT,41.2
2020,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,21.9
2016,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,6.9
2014,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,7.4
2015,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,6.9
2013,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,9.3
2022,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,29.8
2021,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,30.1
2018,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,5.6
2017,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,5.4
2019,EN_MWT_TREATV,WT_INCINRT_EGY,ES212,PT,1.1
2010,EN_MWT_TREATV,WT_LANDFIL,,PT,53.9
2016,EN_MWT_TREATV,WT_LANDFIL,,PT,37.3
2020,EN_MWT_TREATV,WT_LANDFIL,,PT,21.9
2011,EN_MWT_TREATV,WT_LANDFIL,,PT,51.1
2017,EN_MWT_TREATV,WT_LANDFIL,,PT,36.4
2014,EN_MWT_TREATV,WT_LANDFIL,,PT,41.2
2013,EN_MWT_TREATV,WT_LANDFIL,,PT,45.2
2022,EN_MWT_TREATV,WT_LANDFIL,,PT,18.6
2019,EN_MWT_TREATV,WT_LANDFIL,,PT,31.7
2021,EN_MWT_TREATV,WT_LANDFIL,,PT,22.1
2018,EN_MWT_TREATV,WT_LANDFIL,,PT,35.7
2012,EN_MWT_TREATV,WT_LANDFIL,,PT,50.7
2015,EN_MWT_TREATV,WT_LANDFIL,,PT,35.6
2019,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,58.7
2016,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,61.8
2020,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,58.8
2013,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,72.1
2018,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,64.0
2015,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,65.1
2021,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,59.5
2022,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,53.8
2014,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,69.5
2017,EN_MWT_TREATV,WT_LANDFIL,ES211,PT,64.5
2018,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,24.5
2019,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,21.0
2016,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,26.4
2014,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,27.6
2015,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,21.9
2017,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,23.3
2021,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,21.7
2022,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,17.0
2020,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,19.7
2013,EN_MWT_TREATV,WT_LANDFIL,ES213,PT,30.4
2022,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,6.6
2020,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,8.8
2021,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,6.6
2018,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,41.4
2016,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,44.7
2019,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,39.6
2014,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,50.7
2017,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,45.9
2013,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,58.8
2015,EN_MWT_TREATV,WT_LANDFIL,ES212,PT,44.8
