Year,Sexo,Territorio,Units,Value
2011,,,PT,22.8
2010,,,PT,22.9
2020,,,PT,20.5
2014,,,PT,20.5
2013,,,PT,21.1
2024,,,PT,19.0
2021,,,PT,20.0
2019,,,PT,20.5
2023,,,PT,18.9
2016,,,PT,19.8
2015,,,PT,19.7
2018,,,PT,20.9
2012,,,PT,22.3
2017,,,PT,20.3
2022,,,PT,19.2
2015,,ES211,PT,27.3
2023,,ES211,PT,23.4
2016,,ES211,PT,27.5
2021,,ES211,PT,25.3
2024,,ES211,PT,25.4
2017,,ES211,PT,24.9
2018,,ES211,PT,23.5
2019,,ES211,PT,24.5
2011,,ES211,PT,27.5
2012,,ES211,PT,27.1
2014,,ES211,PT,23.7
2020,,ES211,PT,25.3
2013,,ES211,PT,24.4
2010,,ES211,PT,28.0
2022,,ES211,PT,24.7
2015,,ES213,PT,15.7
2014,,ES213,PT,17.8
2017,,ES213,PT,17.4
2010,,ES213,PT,18.6
2023,,ES213,PT,14.6
2012,,ES213,PT,18.9
2022,,ES213,PT,14.9
2024,,ES213,PT,15.0
2016,,ES213,PT,15.9
2021,,ES213,PT,15.8
2013,,ES213,PT,18.3
2019,,ES213,PT,15.8
2018,,ES213,PT,17.3
2020,,ES213,PT,15.8
2011,,ES213,PT,18.8
2018,,ES212,PT,25.2
2021,,ES212,PT,24.1
2019,,ES212,PT,25.9
2015,,ES212,PT,22.3
2010,,ES212,PT,27.1
2011,,ES212,PT,26.9
2020,,ES212,PT,25.5
2012,,ES212,PT,25.3
2014,,ES212,PT,23.1
2022,,ES212,PT,23.4
2016,,ES212,PT,22.4
2023,,ES212,PT,23.5
2013,,ES212,PT,24.1
2024,,ES212,PT,22.3
2017,,ES212,PT,22.7
2015,F,,PT,8.8
2013,F,,PT,8.6
2022,F,,PT,8.6
2016,F,,PT,8.6
2012,F,,PT,10.0
2014,F,,PT,8.4
2018,F,,PT,9.3
2017,F,,PT,8.6
2011,F,,PT,9.7
2024,F,,PT,8.0
2021,F,,PT,9.1
2010,F,,PT,10.2
2023,F,,PT,7.9
2019,F,,PT,9.4
2020,F,,PT,9.1
2024,F,ES211,PT,11.7
2022,F,ES211,PT,10.0
2015,F,ES211,PT,13.2
2020,F,ES211,PT,11.1
2019,F,ES211,PT,11.3
2017,F,ES211,PT,7.9
2013,F,ES211,PT,10.5
2011,F,ES211,PT,11.5
2023,F,ES211,PT,10.5
2012,F,ES211,PT,12.4
2010,F,ES211,PT,11.5
2014,F,ES211,PT,8.6
2016,F,ES211,PT,10.5
2021,F,ES211,PT,11.3
2018,F,ES211,PT,10.0
2023,F,ES213,PT,5.6
2024,F,ES213,PT,5.8
2021,F,ES213,PT,7.1
2020,F,ES213,PT,6.6
2017,F,ES213,PT,7.8
2019,F,ES213,PT,6.7
2018,F,ES213,PT,7.6
2015,F,ES213,PT,7.0
2013,F,ES213,PT,7.3
2012,F,ES213,PT,8.3
2011,F,ES213,PT,7.6
2014,F,ES213,PT,7.9
2010,F,ES213,PT,8.3
2022,F,ES213,PT,6.2
2016,F,ES213,PT,7.3
2023,F,ES212,PT,10.4
2022,F,ES212,PT,11.9
2021,F,ES212,PT,11.4
2020,F,ES212,PT,12.2
2019,F,ES212,PT,12.7
2018,F,ES212,PT,11.7
2017,F,ES212,PT,10.1
2016,F,ES212,PT,9.8
2010,F,ES212,PT,12.6
2015,F,ES212,PT,9.8
2014,F,ES212,PT,9.2
2013,F,ES212,PT,9.8
2012,F,ES212,PT,11.7
2011,F,ES212,PT,12.2
2024,F,ES212,PT,9.7
2012,M,,PT,32.8
2015,M,,PT,29.3
2022,M,,PT,28.9
2020,M,,PT,30.9
2013,M,,PT,32.0
2021,M,,PT,30.0
2016,M,,PT,29.9
2018,M,,PT,31.3
2019,M,,PT,30.5
2011,M,,PT,33.9
2014,M,,PT,31.3
2023,M,,PT,29.0
2024,M,,PT,29.2
2017,M,,PT,30.8
2010,M,,PT,33.1
2024,M,ES211,PT,37.5
2016,M,ES211,PT,41.8
2019,M,ES211,PT,35.8
2023,M,ES211,PT,34.7
2022,M,ES211,PT,37.7
2012,M,ES211,PT,39.0
2015,M,ES211,PT,38.9
2021,M,ES211,PT,37.4
2020,M,ES211,PT,37.1
2010,M,ES211,PT,41.3
2017,M,ES211,PT,39.5
2014,M,ES211,PT,36.5
2018,M,ES211,PT,35.5
2013,M,ES211,PT,35.7
2011,M,ES211,PT,40.3
2024,M,ES213,PT,23.4
2023,M,ES213,PT,23.1
2022,M,ES213,PT,23.1
2021,M,ES213,PT,24.0
2014,M,ES213,PT,26.8
2020,M,ES213,PT,24.5
2016,M,ES213,PT,24.1
2019,M,ES213,PT,24.1
2018,M,ES213,PT,26.2
2017,M,ES213,PT,26.1
2015,M,ES213,PT,23.8
2013,M,ES213,PT,27.9
2012,M,ES213,PT,28.1
2011,M,ES213,PT,28.4
2010,M,ES213,PT,27.1
2018,M,ES212,PT,37.0
2017,M,ES212,PT,34.0
2016,M,ES212,PT,33.2
2015,M,ES212,PT,33.3
2011,M,ES212,PT,39.4
2014,M,ES212,PT,35.5
2013,M,ES212,PT,36.7
2012,M,ES212,PT,37.3
2010,M,ES212,PT,38.9
2024,M,ES212,PT,34.1
2023,M,ES212,PT,35.5
2022,M,ES212,PT,33.6
2021,M,ES212,PT,35.7
2020,M,ES212,PT,37.5
2019,M,ES212,PT,37.7
