Year,Units,Value
2008,PT,6.0
2009,PT,6.3
2010,PT,9.1
2011,PT,10.4
2012,PT,10.1
2013,PT,8.3
2014,PT,8.3
2015,PT,9.0
2016,PT,7.4
2017,PT,8.6
2018,PT,7.7
2019,PT,8.0
2020,PT,9.0
2021,PT,9.4
2022,PT,10.2
2023,PT,8.9
2024,PT,9.0
