Year,Territorio,Units,Value
2023,,PER_100000,0.32
2024,,PER_100000,0.36
2022,,PER_100000,0.32
2025,,PER_100000,0.63
2021,,PER_100000,0.5
2020,,PER_100000,0.59
2025,ES211,PER_100000,0.3
2020,ES211,PER_100000,0.3
2021,ES211,PER_100000,0.61
2023,ES211,PER_100000,0.3
2024,ES211,PER_100000,0.3
2022,ES211,PER_100000,0.0
2023,ES213,PER_100000,0.35
2025,ES213,PER_100000,0.69
2020,ES213,PER_100000,0.7
2021,ES213,PER_100000,0.53
2024,ES213,PER_100000,0.35
2022,ES213,PER_100000,0.35
2024,ES212,PER_100000,0.41
2025,ES212,PER_100000,0.69
2020,ES212,PER_100000,0.56
2021,ES212,PER_100000,0.42
2022,ES212,PER_100000,0.42
2023,ES212,PER_100000,0.28
