Year,Series,Sexo,Units,Value
2012,EU_CNCR_CCR,,PT,67.7
2024,EU_CNCR_CCR,,PT,71.0
2019,EU_CNCR_CCR,,PT,71.2
2020,EU_CNCR_CCR,,PT,70.9
2015,EU_CNCR_CCR,,PT,70.3
2014,EU_CNCR_CCR,,PT,70.7
2023,EU_CNCR_CCR,,PT,69.7
2021,EU_CNCR_CCR,,PT,72.0
2018,EU_CNCR_CCR,,PT,72.5
2016,EU_CNCR_CCR,,PT,72.4
2025,EU_CNCR_CCR,,PT,71.7
2017,EU_CNCR_CCR,,PT,72.3
2013,EU_CNCR_CCR,,PT,69.7
2022,EU_CNCR_CCR,,PT,70.5
2016,EU_CNCR_CCR,F,PT,74.6
2014,EU_CNCR_CCR,F,PT,73.0
2025,EU_CNCR_CCR,F,PT,73.8
2018,EU_CNCR_CCR,F,PT,74.9
2023,EU_CNCR_CCR,F,PT,72.2
2012,EU_CNCR_CCR,F,PT,70.3
2024,EU_CNCR_CCR,F,PT,73.6
2022,EU_CNCR_CCR,F,PT,73.0
2021,EU_CNCR_CCR,F,PT,74.4
2017,EU_CNCR_CCR,F,PT,74.6
2020,EU_CNCR_CCR,F,PT,73.5
2015,EU_CNCR_CCR,F,PT,72.6
2013,EU_CNCR_CCR,F,PT,72.1
2019,EU_CNCR_CCR,F,PT,73.7
2025,EU_CNCR_CCR,M,PT,69.5
2022,EU_CNCR_CCR,M,PT,67.8
2016,EU_CNCR_CCR,M,PT,70.0
2023,EU_CNCR_CCR,M,PT,67.1
2024,EU_CNCR_CCR,M,PT,68.3
2015,EU_CNCR_CCR,M,PT,67.9
2013,EU_CNCR_CCR,M,PT,67.1
2014,EU_CNCR_CCR,M,PT,68.2
2020,EU_CNCR_CCR,M,PT,68.2
2021,EU_CNCR_CCR,M,PT,69.4
2019,EU_CNCR_CCR,M,PT,68.4
2017,EU_CNCR_CCR,M,PT,70.0
2012,EU_CNCR_CCR,M,PT,64.9
2018,EU_CNCR_CCR,M,PT,70.0
2017,EU_CNCR_BCI,,PT,76.4
2019,EU_CNCR_BCI,,PT,76.4
2012,EU_CNCR_BCI,,PT,81.8
2021,EU_CNCR_BCI,,PT,76.5
2016,EU_CNCR_BCI,,PT,79.4
2023,EU_CNCR_BCI,,PT,79.3
2014,EU_CNCR_BCI,,PT,79.8
2018,EU_CNCR_BCI,,PT,76.8
2015,EU_CNCR_BCI,,PT,80.8
2024,EU_CNCR_BCI,,PT,79.4
2013,EU_CNCR_BCI,,PT,80.3
2022,EU_CNCR_BCI,,PT,72.8
2020,EU_CNCR_BCI,,PT,74.3
