Year,Series,Actividad,Units,Value
2017,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.9
2013,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.6
2021,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.3
2019,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,6.9
2018,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.1
2010,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8.6
2022,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.3
2012,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8.0
2020,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.5
2023,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.1
2015,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.5
2014,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,7.7
2011,EU_SDG_02_60_KG_PER_HA,NFR_3B,KG_PER_HA,8.3
2012,EU_SDG_02_60_KT,,KT,4.2
2011,EU_SDG_02_60_KT,,KT,4.1
2023,EU_SDG_02_60_KT,,KT,3.6
2017,EU_SDG_02_60_KT,,KT,4.3
2019,EU_SDG_02_60_KT,,KT,4.1
2021,EU_SDG_02_60_KT,,KT,4.0
2010,EU_SDG_02_60_KT,,KT,4.3
2018,EU_SDG_02_60_KT,,KT,4.0
2016,EU_SDG_02_60_KT,,KT,4.2
2020,EU_SDG_02_60_KT,,KT,4.1
2022,EU_SDG_02_60_KT,,KT,4.0
2014,EU_SDG_02_60_KT,,KT,4.3
2015,EU_SDG_02_60_KT,,KT,4.2
2013,EU_SDG_02_60_KT,,KT,4.1
2011,EU_SDG_02_60_KT,NFR_3DF,KT,3.0
2010,EU_SDG_02_60_KT,NFR_3DF,KT,3.1
2012,EU_SDG_02_60_KT,NFR_3DF,KT,3.1
2016,EU_SDG_02_60_KT,NFR_3DF,KT,3.3
2018,EU_SDG_02_60_KT,NFR_3DF,KT,3.0
2023,EU_SDG_02_60_KT,NFR_3DF,KT,2.6
2022,EU_SDG_02_60_KT,NFR_3DF,KT,3.0
2021,EU_SDG_02_60_KT,NFR_3DF,KT,3.0
2020,EU_SDG_02_60_KT,NFR_3DF,KT,3.1
2019,EU_SDG_02_60_KT,NFR_3DF,KT,3.1
2017,EU_SDG_02_60_KT,NFR_3DF,KT,3.3
2015,EU_SDG_02_60_KT,NFR_3DF,KT,3.2
2014,EU_SDG_02_60_KT,NFR_3DF,KT,3.2
2013,EU_SDG_02_60_KT,NFR_3DF,KT,3.2
2013,EU_SDG_02_60_KT,NFR_3B,KT,0.9
2012,EU_SDG_02_60_KT,NFR_3B,KT,1.1
2011,EU_SDG_02_60_KT,NFR_3B,KT,1.2
2010,EU_SDG_02_60_KT,NFR_3B,KT,1.2
2016,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2018,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2020,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2023,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2021,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2022,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2019,EU_SDG_02_60_KT,NFR_3B,KT,0.9
2017,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2015,EU_SDG_02_60_KT,NFR_3B,KT,1.0
2014,EU_SDG_02_60_KT,NFR_3B,KT,1.1
