Year,Series,Territorio,Units,Value
2022,EU_GPI_TRN,,RO,1.07
2011,EU_GPI_TRN,,RO,1.17
2016,EU_GPI_TRN,,RO,1.0
2022,EU_SESPI,,RO,0.6
2016,EU_SESPI,,RO,0.6
2011,EU_SESPI,,RO,0.64
2016,EU_PI_HEALTH,,RO,0.66
2022,EU_PI_HEALTH,,RO,0.7
2021,EU_RUPI_TRN,,RO,1.02
2015,EU_RUPI_TRN,,RO,0.91
2014,EU_RUPI_TRN,,RO,0.91
2010,EU_RUPI_TRN,,RO,0.99
2019,EU_RUPI_TRN,,RO,0.9
2022,EU_RUPI_TRN,,RO,1.01
2016,EU_RUPI_TRN,,RO,0.94
2018,EU_RUPI_TRN,,RO,0.88
2024,EU_RUPI_TRN,,RO,0.97
2017,EU_RUPI_TRN,,RO,0.92
2020,EU_RUPI_TRN,,RO,0.99
2013,EU_RUPI_TRN,,RO,0.93
2012,EU_RUPI_TRN,,RO,0.98
2011,EU_RUPI_TRN,,RO,0.96
2023,EU_RUPI_TRN,,RO,1.02
2019,EU_RUPI_TRN,ES211,RO,0.96
2011,EU_RUPI_TRN,ES211,RO,0.68
2018,EU_RUPI_TRN,ES211,RO,1.03
2017,EU_RUPI_TRN,ES211,RO,0.84
2016,EU_RUPI_TRN,ES211,RO,0.93
2010,EU_RUPI_TRN,ES211,RO,0.43
2015,EU_RUPI_TRN,ES211,RO,0.96
2014,EU_RUPI_TRN,ES211,RO,0.7
2024,EU_RUPI_TRN,ES211,RO,0.9
2023,EU_RUPI_TRN,ES211,RO,0.89
2013,EU_RUPI_TRN,ES211,RO,0.77
2022,EU_RUPI_TRN,ES211,RO,0.85
2021,EU_RUPI_TRN,ES211,RO,0.91
2012,EU_RUPI_TRN,ES211,RO,0.8
2020,EU_RUPI_TRN,ES211,RO,0.85
2020,EU_RUPI_TRN,ES212,RO,0.94
2019,EU_RUPI_TRN,ES212,RO,0.91
2018,EU_RUPI_TRN,ES212,RO,0.86
2017,EU_RUPI_TRN,ES212,RO,0.92
2016,EU_RUPI_TRN,ES212,RO,0.99
2015,EU_RUPI_TRN,ES212,RO,0.91
2014,EU_RUPI_TRN,ES212,RO,0.9
2013,EU_RUPI_TRN,ES212,RO,1.01
2012,EU_RUPI_TRN,ES212,RO,1.0
2011,EU_RUPI_TRN,ES212,RO,0.91
2010,EU_RUPI_TRN,ES212,RO,0.95
2024,EU_RUPI_TRN,ES212,RO,1.04
2023,EU_RUPI_TRN,ES212,RO,1.1
2022,EU_RUPI_TRN,ES212,RO,1.11
2021,EU_RUPI_TRN,ES212,RO,1.03
2024,EU_RUPI_TRN,ES213,RO,0.94
2023,EU_RUPI_TRN,ES213,RO,0.99
2022,EU_RUPI_TRN,ES213,RO,0.99
2021,EU_RUPI_TRN,ES213,RO,1.05
2020,EU_RUPI_TRN,ES213,RO,1.05
2019,EU_RUPI_TRN,ES213,RO,0.89
2018,EU_RUPI_TRN,ES213,RO,0.86
2017,EU_RUPI_TRN,ES213,RO,0.95
2016,EU_RUPI_TRN,ES213,RO,0.9
2015,EU_RUPI_TRN,ES213,RO,0.88
2014,EU_RUPI_TRN,ES213,RO,0.99
2013,EU_RUPI_TRN,ES213,RO,0.93
2012,EU_RUPI_TRN,ES213,RO,0.98
2011,EU_RUPI_TRN,ES213,RO,1.05
2010,EU_RUPI_TRN,ES213,RO,1.14
