Year,Territorio,Units,Value
2017,,PT,6.3
2011,,PT,10.2
2014,,PT,7.3
2020,,PT,13.9
2010,,PT,10.7
2018,,PT,9.5
2013,,PT,14.1
2015,,PT,4.8
2023,,PT,11.2
2019,,PT,12.7
2016,,PT,4.8
2012,,PT,9.6
