Year,Units,Value
2010,IX,27.77
2011,IX,14.35
2012,IX,20.93
2013,IX,10.21
2014,IX,9.14
2015,IX,11.32
2016,IX,11.07
2017,IX,16.14
2018,IX,12.75
2019,IX,18.58
2020,IX,4.45
2021,IX,13.03
2022,IX,21.02
2023,IX,4.19
