Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2014,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2011,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2012,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2020,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2017,EU_CPA_PTP,,,ES20016,PT,ES20016,100.0
2017,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2010,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2012,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2020,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2021,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2011,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2023,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2013,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2022,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2015,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2019,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2014,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2018,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2024,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2016,EU_CPA_PTP,,,ES20003,PT,ES20003,100.0
2013,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2020,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2019,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2017,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2010,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2016,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2023,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2011,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2014,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2015,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2022,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2012,EU_CPA_PTP,,,ES48911,PT,ES48911,0.0
2021,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2018,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2024,EU_CPA_PTP,,,ES48911,PT,ES48911,100.0
2014,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2017,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2020,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2022,EU_CPA_PTP,,,ES20004,PT,ES20004,100.0
2018,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2023,EU_CPA_PTP,,,ES20004,PT,ES20004,100.0
2016,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2010,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2015,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2024,EU_CPA_PTP,,,ES20004,PT,ES20004,100.0
2012,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2011,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2019,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2021,EU_CPA_PTP,,,ES20004,PT,ES20004,100.0
