Year,Series,Territorio,Units,Value
2018,NY_GDP_MKTP_KD_ZG,,PT,3.1
2011,NY_GDP_MKTP_KD_ZG,,PT,0.3
2016,NY_GDP_MKTP_KD_ZG,,PT,3.3
2017,NY_GDP_MKTP_KD_ZG,,PT,2.8
2019,NY_GDP_MKTP_KD_ZG,,PT,2.3
2013,NY_GDP_MKTP_KD_ZG,,PT,-1.7
2010,NY_GDP_MKTP_KD_ZG,,PT,0.7
2022,NY_GDP_MKTP_KD_ZG,,PT,5.4
2020,NY_GDP_MKTP_KD_ZG,,PT,-9.6
2021,NY_GDP_MKTP_KD_ZG,,PT,6.0
2014,NY_GDP_MKTP_KD_ZG,,PT,1.7
2015,NY_GDP_MKTP_KD_ZG,,PT,3.0
2012,NY_GDP_MKTP_KD_ZG,,PT,-1.9
2020,NY_GDP_MKTP_KD_ZG,ES211,PT,-10.4
2018,NY_GDP_MKTP_KD_ZG,ES211,PT,2.2
2013,NY_GDP_MKTP_KD_ZG,ES211,PT,-1.7
2015,NY_GDP_MKTP_KD_ZG,ES211,PT,3.0
2012,NY_GDP_MKTP_KD_ZG,ES211,PT,-2.3
2014,NY_GDP_MKTP_KD_ZG,ES211,PT,2.0
2019,NY_GDP_MKTP_KD_ZG,ES211,PT,1.9
2011,NY_GDP_MKTP_KD_ZG,ES211,PT,0.8
2016,NY_GDP_MKTP_KD_ZG,ES211,PT,3.1
2021,NY_GDP_MKTP_KD_ZG,ES211,PT,6.0
2017,NY_GDP_MKTP_KD_ZG,ES211,PT,2.1
2022,NY_GDP_MKTP_KD_ZG,ES211,PT,4.3
2010,NY_GDP_MKTP_KD_ZG,ES211,PT,1.2
2017,NY_GDP_MKTP_KD_ZG,ES213,PT,3.0
2011,NY_GDP_MKTP_KD_ZG,ES213,PT,0.2
2019,NY_GDP_MKTP_KD_ZG,ES213,PT,2.2
2021,NY_GDP_MKTP_KD_ZG,ES213,PT,6.1
2016,NY_GDP_MKTP_KD_ZG,ES213,PT,3.5
2014,NY_GDP_MKTP_KD_ZG,ES213,PT,1.4
2015,NY_GDP_MKTP_KD_ZG,ES213,PT,2.8
2022,NY_GDP_MKTP_KD_ZG,ES213,PT,6.5
2018,NY_GDP_MKTP_KD_ZG,ES213,PT,2.9
2020,NY_GDP_MKTP_KD_ZG,ES213,PT,-9.2
2013,NY_GDP_MKTP_KD_ZG,ES213,PT,-1.5
2010,NY_GDP_MKTP_KD_ZG,ES213,PT,0.6
2012,NY_GDP_MKTP_KD_ZG,ES213,PT,-2.2
2014,NY_GDP_MKTP_KD_ZG,ES212,PT,1.7
2010,NY_GDP_MKTP_KD_ZG,ES212,PT,0.6
2020,NY_GDP_MKTP_KD_ZG,ES212,PT,-10.0
2021,NY_GDP_MKTP_KD_ZG,ES212,PT,6.0
2022,NY_GDP_MKTP_KD_ZG,ES212,PT,4.3
2018,NY_GDP_MKTP_KD_ZG,ES212,PT,3.7
2013,NY_GDP_MKTP_KD_ZG,ES212,PT,-1.9
2012,NY_GDP_MKTP_KD_ZG,ES212,PT,-1.3
2017,NY_GDP_MKTP_KD_ZG,ES212,PT,2.8
2015,NY_GDP_MKTP_KD_ZG,ES212,PT,3.4
2019,NY_GDP_MKTP_KD_ZG,ES212,PT,2.6
2011,NY_GDP_MKTP_KD_ZG,ES212,PT,0.3
2016,NY_GDP_MKTP_KD_ZG,ES212,PT,3.3
2018,SL_TLF_UEM,,PT,10.5
2020,SL_TLF_UEM,,PT,10.6
2014,SL_TLF_UEM,,PT,16.1
2022,SL_TLF_UEM,,PT,8.6
2011,SL_TLF_UEM,,PT,10.8
2012,SL_TLF_UEM,,PT,11.8
2021,SL_TLF_UEM,,PT,10.0
2019,SL_TLF_UEM,,PT,9.8
2024,SL_TLF_UEM,,PT,7.4
2017,SL_TLF_UEM,,PT,11.6
2013,SL_TLF_UEM,,PT,15.1
2016,SL_TLF_UEM,,PT,13.8
2010,SL_TLF_UEM,,PT,9.2
2015,SL_TLF_UEM,,PT,15.7
2023,SL_TLF_UEM,,PT,7.8
2024,SL_TLF_UEM,ES211,PT,7.5
2010,SL_TLF_UEM,ES211,PT,8.6
2017,SL_TLF_UEM,ES211,PT,12.3
2011,SL_TLF_UEM,ES211,PT,10.3
2014,SL_TLF_UEM,ES211,PT,15.9
2012,SL_TLF_UEM,ES211,PT,11.4
2015,SL_TLF_UEM,ES211,PT,15.5
2023,SL_TLF_UEM,ES211,PT,7.7
2020,SL_TLF_UEM,ES211,PT,10.7
2018,SL_TLF_UEM,ES211,PT,11.3
2022,SL_TLF_UEM,ES211,PT,9.5
2021,SL_TLF_UEM,ES211,PT,10.2
2016,SL_TLF_UEM,ES211,PT,14.0
2013,SL_TLF_UEM,ES211,PT,14.4
2019,SL_TLF_UEM,ES211,PT,10.7
2012,SL_TLF_UEM,ES213,PT,12.1
2021,SL_TLF_UEM,ES213,PT,9.8
2022,SL_TLF_UEM,ES213,PT,9.3
2019,SL_TLF_UEM,ES213,PT,9.1
2015,SL_TLF_UEM,ES213,PT,15.9
2017,SL_TLF_UEM,ES213,PT,11.0
2013,SL_TLF_UEM,ES213,PT,15.7
2011,SL_TLF_UEM,ES213,PT,11.2
2010,SL_TLF_UEM,ES213,PT,9.6
2020,SL_TLF_UEM,ES213,PT,10.5
2024,SL_TLF_UEM,ES213,PT,8.5
2014,SL_TLF_UEM,ES213,PT,16.3
2023,SL_TLF_UEM,ES213,PT,8.7
2016,SL_TLF_UEM,ES213,PT,13.7
2018,SL_TLF_UEM,ES213,PT,9.8
2015,SL_TLF_UEM,ES212,PT,16.3
2013,SL_TLF_UEM,ES212,PT,15.1
2020,SL_TLF_UEM,ES212,PT,11.1
2010,SL_TLF_UEM,ES212,PT,10.0
2024,SL_TLF_UEM,ES212,PT,5.7
2023,SL_TLF_UEM,ES212,PT,6.5
2021,SL_TLF_UEM,ES212,PT,10.6
2019,SL_TLF_UEM,ES212,PT,10.8
2017,SL_TLF_UEM,ES212,PT,11.9
2016,SL_TLF_UEM,ES212,PT,14.1
2014,SL_TLF_UEM,ES212,PT,17.1
2012,SL_TLF_UEM,ES212,PT,9.4
2011,SL_TLF_UEM,ES212,PT,7.8
2018,SL_TLF_UEM,ES212,PT,11.2
2022,SL_TLF_UEM,ES212,PT,7.0
2017,FP_CPI_TOTL_ZG,,PT,2.0
2016,FP_CPI_TOTL_ZG,,PT,0.0
2020,FP_CPI_TOTL_ZG,,PT,-0.1
2018,FP_CPI_TOTL_ZG,,PT,1.6
2014,FP_CPI_TOTL_ZG,,PT,0.2
2013,FP_CPI_TOTL_ZG,,PT,1.6
2011,FP_CPI_TOTL_ZG,,PT,3.1
2023,FP_CPI_TOTL_ZG,,PT,3.6
2021,FP_CPI_TOTL_ZG,,PT,3.1
2010,FP_CPI_TOTL_ZG,,PT,1.7
2019,FP_CPI_TOTL_ZG,,PT,1.0
2022,FP_CPI_TOTL_ZG,,PT,8.0
2012,FP_CPI_TOTL_ZG,,PT,2.3
2015,FP_CPI_TOTL_ZG,,PT,-0.3
2020,FP_CPI_TOTL_ZG,ES211,PT,-0.3
2012,FP_CPI_TOTL_ZG,ES211,PT,2.1
2011,FP_CPI_TOTL_ZG,ES211,PT,3.1
2023,FP_CPI_TOTL_ZG,ES211,PT,3.0
2018,FP_CPI_TOTL_ZG,ES211,PT,1.4
2010,FP_CPI_TOTL_ZG,ES211,PT,1.8
2019,FP_CPI_TOTL_ZG,ES211,PT,0.9
2017,FP_CPI_TOTL_ZG,ES211,PT,2.1
2016,FP_CPI_TOTL_ZG,ES211,PT,-0.1
2014,FP_CPI_TOTL_ZG,ES211,PT,0.1
2015,FP_CPI_TOTL_ZG,ES211,PT,-0.2
2013,FP_CPI_TOTL_ZG,ES211,PT,1.3
2022,FP_CPI_TOTL_ZG,ES211,PT,8.1
2021,FP_CPI_TOTL_ZG,ES211,PT,3.2
2020,FP_CPI_TOTL_ZG,ES213,PT,0.0
2022,FP_CPI_TOTL_ZG,ES213,PT,8.3
2018,FP_CPI_TOTL_ZG,ES213,PT,1.6
2023,FP_CPI_TOTL_ZG,ES213,PT,3.6
2019,FP_CPI_TOTL_ZG,ES213,PT,0.9
2010,FP_CPI_TOTL_ZG,ES213,PT,1.8
2016,FP_CPI_TOTL_ZG,ES213,PT,0.1
2012,FP_CPI_TOTL_ZG,ES213,PT,2.4
2015,FP_CPI_TOTL_ZG,ES213,PT,-0.4
2017,FP_CPI_TOTL_ZG,ES213,PT,2.0
2013,FP_CPI_TOTL_ZG,ES213,PT,1.6
2021,FP_CPI_TOTL_ZG,ES213,PT,3.1
2011,FP_CPI_TOTL_ZG,ES213,PT,3.1
2014,FP_CPI_TOTL_ZG,ES213,PT,0.2
2022,FP_CPI_TOTL_ZG,ES212,PT,7.7
2023,FP_CPI_TOTL_ZG,ES212,PT,3.9
2011,FP_CPI_TOTL_ZG,ES212,PT,3.0
2019,FP_CPI_TOTL_ZG,ES212,PT,1.1
2014,FP_CPI_TOTL_ZG,ES212,PT,0.2
2018,FP_CPI_TOTL_ZG,ES212,PT,1.8
2017,FP_CPI_TOTL_ZG,ES212,PT,1.9
2012,FP_CPI_TOTL_ZG,ES212,PT,2.3
2020,FP_CPI_TOTL_ZG,ES212,PT,-0.2
2016,FP_CPI_TOTL_ZG,ES212,PT,0.0
2013,FP_CPI_TOTL_ZG,ES212,PT,1.6
2010,FP_CPI_TOTL_ZG,ES212,PT,1.5
2021,FP_CPI_TOTL_ZG,ES212,PT,3.1
2015,FP_CPI_TOTL_ZG,ES212,PT,-0.1
2022,BX_TRF_PWKR,,PT,0.5
2015,BX_TRF_PWKR,,PT,0.4
2019,BX_TRF_PWKR,,PT,0.5
2021,BX_TRF_PWKR,,PT,0.5
2017,BX_TRF_PWKR,,PT,0.4
2018,BX_TRF_PWKR,,PT,0.5
2014,BX_TRF_PWKR,,PT,0.4
2013,BX_TRF_PWKR,,PT,0.4
2020,BX_TRF_PWKR,,PT,0.5
2016,BX_TRF_PWKR,,PT,0.4
2018,DP_DOD_DLD2_CR_CG_Z1,,PT,13.1
2017,DP_DOD_DLD2_CR_CG_Z1,,PT,13.8
2010,DP_DOD_DLD2_CR_CG_Z1,,PT,7.6
2016,DP_DOD_DLD2_CR_CG_Z1,,PT,14.0
2014,DP_DOD_DLD2_CR_CG_Z1,,PT,13.4
2012,DP_DOD_DLD2_CR_CG_Z1,,PT,11.0
2020,DP_DOD_DLD2_CR_CG_Z1,,PT,15.0
2019,DP_DOD_DLD2_CR_CG_Z1,,PT,11.8
2021,DP_DOD_DLD2_CR_CG_Z1,,PT,14.3
2015,DP_DOD_DLD2_CR_CG_Z1,,PT,13.8
2011,DP_DOD_DLD2_CR_CG_Z1,,PT,8.3
2013,DP_DOD_DLD2_CR_CG_Z1,,PT,12.8
2017,GC_BAL_CASH_GD_ZS,,PT,1.5
2021,GC_BAL_CASH_GD_ZS,,PT,0.8
2011,GC_BAL_CASH_GD_ZS,,PT,-2.6
2018,GC_BAL_CASH_GD_ZS,,PT,0.7
2020,GC_BAL_CASH_GD_ZS,,PT,-1.0
2014,GC_BAL_CASH_GD_ZS,,PT,-1.0
2010,GC_BAL_CASH_GD_ZS,,PT,-2.7
2015,GC_BAL_CASH_GD_ZS,,PT,-0.6
2012,GC_BAL_CASH_GD_ZS,,PT,-1.4
2019,GC_BAL_CASH_GD_ZS,,PT,0.5
2016,GC_BAL_CASH_GD_ZS,,PT,-0.6
2013,GC_BAL_CASH_GD_ZS,,PT,-1.2
