Year,Sexo,Territorio,Units,Value
2011,,,PER_100000_POP,7.9
2010,,,PER_100000_POP,6.0
2020,,,PER_100000_POP,8.4
2014,,,PER_100000_POP,8.6
2013,,,PER_100000_POP,8.2
2024,,,PER_100000_POP,7.7
2021,,,PER_100000_POP,6.8
2019,,,PER_100000_POP,6.6
2023,,,PER_100000_POP,6.4
2016,,,PER_100000_POP,8.3
2015,,,PER_100000_POP,7.7
2018,,,PER_100000_POP,7.5
2012,,,PER_100000_POP,8.3
2017,,,PER_100000_POP,8.3
2022,,,PER_100000_POP,7.9
2015,,ES211,PER_100000_POP,6.5
2023,,ES211,PER_100000_POP,7.5
2016,,ES211,PER_100000_POP,7.1
2021,,ES211,PER_100000_POP,8.5
2024,,ES211,PER_100000_POP,7.5
2017,,ES211,PER_100000_POP,7.1
2018,,ES211,PER_100000_POP,7.3
2019,,ES211,PER_100000_POP,6.7
2011,,ES211,PER_100000_POP,6.6
2012,,ES211,PER_100000_POP,6.5
2014,,ES211,PER_100000_POP,6.9
2020,,ES211,PER_100000_POP,8.2
2013,,ES211,PER_100000_POP,8.1
2010,,ES211,PER_100000_POP,8.8
2022,,ES211,PER_100000_POP,9.3
2015,,ES213,PER_100000_POP,8.2
2014,,ES213,PER_100000_POP,9.5
2017,,ES213,PER_100000_POP,8.6
2010,,ES213,PER_100000_POP,5.4
2023,,ES213,PER_100000_POP,5.3
2012,,ES213,PER_100000_POP,8.2
2022,,ES213,PER_100000_POP,8.0
2024,,ES213,PER_100000_POP,8.3
2016,,ES213,PER_100000_POP,7.6
2021,,ES213,PER_100000_POP,6.2
2013,,ES213,PER_100000_POP,7.8
2019,,ES213,PER_100000_POP,6.4
2018,,ES213,PER_100000_POP,7.7
2020,,ES213,PER_100000_POP,8.7
2011,,ES213,PER_100000_POP,7.8
2018,,ES212,PER_100000_POP,7.1
2021,,ES212,PER_100000_POP,6.8
2019,,ES212,PER_100000_POP,7.0
2015,,ES212,PER_100000_POP,7.3
2010,,ES212,PER_100000_POP,5.8
2011,,ES212,PER_100000_POP,8.7
2020,,ES212,PER_100000_POP,7.9
2012,,ES212,PER_100000_POP,9.1
2014,,ES212,PER_100000_POP,7.8
2022,,ES212,PER_100000_POP,7.2
2016,,ES212,PER_100000_POP,9.8
2023,,ES212,PER_100000_POP,7.6
2013,,ES212,PER_100000_POP,8.9
2024,,ES212,PER_100000_POP,6.9
2017,,ES212,PER_100000_POP,8.4
2015,F,,PER_100000_POP,3.6
2013,F,,PER_100000_POP,4.5
2022,F,,PER_100000_POP,4.4
2016,F,,PER_100000_POP,4.2
2012,F,,PER_100000_POP,4.2
2014,F,,PER_100000_POP,5.6
2018,F,,PER_100000_POP,4.3
2017,F,,PER_100000_POP,4.2
2011,F,,PER_100000_POP,4.4
2024,F,,PER_100000_POP,4.7
2021,F,,PER_100000_POP,3.6
2010,F,,PER_100000_POP,2.3
2023,F,,PER_100000_POP,3.2
2019,F,,PER_100000_POP,2.6
2020,F,,PER_100000_POP,4.0
2024,F,ES211,PER_100000_POP,7.0
2022,F,ES211,PER_100000_POP,4.7
2015,F,ES211,PER_100000_POP,4.3
2020,F,ES211,PER_100000_POP,4.2
2019,F,ES211,PER_100000_POP,1.2
2017,F,ES211,PER_100000_POP,6.1
2013,F,ES211,PER_100000_POP,5.0
2011,F,ES211,PER_100000_POP,3.7
2023,F,ES211,PER_100000_POP,4.1
2012,F,ES211,PER_100000_POP,2.5
2010,F,ES211,PER_100000_POP,2.5
2014,F,ES211,PER_100000_POP,3.7
2016,F,ES211,PER_100000_POP,2.4
2021,F,ES211,PER_100000_POP,5.4
2018,F,ES211,PER_100000_POP,4.2
2023,F,ES213,PER_100000_POP,3.4
2024,F,ES213,PER_100000_POP,4.5
2021,F,ES213,PER_100000_POP,3.9
2020,F,ES213,PER_100000_POP,3.7
2017,F,ES213,PER_100000_POP,4.1
2019,F,ES213,PER_100000_POP,3.0
2018,F,ES213,PER_100000_POP,4.1
2015,F,ES213,PER_100000_POP,3.6
2013,F,ES213,PER_100000_POP,3.9
2012,F,ES213,PER_100000_POP,5.4
2011,F,ES213,PER_100000_POP,4.5
2014,F,ES213,PER_100000_POP,6.4
2010,F,ES213,PER_100000_POP,2.5
2022,F,ES213,PER_100000_POP,4.4
2016,F,ES213,PER_100000_POP,4.2
2023,F,ES212,PER_100000_POP,2.4
2022,F,ES212,PER_100000_POP,4.4
2021,F,ES212,PER_100000_POP,2.5
2020,F,ES212,PER_100000_POP,4.3
2019,F,ES212,PER_100000_POP,2.4
2018,F,ES212,PER_100000_POP,4.6
2017,F,ES212,PER_100000_POP,3.6
2016,F,ES212,PER_100000_POP,5.0
2010,F,ES212,PER_100000_POP,1.7
2015,F,ES212,PER_100000_POP,3.3
2014,F,ES212,PER_100000_POP,5.3
2013,F,ES212,PER_100000_POP,5.3
2012,F,ES212,PER_100000_POP,3.1
2011,F,ES212,PER_100000_POP,4.5
2024,F,ES212,PER_100000_POP,4.1
2012,M,,PER_100000_POP,12.5
2015,M,,PER_100000_POP,12.0
2022,M,,PER_100000_POP,11.7
2020,M,,PER_100000_POP,13.0
2013,M,,PER_100000_POP,12.1
2021,M,,PER_100000_POP,10.1
2016,M,,PER_100000_POP,12.6
2018,M,,PER_100000_POP,10.9
2019,M,,PER_100000_POP,10.9
2011,M,,PER_100000_POP,11.6
2014,M,,PER_100000_POP,11.6
2023,M,,PER_100000_POP,9.8
2024,M,,PER_100000_POP,10.9
2017,M,,PER_100000_POP,12.7
2010,M,,PER_100000_POP,10.0
2024,M,ES211,PER_100000_POP,7.9
2016,M,ES211,PER_100000_POP,11.9
2019,M,ES211,PER_100000_POP,12.4
2023,M,ES211,PER_100000_POP,11.0
2022,M,ES211,PER_100000_POP,14.1
2012,M,ES211,PER_100000_POP,10.6
2015,M,ES211,PER_100000_POP,8.8
2021,M,ES211,PER_100000_POP,11.7
2020,M,ES211,PER_100000_POP,12.3
2010,M,ES211,PER_100000_POP,15.1
2017,M,ES211,PER_100000_POP,8.1
2014,M,ES211,PER_100000_POP,10.1
2018,M,ES211,PER_100000_POP,10.6
2013,M,ES211,PER_100000_POP,11.3
2011,M,ES211,PER_100000_POP,9.4
2024,M,ES213,PER_100000_POP,12.5
2023,M,ES213,PER_100000_POP,7.4
2022,M,ES213,PER_100000_POP,11.8
2021,M,ES213,PER_100000_POP,8.7
2014,M,ES213,PER_100000_POP,12.9
2020,M,ES213,PER_100000_POP,14.1
2016,M,ES213,PER_100000_POP,11.3
2019,M,ES213,PER_100000_POP,10.0
2018,M,ES213,PER_100000_POP,11.7
2017,M,ES213,PER_100000_POP,13.5
2015,M,ES213,PER_100000_POP,13.3
2013,M,ES213,PER_100000_POP,11.9
2012,M,ES213,PER_100000_POP,11.3
2011,M,ES213,PER_100000_POP,11.3
2010,M,ES213,PER_100000_POP,8.4
2018,M,ES212,PER_100000_POP,9.7
2017,M,ES212,PER_100000_POP,13.5
2016,M,ES212,PER_100000_POP,14.9
2015,M,ES212,PER_100000_POP,11.5
2011,M,ES212,PER_100000_POP,13.0
2014,M,ES212,PER_100000_POP,10.4
2013,M,ES212,PER_100000_POP,12.7
2012,M,ES212,PER_100000_POP,15.3
2010,M,ES212,PER_100000_POP,10.2
2024,M,ES212,PER_100000_POP,9.9
2023,M,ES212,PER_100000_POP,13.1
2022,M,ES212,PER_100000_POP,10.3
2021,M,ES212,PER_100000_POP,11.4
2020,M,ES212,PER_100000_POP,11.7
2019,M,ES212,PER_100000_POP,11.7
