Year,Sexo,Units,Value
2018,,PT,33.4
2023,,PT,36.1
2013,,PT,35.6
2013,F,PT,36.4
2018,F,PT,30.3
2023,F,PT,34.3
2023,M,PT,37.7
2018,M,PT,34.1
2013,M,PT,35.0
