Year,Series,Institucion,Territorio,Units,Value
2020,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2023,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.37
2021,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.36
2022,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
2020,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
2023,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2022,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2020,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2021,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2020,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.2
2022,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2023,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2021,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.22
2022,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05
2023,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05
2020,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03
2021,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.2
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.22
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1.0
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1.0
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.03
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02
2022,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.07
2018,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.03
2016,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.01
2012,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.97
2014,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.99
2020,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.05
2019,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04
2023,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06
2021,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06
2017,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04
2015,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.0
2013,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.98
2010,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.77
2011,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.78
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.98
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2023,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.06
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.05
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.04
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.75
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.03
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.96
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.06
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.95
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.74
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.02
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.05
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.97
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.76
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.09
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.77
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.07
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.1
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.23
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.24
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.19
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.25
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.31
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.28
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.33
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.3
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.24
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.52
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.55
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.56
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.5
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.53
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.61
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.52
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.58
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.55
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.62
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.61
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.57
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.59
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.55
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.32
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.38
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.46
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.3
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.31
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.32
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.42
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.7
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.26
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.17
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.32
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.45
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.57
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.35
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.37
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.44
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.36
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.31
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.42
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.4
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.41
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.61
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.46
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.32
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.45
2021,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.22
2013,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.2
2011,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.18
2015,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2019,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2022,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2018,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24
2020,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2016,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2012,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.19
2014,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21
2017,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.17
2010,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.16
2023,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.25
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.18
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.24
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.14
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.23
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.25
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.21
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.16
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.2
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.24
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.21
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.22
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.15
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.22
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.28
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.25
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.23
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.17
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.26
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.21
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24
2014,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2020,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2010,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.27
2011,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.23
2022,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2016,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2017,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2023,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2015,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2013,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21
2012,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.22
2021,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2
2019,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19
2021,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.31
2020,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28
2012,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2017,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28
2015,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.21
2018,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2023,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.33
2022,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.3
2019,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27
2016,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.23
2010,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.32
2011,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.29
2013,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26
2014,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26
2021,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2012,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22
2013,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22
2016,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18
2015,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.19
2010,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.24
2011,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.21
2022,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2019,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2014,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.2
2023,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2020,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.17
2018,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16
2017,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18
2022,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2021,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2016,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17
2017,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18
2014,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2012,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16
2013,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2010,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.23
2015,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16
